repeat_index,fold_index,repeat_seed,ratio,n_train_positive,n_validation_positive,n_train_total,n_validation_total,train_negative_seed,validation_negative_seed,feature_selection_seed,model_seed,scale_pos_weight,selected_go_sha256,selected_go_count,cross_split_source_leakage_count,outer_test_source_count,train_records_sha256,validation_records_sha256
0,0,42,1:1,327,82,654,164,1973658644,3715151037,233149161,2399526814,1.0,5278fff3821350ea3dc0c70b80e6e99f83336c8ad2b59b7373f297543e130dfd,80,0,0,59ab623a6fd2b1fed6ea59d4420d8b51c9da7bf972e93c74c6f8499ae9c52023,7b0fa24903b8cdc5a08676b2c829ec06863d7581912c5b6ebc2f0c80d27dbdbe
0,1,42,1:1,327,82,654,164,2786658438,2191900349,3517737438,2371526345,1.0,3398140c2e00dc38b670c41174640c34bdda9f6cd1367fd0977367652cc22e38,80,0,0,f66a9d46ada9f2c720c29f4a2170b56fa4e599fc6efd6d16745318b5923deb47,b2563a6c33969e4a6bb9c954023fe0e57453b8045ac09a63723a6805a51c9156
0,2,42,1:1,327,82,654,164,1888399133,2010463502,629780227,48921201,1.0,925090bcb392d41f06c980858132ef87f005a390fd68d1b0c688053eb6d7ba04,80,0,0,5ed471c59d6e2f54cdd65e2737a75ba57a350dad7984e2318d16214bb66d28f8,2444d14ff567b2eeca973896fa6cde602f8aa12430c74ec9b2547ad41729d674
0,3,42,1:1,327,82,654,164,1161336969,599905126,3703496083,230894654,1.0,4d111ad9204fba96f909bb2562700bad74ca678c6f83c13fd7ea8c69b16dd807,80,0,0,e90922b7bb8cd3eabf44e9630180d9357da8f8ac2f311138363642020c1dcf80,08942af6ef5e95e4966e919e8cd48f98f7490caf3a5f5ed389bf63f95e6d8a8c
0,4,42,1:1,328,81,656,162,1001834057,624141303,515383750,972393367,1.0,cd9e7bcf1f2a4a6d25455689bc11c8ee7bec0452c5c1c2aca61597c0d45759bb,80,0,0,5665a9f2c93203cbc2f88d1662f9840d2a40f41ad01123fa61bbf9f36c8333e9,32cfdbe9e420ac6c89283da38df44395a7e2e9a12b0d9ac84e4434065222778c
1,0,7,1:1,327,82,654,164,2521657055,4094230609,264134123,842399429,1.0,2e6ca5303b34a4fe854d80284e572f74a5d6f5f2a5796bc30f898b7b639b075e,80,0,0,db68b2d1699bcc7a1cc9c6f756e3910799251ac31f2d641e29a239fe3181ff92,335af9bd7afcd2259d1181eaa5819120f30652df5f64c3243ff1b8197a79d2dc
1,1,7,1:1,327,82,654,164,3885368634,2431578943,1619142612,2845288631,1.0,f68df1df1b2c5cbd6db7041da2263a333c7c7b441ee9ca0dcccf733fd89454a2,80,0,0,4f2b4d0b2d694c558e9bb7a6465bed1ac6448325524d50c791021e209ccdaf5d,86aada5abf18cf3701c6e51e14a33d21e3b2ad895f3f0c45c8d5a0bd4f5fcc4a
1,2,7,1:1,327,82,654,164,1974496636,1223099430,3474831427,1753096405,1.0,bc7931d975347cf6576f7f626831ec012ccf984a95e6fd0587ef6df70e8d3068,80,0,0,949cdc431ad2125fada26ddf601bbc12103ac458adbb00518b502a27c4927d5c,5df8524acbc6019e5523bc48ded764fc33e1d60fc4db4b43aba433f43e49efd9
1,3,7,1:1,327,82,654,164,2308674788,3336517605,3055848280,3336201630,1.0,a1818ebf18f9e8e948971a8bdad5f89505e8c82be5c4dcc926f14605bda9aec9,80,0,0,9c7ff1132650efbf5ac87f0d8960f2e63039cec602b277720f2f4a055c1463a9,774ee8a88809e1b49e5c4a3d351bd74417ebe2c9f7a902be8c531548de80fd28
1,4,7,1:1,328,81,656,162,26843640,2371250898,2203746204,3425021368,1.0,93937c4f98d6d775557fb35b1a1de47f4466aa14a18df0b9fb68833c2587fb88,80,0,0,717d1fde29d688119ddcb0e8d6fdaddeae45b7f31dcfad4181a313b2268ad4f7,e2f3e3e1fcabf2b6e1cdf7a8755dc0d935aeaa37f0988f433f20e9e4a3703b20
2,0,13,1:1,327,82,654,164,4197323642,3493101560,3288021756,261167866,1.0,9b73517e58eb8ba0bc638627177cb05554c3e37ec35c51dddb15f6948ee26efd,80,0,0,c32c0830de98179691d483e4bd16e96a7012503416cf7c5cb518aa73354726c5,dd03cf03ac7cd26fa9d46f8eb6dccbdb0da15e795c1a668e5846cf19a35471e5
2,1,13,1:1,327,82,654,164,3966191544,1903504230,667876274,3411050692,1.0,b684ea62f4f42114312136c66e5fc274b7cdacfddc1241c2ce12e887dcacf769,80,0,0,618241230c15e0051e7d5cd6e15b8cb3d5f5dcb755f877ce96d14461fc9092ff,8fddf42f5b799d421f6cf75cb21b504e783650587e7cf896b2e457fc367fd5f1
2,2,13,1:1,327,82,654,164,1319135375,2081672424,66402786,1633975599,1.0,ac8146237297375e1e17df069ef0bc4d10251551f48a864f205aa481cb0be3ef,80,0,0,361956c25a3092096f7dd9e26d21f52d379ce291171191a70b0fe88e35b120db,4de770fe3d9d10d0c84663725a69efe70ff007a9742e66dcd731d1a32a817de0
2,3,13,1:1,327,82,654,164,2293279620,3028097891,2933952375,4053831653,1.0,2e9654b3bae28b7f5cdb28ee62939918e683645949003400c88cb9e84776ca80,80,0,0,2f5fe7fdfc0b66e83d5a7e7e149d13d4024df5883b4e4159c8f2a3c735d60b8c,aef9953502474bbf497aa3388b535c8ec4609429a2522121822c5c0c34653723
2,4,13,1:1,328,81,656,162,3410040530,245057234,532155413,762879727,1.0,62120243085934ba40e34cb6a3184f737b6f28629b754affa403879b5678f746,80,0,0,348f735c69e08433061e41b7518fed4c20a71b7ef810663a9c109ccdfdbb44a2,72a254a5f2a4aedd3af3d81a6ee63c3deb805b1a506f8b1e45d264b1c89dd06e
