rank,feature,importance,method,model,primary_ratio
1,jaccard_mean,0.06448270281213998,shap_mean_abs_positive_class,Random Forest,1:1
2,go_entropy,0.04088832686382092,shap_mean_abs_positive_class,Random Forest,1:1
3,GO:0008150,0.04083372132013569,shap_mean_abs_positive_class,Random Forest,1:1
4,mean_go_per_gene,0.02412428926113039,shap_mean_abs_positive_class,Random Forest,1:1
5,jaccard_std,0.018992331615739048,shap_mean_abs_positive_class,Random Forest,1:1
6,GO:0003700,0.018990348174597372,shap_mean_abs_positive_class,Random Forest,1:1
7,GO:0009507,0.01698099191881922,shap_mean_abs_positive_class,Random Forest,1:1
8,GO:0005737,0.016695457162276196,shap_mean_abs_positive_class,Random Forest,1:1
9,annotated_gene_count,0.014684941352816267,shap_mean_abs_positive_class,Random Forest,1:1
10,GO:0006355,0.014519055565410407,shap_mean_abs_positive_class,Random Forest,1:1
11,GO:0006412,0.014214563137533774,shap_mean_abs_positive_class,Random Forest,1:1
12,log_annotated_gene_count,0.013605395875646263,shap_mean_abs_positive_class,Random Forest,1:1
13,GO:0005829,0.012765251471383772,shap_mean_abs_positive_class,Random Forest,1:1
14,GO:0005575,0.011767675571488213,shap_mean_abs_positive_class,Random Forest,1:1
15,GO:0030533,0.009866086080478587,shap_mean_abs_positive_class,Random Forest,1:1
16,GO:0006414,0.008206152648761974,shap_mean_abs_positive_class,Random Forest,1:1
17,GO:0007165,0.00659896744937703,shap_mean_abs_positive_class,Random Forest,1:1
18,jaccard_max,0.006413535349015781,shap_mean_abs_positive_class,Random Forest,1:1
19,jaccard_min,0.005397625588014807,shap_mean_abs_positive_class,Random Forest,1:1
20,GO:0009579,0.00493463174754706,shap_mean_abs_positive_class,Random Forest,1:1
21,GO:0005739,0.004126624533307951,shap_mean_abs_positive_class,Random Forest,1:1
22,GO:0005886,0.00408863324625033,shap_mean_abs_positive_class,Random Forest,1:1
23,GO:0016020,0.0038231333766935408,shap_mean_abs_positive_class,Random Forest,1:1
24,GO:0004672,0.003487022110026869,shap_mean_abs_positive_class,Random Forest,1:1
25,go_size_std,0.0033023019056151845,shap_mean_abs_positive_class,Random Forest,1:1
26,GO:0003729,0.0030318228265109478,shap_mean_abs_positive_class,Random Forest,1:1
27,GO:0006099,0.0028351379404182113,shap_mean_abs_positive_class,Random Forest,1:1
28,GO:0020037,0.002599135132691997,shap_mean_abs_positive_class,Random Forest,1:1
29,GO:0005783,0.002408754668605559,shap_mean_abs_positive_class,Random Forest,1:1
30,GO:0003723,0.0022843311103398893,shap_mean_abs_positive_class,Random Forest,1:1
