n_go_terms,model,n_total_features,repeat_index,repeat_seed,fold_index,ratio,n_train_positive,n_train_negative,n_validation_positive,n_validation_negative,positive_prevalence,auroc,auprc,normalized_auprc,f1,precision,recall,brier,scale_pos_weight,class_weight,n_component_models,train_negative_seed,validation_negative_seed,feature_selection_seed,model_seed,selected_go_sha256,train_records_sha256,validation_records_sha256,elapsed_s
20,Six-tree soft-voting ensemble,29,0,42,0,1:1,327,327,82,82,0.5,0.8508328375966686,0.8000284604678509,0.6000569209357018,0.8021390374331551,0.7142857142857143,0.9146341463414634,0.1470268685071084,,component_specific,6,1973658644,3715151037,233149161,2399526814,6ef06c9eca426c4fea927d8c257857c75662444f8d61a76c1bba7c25ba8cb644,59ab623a6fd2b1fed6ea59d4420d8b51c9da7bf972e93c74c6f8499ae9c52023,7b0fa24903b8cdc5a08676b2c829ec06863d7581912c5b6ebc2f0c80d27dbdbe,1.7954623699188232
40,Six-tree soft-voting ensemble,49,0,42,0,1:1,327,327,82,82,0.5,0.8622843545508626,0.8363866654304976,0.6727733308609951,0.8064516129032258,0.7211538461538461,0.9146341463414634,0.14498477161215953,,component_specific,6,1973658644,3715151037,233149161,2399526814,635f64e4f6b5c5d657a101ee0ce1087206624d2f8fe2cff2a0d8530844409d8b,59ab623a6fd2b1fed6ea59d4420d8b51c9da7bf972e93c74c6f8499ae9c52023,7b0fa24903b8cdc5a08676b2c829ec06863d7581912c5b6ebc2f0c80d27dbdbe,1.886969804763794
60,Six-tree soft-voting ensemble,69,0,42,0,1:1,327,327,82,82,0.5,0.870464009518144,0.850444534643698,0.7008890692873959,0.8044692737430168,0.7422680412371134,0.8780487804878049,0.1408471012706458,,component_specific,6,1973658644,3715151037,233149161,2399526814,b9f1edb670a53afef5f4c085e90bf5e13a41156251f6667b1a65871f2c4c47e0,59ab623a6fd2b1fed6ea59d4420d8b51c9da7bf972e93c74c6f8499ae9c52023,7b0fa24903b8cdc5a08676b2c829ec06863d7581912c5b6ebc2f0c80d27dbdbe,2.1341288089752197
80,Six-tree soft-voting ensemble,89,0,42,0,1:1,327,327,82,82,0.5,0.8697204045211184,0.8516574063217475,0.7033148126434949,0.8087431693989071,0.7326732673267327,0.9024390243902439,0.1437811820649895,,component_specific,6,1973658644,3715151037,233149161,2399526814,5278fff3821350ea3dc0c70b80e6e99f83336c8ad2b59b7373f297543e130dfd,59ab623a6fd2b1fed6ea59d4420d8b51c9da7bf972e93c74c6f8499ae9c52023,7b0fa24903b8cdc5a08676b2c829ec06863d7581912c5b6ebc2f0c80d27dbdbe,2.381856918334961
100,Six-tree soft-voting ensemble,109,0,42,0,1:1,327,327,82,82,0.5,0.8685306365258775,0.8463110182926685,0.692622036585337,0.8021978021978022,0.73,0.8902439024390244,0.14343176247506856,,component_specific,6,1973658644,3715151037,233149161,2399526814,f734a1d2ab22ad544f46f35047a4c24ac2e11f8202d6260818464eb47128514e,59ab623a6fd2b1fed6ea59d4420d8b51c9da7bf972e93c74c6f8499ae9c52023,7b0fa24903b8cdc5a08676b2c829ec06863d7581912c5b6ebc2f0c80d27dbdbe,2.5416998863220215
20,Six-tree soft-voting ensemble,29,0,42,1,1:1,327,327,82,82,0.5,0.8445865556216539,0.8222837151033391,0.6445674302066782,0.7428571428571429,0.6989247311827957,0.7926829268292683,0.1608577496238925,,component_specific,6,2786658438,2191900349,3517737438,2371526345,0d35a8fe5dc71bbc48fd0e30b5924bdaf92cc8092a796b6ea50a7f026a622771,f66a9d46ada9f2c720c29f4a2170b56fa4e599fc6efd6d16745318b5923deb47,b2563a6c33969e4a6bb9c954023fe0e57453b8045ac09a63723a6805a51c9156,1.9872300624847412
40,Six-tree soft-voting ensemble,49,0,42,1,1:1,327,327,82,82,0.5,0.8240630577037478,0.7972763712117946,0.5945527424235892,0.7666666666666667,0.7040816326530612,0.8414634146341463,0.16420369719402902,,component_specific,6,2786658438,2191900349,3517737438,2371526345,9bbf997a48f7e48f64ca28c8d4fb0a086b2e95d7757f27356069f2a6d2f644da,f66a9d46ada9f2c720c29f4a2170b56fa4e599fc6efd6d16745318b5923deb47,b2563a6c33969e4a6bb9c954023fe0e57453b8045ac09a63723a6805a51c9156,2.142936944961548
60,Six-tree soft-voting ensemble,69,0,42,1,1:1,327,327,82,82,0.5,0.8515764425936942,0.8416400946747281,0.6832801893494562,0.7759562841530054,0.7029702970297029,0.8658536585365854,0.15462535095754737,,component_specific,6,2786658438,2191900349,3517737438,2371526345,c59d36017adea2f05186de3822c3dd8c95d35f359f7ff35c586a14db623a3103,f66a9d46ada9f2c720c29f4a2170b56fa4e599fc6efd6d16745318b5923deb47,b2563a6c33969e4a6bb9c954023fe0e57453b8045ac09a63723a6805a51c9156,2.3816452026367188
80,Six-tree soft-voting ensemble,89,0,42,1,1:1,327,327,82,82,0.5,0.8456276026174896,0.838402140203771,0.676804280407542,0.8021390374331551,0.7142857142857143,0.9146341463414634,0.15401273699937404,,component_specific,6,2786658438,2191900349,3517737438,2371526345,3398140c2e00dc38b670c41174640c34bdda9f6cd1367fd0977367652cc22e38,f66a9d46ada9f2c720c29f4a2170b56fa4e599fc6efd6d16745318b5923deb47,b2563a6c33969e4a6bb9c954023fe0e57453b8045ac09a63723a6805a51c9156,2.578895092010498
100,Six-tree soft-voting ensemble,109,0,42,1,1:1,327,327,82,82,0.5,0.8285246876859012,0.8102282313410464,0.6204564626820928,0.7783783783783784,0.6990291262135923,0.8780487804878049,0.16070283589372303,,component_specific,6,2786658438,2191900349,3517737438,2371526345,1f3b41097adfbaeab9a3cb6e15ab0b80962009d01271b56d58d93f891a3eda83,f66a9d46ada9f2c720c29f4a2170b56fa4e599fc6efd6d16745318b5923deb47,b2563a6c33969e4a6bb9c954023fe0e57453b8045ac09a63723a6805a51c9156,2.881838083267212
