go_term,background_gene_count,train_variance,passed_variance_filter,mutual_information,mi_rank,selected
GO:0000028,31,7.741284207440913e-05,True,0.0,379,False
GO:0000045,40,0.00047328267828561366,True,0.010179034336004644,238,False
GO:0000049,25,5.518553371075541e-05,True,0.0,380,False
GO:0000082,39,7.047714007057948e-06,False,,,False
GO:0000103,22,0.0033262334764003754,True,0.011876834580484719,220,False
GO:0000118,45,1.5292496755137108e-05,False,,,False
GO:0000122,38,1.5340727259172127e-05,False,,,False
GO:0000137,41,0.00016087871335912496,True,0.00837380952182687,265,False
GO:0000138,86,0.0004626601003110409,True,0.0,381,False
GO:0000139,104,0.00017997781105805188,True,0.0,382,False
GO:0000145,36,6.51635491522029e-05,True,0.011429153729371588,226,False
GO:0000149,72,0.00048024283023551106,True,0.01471225510232621,190,False
GO:0000151,74,6.898792344145477e-05,True,0.023623613497909535,89,False
GO:0000154,64,1.530872941657435e-05,False,,,False
GO:0000156,33,6.594261503778398e-05,True,0.01306860365732998,209,False
GO:0000159,23,0.0009316012146882713,True,0.00758166919888037,274,False
GO:0000160,30,7.463301153620705e-05,True,0.02925110358066152,55,True
GO:0000162,22,0.004081655293703079,True,0.0,383,False
GO:0000166,26,7.656206435058266e-06,False,,,False
GO:0000209,52,0.00017252789984922856,True,0.0,384,False
GO:0000226,61,0.0001940999209182337,True,0.0,385,False
GO:0000278,57,0.0002217019209638238,True,0.0,386,False
GO:0000287,50,0.0018234297167509794,True,0.03350471248514042,35,True
GO:0000302,37,0.00012264435645192862,True,0.0,387,False
GO:0000307,57,6.0022244724677876e-05,True,0.0,388,False
GO:0000311,23,5.387737928685965e-06,False,,,False
GO:0000325,698,0.0032870429567992687,True,0.0,389,False
GO:0000373,29,1.4162148545437958e-05,False,,,False
GO:0000398,154,0.0006572335842065513,True,0.025958609909203956,74,True
GO:0000419,21,0.000318752572638914,True,0.0,390,False
GO:0000423,21,0.00021540345915127546,True,0.0,391,False
GO:0000462,26,5.425239578471519e-06,False,,,False
GO:0000502,54,0.0009759003878571093,True,0.0,392,False
GO:0000724,68,0.0008686266955919564,True,0.00034504461653384055,374,False
GO:0000785,119,0.0002928302565123886,True,0.03444941384782685,34,True
GO:0000786,21,9.171980491373688e-05,True,0.024591984873649775,82,False
GO:0000911,46,1.6043137293308973e-05,False,,,False
GO:0000932,70,0.00016038473404478282,True,0.008967859895838037,253,False
GO:0000976,758,0.0005418086075223982,True,0.023771240303579022,88,False
GO:0000977,26,3.06044275930617e-05,True,0.021332336325097234,111,False
GO:0000978,223,0.00014853508037049323,True,0.02750244486757203,66,True
GO:0000981,275,0.0002526642638258636,True,0.028107083354696583,62,True
GO:0000987,57,4.5393710024654865e-05,True,0.0,393,False
GO:0001216,36,1.1063736565120053e-05,False,,,False
GO:0001510,21,6.14071768723079e-06,False,,,False
GO:0001653,20,4.016500042780535e-06,False,,,False
GO:0001666,46,0.0008030055905692279,True,0.0,394,False
GO:0002181,51,3.760697290999815e-05,True,0.002560009086999715,344,False
GO:0002213,37,0.00016346632037311792,True,0.023134498279351545,92,False
GO:0002229,74,8.827367855701596e-05,True,0.007482105629808888,276,False
GO:0002237,41,5.328478437149897e-05,True,0.020110020040936982,123,False
GO:0002239,25,3.499201557133347e-05,True,0.0,395,False
GO:0003333,51,0.0014644062612205744,True,0.018088715981843695,145,False
GO:0003676,160,0.0001116634884965606,True,0.0,396,False
GO:0003677,552,0.0008040333050303161,True,0.0,397,False
GO:0003680,26,3.946537617594004e-05,True,0.0075834965004719646,273,False
GO:0003682,137,0.0002417724026599899,True,0.008891414390071573,255,False
GO:0003684,27,0.0002181006857426837,True,0.0,398,False
GO:0003690,100,0.00018714739417191595,True,0.0029106347585299286,338,False
GO:0003697,67,0.00021267111878842115,True,0.01548231278486778,181,False
GO:0003700,1615,0.0017810139106586576,True,0.06784381765641956,2,True
GO:0003712,74,0.00011310448462609202,True,0.0011113022853874721,364,False
GO:0003713,44,3.269272201578133e-05,True,0.0013921533324734447,362,False
GO:0003714,50,4.0105365769704804e-05,True,0.0072401496473355476,278,False
GO:0003723,603,0.0009473099489696324,True,0.031698868129933944,44,True
GO:0003724,66,5.038834206061438e-05,True,0.0015867854212328059,358,False
GO:0003727,32,5.637088179355487e-05,True,0.005319491648555497,302,False
GO:0003729,1161,0.005811329931020737,True,0.030444046262889213,47,True
GO:0003735,332,0.0016378171276301146,True,0.0215295592468856,110,False
GO:0003743,77,6.994465366005898e-05,True,0.025151635743418277,79,True
GO:0003755,57,3.2526219001738355e-05,True,0.0,399,False
GO:0003756,21,8.396557859668974e-06,False,,,False
GO:0003777,41,5.979365960229188e-05,True,0.0,400,False
GO:0003779,49,2.4310831577167846e-05,True,0.011083802279281185,231,False
GO:0003824,47,0.0005131940706633031,True,0.0,401,False
GO:0003899,21,0.0001710023934720084,True,0.0,402,False
GO:0003924,181,0.0025297612883150578,True,0.026011239853276136,73,True
GO:0003954,21,0.0005356965702958405,True,0.01565092353793851,177,False
GO:0003993,43,0.0004464898956939578,True,0.0,403,False
GO:0004175,24,1.795438220142387e-05,True,0.0026633881176403307,342,False
GO:0004176,34,1.767295179888606e-05,True,0.011489698571324869,223,False
GO:0004185,33,3.758089803795883e-07,False,,,False
GO:0004190,46,2.092448812618386e-05,True,0.0,404,False
GO:0004197,52,4.8100660933414474e-05,True,0.0,405,False
GO:0004222,46,9.36507603910286e-06,False,,,False
GO:0004252,116,6.885206676088274e-05,True,0.018405428914703093,140,False
GO:0004364,57,0.002222976181656122,True,0.0,406,False
GO:0004386,33,3.241065132897347e-05,True,0.0,407,False
GO:0004402,25,5.5007847549859434e-05,True,0.0,408,False
GO:0004497,98,0.0034721416886895895,True,0.0,409,False
GO:0004519,22,1.8662054571905173e-05,True,0.0,410,False
GO:0004521,34,5.1055012590950355e-06,False,,,False
GO:0004523,47,2.5985955289797857e-05,True,0.0063542673280794215,293,False
GO:0004540,29,6.961801773286425e-06,False,,,False
GO:0004553,48,0.00014712171105202287,True,0.01115015809135822,230,False
GO:0004565,22,3.8312646211124957e-05,True,0.04787160992267392,10,True
GO:0004568,23,0.00012424186570569873,True,0.0,411,False
GO:0004601,64,0.0012430015485733747,True,0.009295041097991952,250,False
GO:0004650,69,0.00017490499885752797,True,0.009150421367401629,251,False
GO:0004672,489,0.0004267521435394883,True,0.04729534005792946,11,True
GO:0004674,642,0.0010641186963766813,True,0.01254336819149282,214,False
GO:0004675,47,1.704802161839325e-05,False,,,False
GO:0004683,47,0.00016851896361913532,True,0.0,412,False
GO:0004707,20,6.210206629475579e-05,True,0.0,413,False
GO:0004712,48,1.2213373338454403e-05,False,,,False
GO:0004721,23,8.013585102162324e-06,False,,,False
GO:0004722,86,0.0001446271053282544,True,0.01600688462057387,171,False
GO:0004842,253,0.0002994647074956447,True,0.009660056425729868,245,False
GO:0004843,64,2.7070153009844944e-05,True,0.025667287825319685,77,True
GO:0004857,63,8.004926348803565e-05,True,0.026558529922317442,71,True
GO:0005085,40,4.4691616494674236e-05,True,0.0,414,False
GO:0005096,58,2.6886149498750456e-05,True,0.001441682968673197,360,False
GO:0005102,26,1.8878892660723068e-05,True,0.0,415,False
GO:0005179,56,1.821593104978092e-05,True,0.010636857211309136,234,False
GO:0005198,32,4.929365240968764e-05,True,0.02098741960415551,116,False
GO:0005199,28,1.020924719341565e-05,False,,,False
