sample_id,split,label,gene_set_type,annotated_gene_count,jaccard_gene_count,jaccard_mode,all_pair_count,evaluated_pair_count,complete_gene_set_sha256,jaccard_subset_sha256
AC_ALACAT2-PWY,train,1,NA,8,8,exact,28,28,3ce1ad2be484a76d71cc6617d5cd217f785c607b30d0b64c7f63b1e742069d72,3ce1ad2be484a76d71cc6617d5cd217f785c607b30d0b64c7f63b1e742069d72
AC_ARGSPECAT-PWY,train,1,NA,6,6,exact,15,15,ce415607e257a45ad98605af704cee4bcc58e2aac481fdae0eadc63601f6f832,ce415607e257a45ad98605af704cee4bcc58e2aac481fdae0eadc63601f6f832
AC_ARGSYN-PWY,train,1,NA,13,13,exact,78,78,250f906165206e314bfb924549badc84c4400c70289958bb29992892768cc296,250f906165206e314bfb924549badc84c4400c70289958bb29992892768cc296
AC_ARGSYNBSUB-PWY,train,1,NA,13,13,exact,78,78,b8e99e2639a1de236b641a20202f3d0cd47cc44be2925c49692d77b4f0a7ad8b,b8e99e2639a1de236b641a20202f3d0cd47cc44be2925c49692d77b4f0a7ad8b
AC_ARO-PWY,train,1,NA,10,10,exact,45,45,f327701bb03c6b100a587e0ec6d5986d683439e35ee70ca1903d62290699320b,f327701bb03c6b100a587e0ec6d5986d683439e35ee70ca1903d62290699320b
AC_ASPARAGINE-DEG1-PWY,train,1,NA,5,5,exact,10,10,f670d1b64e7bf537c60cfdd87c07aa13bb46437ca0a9762f028754b29e2e8191,f670d1b64e7bf537c60cfdd87c07aa13bb46437ca0a9762f028754b29e2e8191
AC_ASPARAGINE-DEG1-PWY-1,train,1,NA,15,15,exact,105,105,4190abeaa4491d0cf70f1e479fa78b74e1eff7e37edf6dfd3224dfca450ad5f7,4190abeaa4491d0cf70f1e479fa78b74e1eff7e37edf6dfd3224dfca450ad5f7
AC_ASPARTATE-DEG1-PWY,train,1,NA,9,9,exact,36,36,74049019ee0ef2b19c558240ba1e94f271e7545efccdcf2865e3d0a40244c3ea,74049019ee0ef2b19c558240ba1e94f271e7545efccdcf2865e3d0a40244c3ea
AC_ASPASN-ARA-PWY,train,1,NA,18,18,exact,153,153,ea8c2a698b6c48d04b220acbe1d8f0581dc847613710acdebbb6fa50364408ee,ea8c2a698b6c48d04b220acbe1d8f0581dc847613710acdebbb6fa50364408ee
AC_BRANCHED-CHAIN-AA-SYN-PWY,train,1,NA,21,21,exact,210,210,132838eb33086867c549d3b11c1f4ebf8dac1ede12d53bc68c01b1a5c9b187d1,132838eb33086867c549d3b11c1f4ebf8dac1ede12d53bc68c01b1a5c9b187d1
