held_out_family,n_train_pos,n_test_pos,n_test_neg,median_size,scale_pos_weight,feature_selection_protocol,nested_feature_selection,cross_split_source_leakage_count,test_auroc,test_auprc,f1,precision,recall,brier
AraCyc_Carbohydrate,523,15,30,27.0,2.0,fixed_primary_training_selected,False,0,0.9511111111111111,0.845741029123382,0.8571428571428571,0.75,1.0,0.09653759002685547
KEGG_Metabolism,529,9,18,71.0,2.0,fixed_primary_training_selected,False,0,0.9259259259259259,0.8808080808080809,0.7368421052631579,0.7,0.7777777777777778,0.10545951128005981
AraCyc_Cofactor,525,13,26,10.0,2.0,fixed_primary_training_selected,False,0,0.911242603550296,0.8524544083367611,0.7333333333333333,0.6470588235294118,0.8461538461538461,0.12225156277418137
AraCyc_Secondary,534,4,8,25.0,2.0,fixed_primary_training_selected,False,0,0.875,0.875,0.6666666666666666,0.6,0.75,0.15677082538604736
AraCyc_AminoAcid,516,22,44,18.0,2.0,fixed_primary_training_selected,False,0,0.8749999999999999,0.7796193070400974,0.6909090909090909,0.5757575757575758,0.8636363636363636,0.1675855964422226
AraCyc_Lipid,515,23,46,12.0,2.0,fixed_primary_training_selected,False,0,0.8724007561436673,0.8174049015819627,0.6792452830188679,0.6,0.782608695652174,0.15423135459423065
AraCyc_Nucleotide,518,20,40,18.0,2.0,fixed_primary_training_selected,False,0,0.8699999999999999,0.782529847679442,0.6341463414634146,0.6190476190476191,0.65,0.14594680070877075
AraCyc_Misc,252,286,572,11.0,2.0,fixed_primary_training_selected,False,0,0.8683554208029732,0.7300457429816183,0.6995073891625616,0.6594427244582043,0.7447552447552448,0.14468295872211456
KEGG_SignalTrans,513,25,50,55.0,2.0,fixed_primary_training_selected,False,0,0.8536,0.7680335039420811,0.6428571428571429,0.5806451612903226,0.72,0.17444637417793274
KEGG_GeneticInfo,517,21,42,61.0,2.0,fixed_primary_training_selected,False,0,0.8333333333333334,0.6138190257154948,0.68,0.5862068965517241,0.8095238095238095,0.17340831458568573
KEGG_Lipid,511,27,54,30.0,2.0,fixed_primary_training_selected,False,0,0.826474622770919,0.6988840917613028,0.5964912280701754,0.5666666666666667,0.6296296296296297,0.1751287877559662
KEGG_Cellular,467,71,142,41.0,2.0,fixed_primary_training_selected,False,0,0.8105534616147589,0.6055761951911319,0.6375,0.5730337078651685,0.7183098591549296,0.1813158541917801
