model,primary_model,included_in_primary_ensemble,primary_ratio,model_comparison_protocol,feature_selection_protocol,outer_test_used,status,n_folds,mean_auroc,sd_auroc,mean_auprc,sd_auprc,mean_normalized_auprc,sd_normalized_auprc,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,mean_brier,sd_brier,mean_elapsed_s,sd_elapsed_s,rank_by_mean_auroc
Random Forest,False,True,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.8439610932627778,0.01331174878470996,0.7996968700633794,0.021395632741005425,0.5993937401267591,0.04279126548201086,0.7999696043848517,0.021464778080779363,0.7147596930148666,0.02380742109629807,0.9087523838201347,0.02641428931039979,0.15632488370979936,0.005174882099064309,0.40307025909423827,0.00913123590226976,1
CatBoost,False,True,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.8400933620006793,0.023017402875885128,0.7872340471873893,0.04675231767094077,0.5744680943747785,0.09350463534188154,0.792340717230287,0.017912100656154856,0.7223341189204824,0.013977256741770156,0.8785707116330422,0.04057668884736887,0.1567772157759086,0.010157378719107074,0.33798020680745444,0.02760246636812902,2
XGBoost,False,True,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.8376141860384779,0.02278813635046294,0.7803445519928833,0.03702302428102894,0.5606891039857665,0.07404604856205788,0.7855309920493155,0.021150124216357088,0.7390364830644481,0.024508355389439043,0.8402288467329119,0.04496402627484833,0.16149461368719736,0.012909433771690989,0.14737038612365722,0.007472414034683766,3
Gradient Boosting,False,True,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.8364069308776105,0.021801114113738237,0.7821125279178504,0.03876114379600167,0.5642250558357008,0.07752228759200334,0.7862854126472579,0.018041290260937926,0.7327874511385492,0.0205407419690177,0.8491920104386228,0.0329900458536366,0.16250833749892696,0.013467772555598272,0.586881685256958,0.026439527895592785,4
LightGBM,False,True,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.8333890936966626,0.024252162027180092,0.7784448904637038,0.04503425245770305,0.5568897809274077,0.09006850491540609,0.7812350488108584,0.027224979886332667,0.7343872033355011,0.02947807581680167,0.8362240289069558,0.04594965987384841,0.16553952786087323,0.014743652524166252,1.063155428568522,0.07592312962466229,5
Extra Trees,False,True,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.8320412460763057,0.020052715549685733,0.788771079751696,0.035230274147399133,0.5775421595033917,0.07046054829479825,0.7835760084173888,0.01948673158919068,0.6843703789131271,0.015401341818533665,0.9169125765331728,0.033277434566686664,0.16960502016613097,0.005899683260225667,0.2551827907562256,0.003577577699253015,6
RBF SVM,False,False,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.814455350197719,0.026375171658677265,0.7845881261510325,0.036371317729467105,0.5691762523020648,0.07274263545893421,0.7444917323476499,0.02729962513290088,0.6999859821447523,0.02155554045323707,0.7962059620596206,0.04627464494008296,0.17605075446986243,0.009719321820743598,0.06071607271830241,0.0012851716147730906,7
Logistic Regression,False,False,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.8025177015239433,0.02803059028438616,0.7592268926774648,0.04481528408488493,0.5184537853549299,0.08963056816976986,0.7513080854239695,0.02423628554309388,0.7180395751330038,0.023263017278720596,0.7889491117133394,0.03959397999217985,0.18064580283424497,0.014683035540406246,0.007918850580851237,0.0007531144855928987,8
Linear SVM,False,False,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.801670886435185,0.02816430466008548,0.7581599094339839,0.042173583475668734,0.5163198188679681,0.08434716695133747,0.7625865429747323,0.024274429474930095,0.7011596370174867,0.01734223460854431,0.8370069256248117,0.04557421818971675,0.18882973076092344,0.012716706482164875,0.13143269220987955,0.030379315092632572,9
k-NN (k=7),False,False,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.7570869927252365,0.035819036593212804,0.6997037744088231,0.040987711646997875,0.3994075488176462,0.08197542329399575,0.7301102990529224,0.023513263226575296,0.6733203783253782,0.03065864784749997,0.7995182174043962,0.04151756669386703,0.19807860512467562,0.016151633744064666,0.006265830993652344,0.003772345761788347,10
MLP,False,False,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.7354541788054525,0.04327678252906915,0.6963396503315695,0.051801416531492804,0.39267930066313883,0.1036028330629856,0.6999257109046556,0.04197152083251192,0.646338000482692,0.03167671425861948,0.7694770651410219,0.08876761783286578,0.20821338891983032,0.018484306708880256,0.020786507924397787,0.004580087716456006,11
Gaussian Naive Bayes,False,False,1:1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,False,ok,15,0.7189604102175944,0.02534774311617896,0.6573851418359331,0.03175606012104904,0.3147702836718664,0.06351212024209808,0.7322165302356715,0.01750521118488912,0.6218404715817681,0.023511313821048267,0.8924319983940581,0.03973133183011386,0.3176635404427846,0.021779607470898178,0.004711707433064778,0.0003336141307575162,12
