model,primary_ratio,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,primary_split_sha256,status,cv_auroc_mean,cv_auroc_sd,train_size,test_size,scale_pos_weight,elapsed_s,test_auroc,test_auprc,f1,precision,recall,brier,rank_by_auroc
CatBoost,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.43845367431640625,0.8789706852672259,0.8551914773660158,0.7926267281105991,0.7543859649122807,0.8349514563106796,0.13860922143931698,1
XGBoost,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.8422939777374268,0.8739749269488171,0.8426952532797765,0.8090909090909091,0.7606837606837606,0.8640776699029126,0.1401742398738861,2
Random Forest,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.4367198944091797,0.8738806673579037,0.8412872450542334,0.8281938325991189,0.7580645161290323,0.912621359223301,0.14461355622799088,3
Gradient Boosting,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.7788810729980469,0.8727495522669432,0.8389044784332722,0.8075117370892019,0.7818181818181819,0.8349514563106796,0.14272540129524333,4
LightGBM,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,1.1641418933868408,0.864926006221133,0.823790086879034,0.8073394495412844,0.7652173913043478,0.8543689320388349,0.1444951246818206,5
AdaBoost,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.26262593269348145,0.8620510886982751,0.835328280199441,0.7962085308056872,0.7777777777777778,0.8155339805825242,0.21154483870670332,6
Extra Trees,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.3001410961151123,0.8530492977660478,0.8267004960941495,0.8132780082987552,0.7101449275362319,0.9514563106796117,0.16380544893813417,7
RBF SVM,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.08829498291015625,0.8392873974926949,0.8097214472638363,0.7735849056603774,0.7522935779816514,0.7961165048543689,0.16815806399416972,8
Linear SVM,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.16197896003723145,0.810443962673202,0.7857967171153872,0.7589285714285714,0.7024793388429752,0.8252427184466019,0.1852199558492517,9
k-NN (k=7),1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.0673220157623291,0.8089829390140446,0.7479127695574785,0.7511737089201878,0.7272727272727273,0.7766990291262136,0.17327125024767187,10
Logistic Regression,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.005762815475463867,0.7964935432180225,0.7567339692546913,0.7522935779816514,0.7130434782608696,0.7961165048543689,0.18069239653136893,11
MLP,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.020218849182128906,0.7900838910359129,0.7596770147738552,0.730593607305936,0.6896551724137931,0.7766990291262136,0.1836918145418167,12
Gaussian Naive Bayes,1:1,heldout_only,primary_train_fixed60,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,ok,,,818,206,1.0,0.00074005126953125,0.7332924875106043,0.6684765106646547,0.7321428571428571,0.6776859504132231,0.7961165048543689,0.2677038013935089,13
