model,primary_model,included_in_primary_ensemble,primary_ratio,repeat_index,repeat_seed,fold_index,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,train_records_sha256,validation_records_sha256,n_train,n_validation,positive_prevalence,auroc,auprc,normalized_auprc,f1,precision,recall,brier,scale_pos_weight,elapsed_s
Logistic Regression,False,False,1:1,0,42,0,outer_training_repeated_stratified_cv,nested_fold_training_selected60,b9f1edb670a53afef5f4c085e90bf5e13a41156251f6667b1a65871f2c4c47e0,59ab623a6fd2b1fed6ea59d4420d8b51c9da7bf972e93c74c6f8499ae9c52023,7b0fa24903b8cdc5a08676b2c829ec06863d7581912c5b6ebc2f0c80d27dbdbe,654,164,0.5,0.8285246876859013,0.8118521842457452,0.6237043684914905,0.7613636363636364,0.7127659574468085,0.8170731707317073,0.17180959770126214,,0.011039257049560547
Logistic Regression,False,False,1:1,0,42,1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,c59d36017adea2f05186de3822c3dd8c95d35f359f7ff35c586a14db623a3103,f66a9d46ada9f2c720c29f4a2170b56fa4e599fc6efd6d16745318b5923deb47,b2563a6c33969e4a6bb9c954023fe0e57453b8045ac09a63723a6805a51c9156,654,164,0.5,0.79506246281975,0.771481568076144,0.542963136152288,0.7176470588235294,0.6931818181818182,0.7439024390243902,0.18470618616856072,,0.008764028549194336
Logistic Regression,False,False,1:1,0,42,2,outer_training_repeated_stratified_cv,nested_fold_training_selected60,091c82241439a2f22ad7066be22112027623cd7401cf37ff3920d078a7a913e2,5ed471c59d6e2f54cdd65e2737a75ba57a350dad7984e2318d16214bb66d28f8,2444d14ff567b2eeca973896fa6cde602f8aa12430c74ec9b2547ad41729d674,654,164,0.5,0.8404223676383105,0.800097718463523,0.6001954369270459,0.788235294117647,0.7613636363636364,0.8170731707317073,0.1614230448594682,,0.008558034896850586
Logistic Regression,False,False,1:1,0,42,3,outer_training_repeated_stratified_cv,nested_fold_training_selected60,971bb2c8d0b3b7495acb94f62ea8741d4ff4e6e52c17cfe1f97b50e8801a1513,e90922b7bb8cd3eabf44e9630180d9357da8f8ac2f311138363642020c1dcf80,08942af6ef5e95e4966e919e8cd48f98f7490caf3a5f5ed389bf63f95e6d8a8c,654,164,0.5,0.7790005948839976,0.7307856150748456,0.46157123014969126,0.7344632768361582,0.6842105263157895,0.7926829268292683,0.19414581094113886,,0.008686065673828125
Logistic Regression,False,False,1:1,0,42,4,outer_training_repeated_stratified_cv,nested_fold_training_selected60,78610b63b09a3b3be6828cac4d903ead2c4bc5386d421ebf8e60227a9040ab96,5665a9f2c93203cbc2f88d1662f9840d2a40f41ad01123fa61bbf9f36c8333e9,32cfdbe9e420ac6c89283da38df44395a7e2e9a12b0d9ac84e4434065222778c,656,162,0.5,0.807498856881573,0.7760760222753773,0.5521520445507546,0.7586206896551724,0.7096774193548387,0.8148148148148148,0.1805728355118449,,0.007684946060180664
Logistic Regression,False,False,1:1,1,7,0,outer_training_repeated_stratified_cv,nested_fold_training_selected60,74e66c11e57d405efbe19a02f13985423c60121aaf1960175664824578d0255d,db68b2d1699bcc7a1cc9c6f756e3910799251ac31f2d641e29a239fe3181ff92,335af9bd7afcd2259d1181eaa5819120f30652df5f64c3243ff1b8197a79d2dc,654,164,0.5,0.7946162998215348,0.7156188601716821,0.43123772034336416,0.7261904761904762,0.7093023255813954,0.7439024390243902,0.1834167737218263,,0.007620096206665039
Logistic Regression,False,False,1:1,1,7,1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,850c47286a5ff6cd122bd73c64fe0c130b4f93517aa2f9a4ab0225caa37355f8,4f2b4d0b2d694c558e9bb7a6465bed1ac6448325524d50c791021e209ccdaf5d,86aada5abf18cf3701c6e51e14a33d21e3b2ad895f3f0c45c8d5a0bd4f5fcc4a,654,164,0.5,0.7633848899464605,0.6868249353297025,0.3736498706594049,0.7630057803468208,0.7252747252747253,0.8048780487804879,0.1921572300782162,,0.007869958877563477
Logistic Regression,False,False,1:1,1,7,2,outer_training_repeated_stratified_cv,nested_fold_training_selected60,a58cdcfd42f13eceb650b4e384e38c15ac3d252fa7a9cf51166f33733bec7373,949cdc431ad2125fada26ddf601bbc12103ac458adbb00518b502a27c4927d5c,5df8524acbc6019e5523bc48ded764fc33e1d60fc4db4b43aba433f43e49efd9,654,164,0.5,0.8314991076740036,0.796676015008311,0.593352030016622,0.7771428571428571,0.7311827956989247,0.8292682926829268,0.16857677070743132,,0.008140087127685547
Logistic Regression,False,False,1:1,1,7,3,outer_training_repeated_stratified_cv,nested_fold_training_selected60,0787429d108adbb8f716a931370780c2b496f9b4a512b716c8c31ecf6b7c002f,9c7ff1132650efbf5ac87f0d8960f2e63039cec602b277720f2f4a055c1463a9,774ee8a88809e1b49e5c4a3d351bd74417ebe2c9f7a902be8c531548de80fd28,654,164,0.5,0.8143961927424153,0.7452490922030044,0.4904981844060088,0.7727272727272727,0.723404255319149,0.8292682926829268,0.17237235563522468,,0.007425785064697266
Logistic Regression,False,False,1:1,1,7,4,outer_training_repeated_stratified_cv,nested_fold_training_selected60,fd5a87140a37ffe54b3e77a354b4bd55b27678e3392d3612bcc974fcd938aac7,717d1fde29d688119ddcb0e8d6fdaddeae45b7f31dcfad4181a313b2268ad4f7,e2f3e3e1fcabf2b6e1cdf7a8755dc0d935aeaa37f0988f433f20e9e4a3703b20,656,162,0.5,0.7732053040695015,0.7426662139448451,0.4853324278896902,0.735632183908046,0.6881720430107527,0.7901234567901234,0.1962002541073273,,0.008536100387573242
