category,item,previous_value,candidate_value,candidate_minus_previous
dataset,source database records,538,538,0.0
dataset,positive modelling instances,512,512,0.0
dataset,KEGG source records,155,155,0.0
dataset,AraCyc source records,383,383,0.0
dataset,exact duplicate groups,20,20,0.0
dataset,collapsed extra records,26,26,0.0
split,outer training positives,409,409,0.0
split,outer test positives,103,103,0.0
features,selected GO term count,60,60,0.0
features,selected GO overlap count,60,60,0.0
features,selected GO Jaccard,1.0,1.0,0.0
ablation,full test_auroc,0.8618154397209916,0.8726552926760298,0.010839852955038198
ablation,full test_auprc,0.831031064059151,0.8496029638483467,0.01857189978919571
ablation,full f1,0.8018018018018018,0.8108108108108109,0.009009009009009028
ablation,go_only test_auroc,0.8045998680365727,0.807427655763974,0.002827787727401332
ablation,go_only test_auprc,0.7617936886908933,0.7563683676129258,-0.005425321077967449
ablation,go_only f1,0.7782426778242678,0.7692307692307693,-0.009011908593498541
ablation,jaccard_only test_auroc,0.766518993307569,0.7644452823074747,-0.002073711000094347
ablation,jaccard_only test_auprc,0.7522201802819135,0.7483974417484375,-0.0038227385334760333
ablation,jaccard_only f1,0.6764705882352942,0.6568627450980392,-0.019607843137254943
ablation,minus_go test_auroc,0.8411725893109623,0.8371194269016873,-0.004053162409275002
ablation,minus_go test_auprc,0.808229706899952,0.8160195440402249,0.007789837140272926
ablation,minus_go f1,0.7802690582959642,0.7477477477477478,-0.03252131054821639
ablation,minus_jaccard test_auroc,0.8358940522198133,0.8407012913563956,0.00480723913658232
ablation,minus_jaccard test_auprc,0.7904777742908793,0.8149740654155953,0.024496291124715963
ablation,minus_jaccard f1,0.7829787234042553,0.7644444444444445,-0.018534278959810857
ablation,minus_size test_auroc,0.8489018757658592,0.844094636629277,-0.004807239136582209
ablation,minus_size test_auprc,0.8205948343527286,0.8066658669924038,-0.013928967360324784
ablation,minus_size f1,0.8070175438596491,0.8018018018018018,-0.00521574205784725
ablation,size_only test_auroc,0.7769818078989537,0.7818833066264492,0.004901498727495568
ablation,size_only test_auprc,0.7281321962663247,0.7310557760275214,0.0029235797611966152
ablation,size_only f1,0.7327586206896551,0.7478260869565218,0.015067466266866614
importance,top-10 feature overlap,10,9,-1.0
protocol,GO selection mode,outer_train_fixed60_with_nested_ratio_cv,outer_train_fixed60_with_nested_ratio_cv,
protocol,primary split hash,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390,
protocol,primary class ratio,1:1,1:1,
