gene_set_group_id,gene_set_sha256,representative_pathway_id,source_record_count,database_count,source_pathway_ids,source_pathway_names,source_databases,raw_gene_count
GSG_b2ac5bb677cdd7be,b2ac5bb677cdd7be86b7c205c1f7a9dd79b16e435fa59a447c733cd04c90c74e,AC_PWY-5321,2,1,AC_PWY-5321;AC_PWY-6266-ARA,quercetin glycoside biosynthesis (Arabidopsis);superpathway of flavones and derivatives biosynthesis,AraCyc;AraCyc,38
GSG_72f4e84665689167,72f4e846656891672df655d09d21e6ae2c322a5699451e035642442e07f20269,AC_PWY4FS-3,2,1,AC_PWY4FS-3;AC_PWY4FS-4,phosphatidylcholine biosynthesis III;phosphatidylcholine biosynthesis IV,AraCyc;AraCyc,8
GSG_d4801cadaf75345e,d4801cadaf75345ed48e287d52410cd0d5b799dd407f798827bfc8372fae1911,AC_PWY-6358,2,1,AC_PWY-6358;AC_PWY-6363,"superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism;D-myo-inositol (1,4,5)-trisphosphate degradation",AraCyc;AraCyc,10
GSG_4e5a07528b453623,4e5a07528b45362324b22e8de4e41ea4bd78caca999e87a15ee5cf57d79fdd19,AC_PWY-5386,2,1,AC_PWY-5386;AC_PWY-5386-1,methylglyoxal degradation I;methylglyoxal degradation VIII,AraCyc;AraCyc,11
GSG_354a7c63fdf8239f,354a7c63fdf8239f2c3b7e86253b2d8650800ec4a0e36ae79b43981892543ab7,AC_PWY-5971,2,1,AC_PWY-5971;AC_PWY-5989,palmitate biosynthesis II (type II fatty acid synthase);stearate biosynthesis II (bacteria and plants),AraCyc;AraCyc,33
GSG_0c1a5fc00d9d6fe2,0c1a5fc00d9d6fe245e349e822122e7c594f316fede77f1b2f471970d69f9e0f,AC_PWY-8279,2,1,AC_PWY-8279;AC_PWY-8280,palmitate biosynthesis III;stearate biosynthesis IV,AraCyc;AraCyc,32
GSG_4a1bb1ac7889f7f7,4a1bb1ac7889f7f7a7788d63f9f7cb970f0e3c6cb42bc455819a494309b61eb3,AC_ILE-VAL-PWY,2,1,AC_ILE-VAL-PWY;AC_VALSYN-PWY,superpathway of isoleucine and valine biosynthesis;L-valine biosynthesis,AraCyc;AraCyc,7
GSG_e0073353c3c5625e,e0073353c3c5625e796d988d35938a95e5b89dddc1ad4984f461f5e1a963343c,AC_PWY-6014,3,1,AC_PWY-6014;AC_PWY-6710;AC_PWY-7634,vernolate biosynthesis I;poly-hydroxy fatty acids biosynthesis;vernolate biosynthesis II,AraCyc;AraCyc;AraCyc,8
GSG_c59b47253643841f,c59b47253643841f606af04b2ee9a4def9c33f1d941a9f69b149d25a6f76af72,AC_PWY-181,2,1,AC_PWY-181;AC_PWY-8363,photorespiration I;photorespiration III,AraCyc;AraCyc,23
GSG_1999cc88a800537e,1999cc88a800537e6236fb02002a42f158beb96d81c3cc854b4277480230309f,AC_PWY-1187,4,1,AC_PWY-1187;AC_PWYQT-4472;AC_PWYQT-4473;AC_PWYQT-4474,glucosinolate biosynthesis from homomethionine;glucosinolate biosynthesis from trihomomethionine;glucosinolate biosynthesis from tetrahomomethionine;glucosinolate biosynthesis from pentahomomethionine,AraCyc;AraCyc;AraCyc;AraCyc,32
GSG_c99083c4c9fc8f79,c99083c4c9fc8f79e65e2b84a80daf72d6ab041dcad48d3d940ac723f403679c,AC_ALANINE-DEG3-PWY,2,1,AC_ALANINE-DEG3-PWY;AC_ALANINE-SYN2-PWY,L-alanine degradation III;L-alanine biosynthesis II,AraCyc;AraCyc,6
