id,name,source,raw_gene_count,annotated_gene_count,gene_set_group_id,gene_set_sha256,source_record_count,mixed_source
AC_ALACAT2-PWY,L-alanine degradation II (to D-lactate),AraCyc,8,8,GSG_3ce1ad2be484a76d,3ce1ad2be484a76d71cc6617d5cd217f785c607b30d0b64c7f63b1e742069d72,1,False
AC_ALANINE-DEG3-PWY,L-alanine degradation III,AraCyc,6,6,GSG_c99083c4c9fc8f79,c99083c4c9fc8f79e65e2b84a80daf72d6ab041dcad48d3d940ac723f403679c,2,False
AC_ARGSPECAT-PWY,spermine biosynthesis,AraCyc,6,6,GSG_ce415607e257a45a,ce415607e257a45ad98605af704cee4bcc58e2aac481fdae0eadc63601f6f832,1,False
AC_ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),AraCyc,13,13,GSG_250f906165206e31,250f906165206e314bfb924549badc84c4400c70289958bb29992892768cc296,1,False
AC_ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),AraCyc,13,13,GSG_b8e99e2639a1de23,b8e99e2639a1de236b641a20202f3d0cd47cc44be2925c49692d77b4f0a7ad8b,1,False
AC_ARO-PWY,chorismate biosynthesis I,AraCyc,10,10,GSG_f327701bb03c6b10,f327701bb03c6b100a587e0ec6d5986d683439e35ee70ca1903d62290699320b,1,False
AC_ASPARAGINE-DEG1-PWY,L-asparagine degradation I,AraCyc,5,5,GSG_f670d1b64e7bf537,f670d1b64e7bf537c60cfdd87c07aa13bb46437ca0a9762f028754b29e2e8191,1,False
AC_ASPARAGINE-DEG1-PWY-1,L-asparagine degradation III (mammalian),AraCyc,15,15,GSG_4190abeaa4491d0c,4190abeaa4491d0cf70f1e479fa78b74e1eff7e37edf6dfd3224dfca450ad5f7,1,False
AC_ASPARTATE-DEG1-PWY,L-aspartate degradation I,AraCyc,9,9,GSG_74049019ee0ef2b1,74049019ee0ef2b19c558240ba1e94f271e7545efccdcf2865e3d0a40244c3ea,2,False
AC_ASPASN-ARA-PWY,superpathway of aspartate and asparagine biosynthesis,AraCyc,18,18,GSG_ea8c2a698b6c48d0,ea8c2a698b6c48d04b220acbe1d8f0581dc847613710acdebbb6fa50364408ee,1,False
AC_BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched chain amino acid biosynthesis,AraCyc,21,21,GSG_132838eb33086867,132838eb33086867c549d3b11c1f4ebf8dac1ede12d53bc68c01b1a5c9b187d1,1,False
AC_BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,AraCyc,7,7,GSG_1734f79d2c10c858,1734f79d2c10c85806e2c9d8ee6e7e136f13c8292b1fcabf64f114eb4893275f,1,False
AC_CALVIN-PWY,Calvin-Benson-Bassham cycle,AraCyc,35,35,GSG_325f04b12895a72a,325f04b12895a72a280af68cf65a5329edaa4b2341db289c2e529ae4e92cd9b8,1,False
AC_CAMALEXIN-SYN,camalexin biosynthesis,AraCyc,31,31,GSG_5fb2f174634100a2,5fb2f174634100a2e0aaff6ec609009a975213eee52c37cbad85ca1d9a186759,1,False
AC_CHLOROPHYLL-SYN,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",AraCyc,10,10,GSG_137141452fbd6908,137141452fbd6908069ca7724b42b67f854c6ed58b3171221935ea28de1c50e2,1,False
AC_CITRULBIO-PWY,L-citrulline biosynthesis,AraCyc,43,43,GSG_3e636cfe523783f3,3e636cfe523783f325563127d1cd6f1bd8cdf7ead0024987fbdcad39e3cbe859,1,False
