ratio,model,ratio_value,repeat_index,repeat_seed,fold_index,n_train_positive,n_train_negative,n_validation_positive,n_validation_negative,positive_prevalence,random_auprc_baseline,auroc,raw_auprc,normalized_auprc,f1,precision,recall,brier,scale_pos_weight,class_weight,train_negative_seed,validation_negative_seed,feature_selection_seed,model_seed,selected_go_sha256,train_records_sha256,validation_records_sha256,elapsed_s
1:1,Random Forest,1,0,42,0,327,327,82,82,0.5,0.5,0.8643664485425342,0.838782448056355,0.6775648961127101,0.8172043010752689,0.7307692307692307,0.926829268292683,0.15217488608981927,,balanced,1973658644,3715151037,233149161,2399526814,5278fff3821350ea3dc0c70b80e6e99f83336c8ad2b59b7373f297543e130dfd,59ab623a6fd2b1fed6ea59d4420d8b51c9da7bf972e93c74c6f8499ae9c52023,7b0fa24903b8cdc5a08676b2c829ec06863d7581912c5b6ebc2f0c80d27dbdbe,0.4128727912902832
1:1,Random Forest,1,0,42,1,327,327,82,82,0.5,0.5,0.842207019631172,0.8207191360824242,0.6414382721648484,0.8085106382978723,0.7169811320754716,0.926829268292683,0.15333533946974098,,balanced,2786658438,2191900349,3517737438,2371526345,3398140c2e00dc38b670c41174640c34bdda9f6cd1367fd0977367652cc22e38,f66a9d46ada9f2c720c29f4a2170b56fa4e599fc6efd6d16745318b5923deb47,b2563a6c33969e4a6bb9c954023fe0e57453b8045ac09a63723a6805a51c9156,0.41695308685302734
1:1,Random Forest,1,0,42,2,327,327,82,82,0.5,0.5,0.8558893515764426,0.8269989200146047,0.6539978400292095,0.8,0.7037037037037037,0.926829268292683,0.1531755052888897,,balanced,1888399133,2010463502,629780227,48921201,925090bcb392d41f06c980858132ef87f005a390fd68d1b0c688053eb6d7ba04,5ed471c59d6e2f54cdd65e2737a75ba57a350dad7984e2318d16214bb66d28f8,2444d14ff567b2eeca973896fa6cde602f8aa12430c74ec9b2547ad41729d674,0.4150729179382324
1:1,Random Forest,1,0,42,3,327,327,82,82,0.5,0.5,0.8432480666270077,0.8112115898921369,0.6224231797842739,0.7853403141361257,0.6880733944954128,0.9146341463414634,0.1607184828163731,,balanced,1161336969,599905126,3703496083,230894654,4d111ad9204fba96f909bb2562700bad74ca678c6f83c13fd7ea8c69b16dd807,e90922b7bb8cd3eabf44e9630180d9357da8f8ac2f311138363642020c1dcf80,08942af6ef5e95e4966e919e8cd48f98f7490caf3a5f5ed389bf63f95e6d8a8c,0.4210019111633301
1:1,Random Forest,1,0,42,4,328,328,81,81,0.5,0.5,0.8340192043895749,0.7799805439668568,0.5599610879337136,0.776595744680851,0.6822429906542056,0.9012345679012346,0.1607646779949062,,balanced,1001834057,624141303,515383750,972393367,cd9e7bcf1f2a4a6d25455689bc11c8ee7bec0452c5c1c2aca61597c0d45759bb,5665a9f2c93203cbc2f88d1662f9840d2a40f41ad01123fa61bbf9f36c8333e9,32cfdbe9e420ac6c89283da38df44395a7e2e9a12b0d9ac84e4434065222778c,0.40216612815856934
1:1,Random Forest,1,1,7,0,327,327,82,82,0.5,0.5,0.8371505056513979,0.7783542855840051,0.5567085711680102,0.8020833333333334,0.7,0.9390243902439024,0.15887309510734987,,balanced,2521657055,4094230609,264134123,842399429,2e6ca5303b34a4fe854d80284e572f74a5d6f5f2a5796bc30f898b7b639b075e,db68b2d1699bcc7a1cc9c6f756e3910799251ac31f2d641e29a239fe3181ff92,335af9bd7afcd2259d1181eaa5819120f30652df5f64c3243ff1b8197a79d2dc,0.414186954498291
1:1,Random Forest,1,1,7,1,327,327,82,82,0.5,0.5,0.837299226650803,0.7932909453739864,0.5865818907479727,0.8085106382978723,0.7169811320754716,0.926829268292683,0.15589765893954421,,balanced,3885368634,2431578943,1619142612,2845288631,f68df1df1b2c5cbd6db7041da2263a333c7c7b441ee9ca0dcccf733fd89454a2,4f2b4d0b2d694c558e9bb7a6465bed1ac6448325524d50c791021e209ccdaf5d,86aada5abf18cf3701c6e51e14a33d21e3b2ad895f3f0c45c8d5a0bd4f5fcc4a,0.4100518226623535
1:1,Random Forest,1,1,7,2,327,327,82,82,0.5,0.5,0.8573765615704938,0.832894422860039,0.665788845720078,0.8128342245989305,0.7238095238095238,0.926829268292683,0.1515902942471624,,balanced,1974496636,1223099430,3474831427,1753096405,bc7931d975347cf6576f7f626831ec012ccf984a95e6fd0587ef6df70e8d3068,949cdc431ad2125fada26ddf601bbc12103ac458adbb00518b502a27c4927d5c,5df8524acbc6019e5523bc48ded764fc33e1d60fc4db4b43aba433f43e49efd9,0.40775418281555176
1:1,Random Forest,1,1,7,3,327,327,82,82,0.5,0.5,0.8227245687091018,0.7898562930695994,0.5797125861391987,0.7675675675675676,0.6893203883495146,0.8658536585365854,0.16303436315815217,,balanced,2308674788,3336517605,3055848280,3336201630,a1818ebf18f9e8e948971a8bdad5f89505e8c82be5c4dcc926f14605bda9aec9,9c7ff1132650efbf5ac87f0d8960f2e63039cec602b277720f2f4a055c1463a9,774ee8a88809e1b49e5c4a3d351bd74417ebe2c9f7a902be8c531548de80fd28,0.40325307846069336
1:1,Random Forest,1,1,7,4,328,328,81,81,0.5,0.5,0.8399634202103338,0.7826051474043508,0.5652102948087017,0.8297872340425532,0.7289719626168224,0.9629629629629629,0.15954350499516654,,balanced,26843640,2371250898,2203746204,3425021368,93937c4f98d6d775557fb35b1a1de47f4466aa14a18df0b9fb68833c2587fb88,717d1fde29d688119ddcb0e8d6fdaddeae45b7f31dcfad4181a313b2268ad4f7,e2f3e3e1fcabf2b6e1cdf7a8755dc0d935aeaa37f0988f433f20e9e4a3703b20,0.41469907760620117
