ratio,model,ratio_value,n_folds,preselected_primary_ratio,mean_positive_prevalence,feature_selection_protocol,mean_auroc,sd_auroc,mean_raw_auprc,sd_raw_auprc,mean_normalized_auprc,sd_normalized_auprc,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,mean_brier,sd_brier,delta_auroc_vs_1_1,delta_auroc_over_pooled_sd,interpretation_note
1:1,Logistic Regression,1,15,True,0.5,nested_fold_training_selected60,0.8025177015239433,0.02803059028438616,0.7592268926774648,0.04481528408488493,0.5184537853549299,0.08963056816976986,0.7513080854239695,0.02423628554309388,0.7180395751330038,0.023263017278720596,0.7889491117133394,0.03959397999217985,0.18064580283424497,0.014683035540406246,0.0,0.0,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:2,Logistic Regression,2,15,False,0.33333333333333326,nested_fold_training_selected60,0.8087693677688447,0.018384370176476317,0.6321371477788241,0.03465438926721622,0.44820572166823636,0.05198158390082433,0.6592899651320017,0.021429451245107322,0.5643698609308825,0.01879058808782792,0.7939375690053198,0.042277846914855186,0.18211084105165737,0.011564596585370455,0.006251666244901366,0.26374593441877103,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:3,Logistic Regression,3,15,False,0.25,nested_fold_training_selected60,0.8030690066343936,0.012440800699970507,0.5342136402308254,0.023044768152431276,0.37895152030776713,0.030726357536575044,0.578707847170507,0.021945783158094267,0.4621561991863795,0.0286657473919288,0.7767740640369367,0.030557926667942083,0.1847545705382054,0.01256726320425122,0.0005513051104503175,0.025423216689015444,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:4,Logistic Regression,4,15,False,0.20000000000000007,nested_fold_training_selected60,0.8130833870778067,0.012168530706646833,0.4760784787559188,0.03142334539915459,0.3450980984448984,0.03927918174894322,0.5303412138794139,0.01635723088756971,0.3980458417330823,0.0158712567816982,0.7955334738532571,0.028368177877443234,0.18183440783304283,0.008792262295524699,0.010565685553863391,0.4889773437888952,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:5,Logistic Regression,5,15,False,0.16666666666666663,nested_fold_training_selected60,0.813117311529322,0.016002449074465627,0.4231021962362129,0.03861799216601097,0.30772263548345535,0.04634159059921318,0.4827665928475679,0.019623917860476188,0.34703460260094576,0.017166237215469754,0.7955234367158486,0.04610618365617946,0.18242307520010972,0.008794421329867595,0.010599610005378679,0.46442361912482516,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:1,Random Forest,1,15,True,0.5,nested_fold_training_selected60,0.8439610932627778,0.01331174878470996,0.7996968700633794,0.021395632741005425,0.5993937401267591,0.04279126548201086,0.7999696043848517,0.021464778080779363,0.7147596930148666,0.02380742109629807,0.9087523838201347,0.02641428931039979,0.15632488370979936,0.005174882099064309,0.0,0.0,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:2,Random Forest,2,15,False,0.33333333333333326,nested_fold_training_selected60,0.8291558123684553,0.012528591407300366,0.6451696455657228,0.027860986954985317,0.4677544683485844,0.04179148043247797,0.6702105197322007,0.02142559586870889,0.582758473366488,0.02390027546977188,0.7898123055304628,0.03384724542428311,0.15984423878254672,0.00575671346521242,-0.014805280894322537,-1.1453785660762161,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:3,Random Forest,3,15,False,0.25,nested_fold_training_selected60,0.8331905355848962,0.013148239841462609,0.557047061714426,0.037752598573362404,0.4093960822859012,0.05033679809781653,0.5995494488882868,0.02249524639677793,0.5078588444751603,0.02536632560859675,0.7352905751279735,0.053233250469527635,0.150078228089488,0.006494808390107668,-0.010770557677881598,-0.8140859162028059,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:4,Random Forest,4,15,False,0.20000000000000007,nested_fold_training_selected60,0.8329353299318287,0.013056781079455902,0.4882055444028925,0.031452464389102645,0.3602569305036157,0.0393155804863783,0.5408789321057186,0.022350399331004252,0.44633863589168554,0.03237352778583425,0.6920606243099467,0.04874049767238574,0.1427711752560642,0.007218515619946485,-0.011025763330949068,-0.8362428990156873,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
1:5,Random Forest,5,15,False,0.16666666666666663,nested_fold_training_selected60,0.8307932357854141,0.010811894364658323,0.42789869967278005,0.04193747246659958,0.3134784396073361,0.05032496695991949,0.4902434257029401,0.01658996032087243,0.393921350436466,0.024774683546389287,0.6562380808993274,0.06118318097600368,0.1369261874847614,0.005934931422947086,-0.01316785747736371,-1.0858824470842907,Normalized AUPRC adjusts the random baseline but is not fully prevalence invariant.
