model,feature,mean_abs_probability_shap
Random Forest,GO:0008150,0.033713436567550256
Random Forest,GO:0003700,0.01234973243729408
Random Forest,GO:0030533,0.007298426118992336
Random Forest,GO:0006414,0.007586696200012367
Random Forest,GO:0005575,0.007977719609463002
Random Forest,GO:0009507,0.01774510632121536
Random Forest,GO:0006355,0.008755673747766994
Random Forest,GO:0007165,0.004188316536462058
Random Forest,GO:0006412,0.010567532862507624
Random Forest,GO:0004565,0.00011494032258699638
Random Forest,GO:0004672,0.0027496963490284817
Random Forest,GO:0044024,3.1959558990118384e-05
Random Forest,GO:0055085,0.0016094221036627376
Random Forest,GO:0042393,4.271223061730615e-05
Random Forest,GO:0009860,0.0024332443169258295
Random Forest,GO:0019761,0.0003221673610532453
Random Forest,GO:0046686,0.002103425864615181
Random Forest,GO:0005886,0.005013622255197257
Random Forest,GO:1902074,0.00020095954890826236
Random Forest,GO:0009813,0.00046200963297422955
Random Forest,GO:0009931,1.8009044407618313e-05
Random Forest,GO:0005819,0.00046517612549575873
Random Forest,GO:0046933,0.00011699458693097271
Random Forest,GO:0005783,0.0033538656173848352
Random Forest,GO:0005741,0.0006828848175331994
Random Forest,GO:0005737,0.016779889026211296
Random Forest,GO:0051082,0.00018485527800030978
Random Forest,GO:0038023,3.908306631909933e-06
Random Forest,GO:0008483,0.0023368161139345266
Random Forest,GO:0005829,0.014746230473948477
Random Forest,GO:0009451,8.9574255416728e-05
Random Forest,GO:0009809,0.0013913413485008876
Random Forest,GO:0010197,0.00022384543413187273
Random Forest,GO:0000785,0.0003234731804628446
Random Forest,GO:0000287,0.0011695990864502733
Random Forest,GO:0005739,0.005068794145654592
Random Forest,GO:0010224,0.001874493295855679
Random Forest,GO:0009504,0.000194005788892507
Random Forest,GO:0016132,0.0003888378964731045
Random Forest,GO:0080027,0.00024076907467094526
Random Forest,GO:0009631,0.00036681795896315267
Random Forest,GO:0046856,9.323372206272194e-05
Random Forest,GO:0006888,2.7902209117995677e-05
Random Forest,GO:0003723,0.002437176168661452
Random Forest,GO:0042644,0.0007548050155116641
Random Forest,GO:0019748,0.00010432220917335464
Random Forest,GO:0003729,0.0026857536163474686
Random Forest,GO:0016020,0.004294607536355072
Random Forest,GO:0051510,5.582519344504959e-05
Random Forest,GO:0009579,0.005133039811495564
Random Forest,GO:0072583,0.00014836101920440308
Random Forest,GO:0005759,0.00222355252326076
Random Forest,GO:0009644,0.0003191407661987462
Random Forest,GO:0006631,0.0014781473558655213
Random Forest,GO:0000160,3.936739285740411e-06
Random Forest,GO:0009640,0.00025954640902399673
Random Forest,GO:0015706,2.6819426432118097e-05
Random Forest,GO:0061630,0.0005936586451406025
Random Forest,GO:0140359,0.0003337814300229552
Random Forest,GO:0031624,0.0
Random Forest,jaccard_mean,0.07052182728367588
Random Forest,jaccard_min,0.00889151010355034
Random Forest,jaccard_max,0.008211078964579843
Random Forest,jaccard_std,0.022613663931196622
Random Forest,annotated_gene_count,0.016616811785585054
Random Forest,log_annotated_gene_count,0.01646360590300018
Random Forest,go_entropy,0.045188475432347795
Random Forest,go_size_std,0.004903733474435749
Random Forest,mean_go_per_gene,0.02649694446193475
Extra Trees,GO:0008150,0.046062590219458105
Extra Trees,GO:0003700,0.011882431006710556
Extra Trees,GO:0030533,0.005885449006081998
Extra Trees,GO:0006414,0.006891451829623321
Extra Trees,GO:0005575,0.007957102958151496
Extra Trees,GO:0009507,0.01858489649626263
Extra Trees,GO:0006355,0.008762091541520778
Extra Trees,GO:0007165,0.005988260194552857
Extra Trees,GO:0006412,0.00789948413144919
Extra Trees,GO:0004565,0.0005305878648186108
Extra Trees,GO:0004672,0.004214849565422615
Extra Trees,GO:0044024,6.510315722678822e-05
Extra Trees,GO:0055085,0.002102389488631099
Extra Trees,GO:0042393,0.00012951658180740638
Extra Trees,GO:0009860,0.0027939637110150615
Extra Trees,GO:0019761,0.0010234752723820627
Extra Trees,GO:0046686,0.003472787226846812
Extra Trees,GO:0005886,0.004446708892194848
Extra Trees,GO:1902074,0.0007012448176346214
Extra Trees,GO:0009813,0.0010386226887984112
Extra Trees,GO:0009931,2.282175784043345e-05
Extra Trees,GO:0005819,0.001554506751611493
Extra Trees,GO:0046933,0.00028361076702861635
Extra Trees,GO:0005783,0.0036323068391206632
Extra Trees,GO:0005741,0.0011985530507224581
Extra Trees,GO:0005737,0.016656870606205944
Extra Trees,GO:0051082,0.0002755661355656045
Extra Trees,GO:0038023,1.2189312078816133e-05
Extra Trees,GO:0008483,0.003793557350481962
Extra Trees,GO:0005829,0.01493903816441604
Extra Trees,GO:0009451,6.227893287666193e-05
Extra Trees,GO:0009809,0.003565701378523381
Extra Trees,GO:0010197,0.000772242001171647
Extra Trees,GO:0000785,0.0009163866202870861
Extra Trees,GO:0000287,0.0014920693633827216
Extra Trees,GO:0005739,0.0038141033803365284
Extra Trees,GO:0010224,0.003199871491010031
Extra Trees,GO:0009504,0.000403642042365162
Extra Trees,GO:0016132,0.0010068277639316266
Extra Trees,GO:0080027,0.00044422275778436106
Extra Trees,GO:0009631,0.0005486611383265175
Extra Trees,GO:0046856,0.0002630977632756919
Extra Trees,GO:0006888,5.3808418351681196e-05
Extra Trees,GO:0003723,0.0043306170540098
Extra Trees,GO:0042644,0.0016663576537793233
Extra Trees,GO:0019748,0.0004130696537958819
Extra Trees,GO:0003729,0.0033048395487165847
Extra Trees,GO:0016020,0.004926435326766571
Extra Trees,GO:0051510,0.00019237317429129531
Extra Trees,GO:0009579,0.007195920649853499
Extra Trees,GO:0072583,0.00027046628712656744
Extra Trees,GO:0005759,0.004269889610327566
Extra Trees,GO:0009644,0.0008432947031961253
Extra Trees,GO:0006631,0.0019958024456894134
Extra Trees,GO:0000160,2.6522686269105767e-05
Extra Trees,GO:0009640,0.0003436720966875638
Extra Trees,GO:0015706,0.0002537483215749132
Extra Trees,GO:0061630,0.0005572317950667914
Extra Trees,GO:0140359,0.0014084657943662857
Extra Trees,GO:0031624,2.2862570661796006e-06
Extra Trees,jaccard_mean,0.07893444295709472
Extra Trees,jaccard_min,0.009742467225879016
Extra Trees,jaccard_max,0.00903573464559517
Extra Trees,jaccard_std,0.021523611933333527
Extra Trees,annotated_gene_count,0.015072390718875003
Extra Trees,log_annotated_gene_count,0.020200462365281186
Extra Trees,go_entropy,0.038441115857186646
Extra Trees,go_size_std,0.003833803431862325
Extra Trees,mean_go_per_gene,0.02420388995883418
Gradient Boosting,GO:0008150,0.044698341194070255
Gradient Boosting,GO:0003700,0.003878888781071284
Gradient Boosting,GO:0030533,8.689187133438943e-05
Gradient Boosting,GO:0006414,0.0056333767785554135
Gradient Boosting,GO:0005575,0.007300178786853596
Gradient Boosting,GO:0009507,0.0257912607976985
Gradient Boosting,GO:0006355,0.0002474361162198635
Gradient Boosting,GO:0007165,0.0015782875645250103
Gradient Boosting,GO:0006412,0.006723744637340552
Gradient Boosting,GO:0004565,0.0
Gradient Boosting,GO:0004672,0.0003531931327897583
Gradient Boosting,GO:0044024,0.0
Gradient Boosting,GO:0055085,0.00034170117789467455
Gradient Boosting,GO:0042393,2.943275766251361e-06
Gradient Boosting,GO:0009860,0.0029191337355507782
Gradient Boosting,GO:0019761,0.0006264099155741115
Gradient Boosting,GO:0046686,0.0015239817861269253
Gradient Boosting,GO:0005886,0.004931567802441264
Gradient Boosting,GO:1902074,2.7772493946046535e-05
Gradient Boosting,GO:0009813,0.001594297034252369
Gradient Boosting,GO:0009931,0.0
Gradient Boosting,GO:0005819,0.00018544414100141844
Gradient Boosting,GO:0046933,0.0
Gradient Boosting,GO:0005783,0.004674791469976766
Gradient Boosting,GO:0005741,0.0013585234035168824
Gradient Boosting,GO:0005737,0.026430078258842395
Gradient Boosting,GO:0051082,5.732314131258571e-05
Gradient Boosting,GO:0038023,0.0
Gradient Boosting,GO:0008483,0.0025497889607409537
Gradient Boosting,GO:0005829,0.012420144363500626
Gradient Boosting,GO:0009451,0.0
Gradient Boosting,GO:0009809,0.0006037224217057102
Gradient Boosting,GO:0010197,0.0003623683318945053
Gradient Boosting,GO:0000785,4.255298938180208e-05
Gradient Boosting,GO:0000287,0.004992144230301671
Gradient Boosting,GO:0005739,0.004884265017181227
Gradient Boosting,GO:0010224,0.0041212576415927534
Gradient Boosting,GO:0009504,0.00030839706042563885
Gradient Boosting,GO:0016132,8.52702569209734e-05
Gradient Boosting,GO:0080027,3.8735183676469794e-05
Gradient Boosting,GO:0009631,0.0
Gradient Boosting,GO:0046856,2.6194820605210594e-05
Gradient Boosting,GO:0006888,0.0
Gradient Boosting,GO:0003723,0.0016803492714115
Gradient Boosting,GO:0042644,0.0026897583705345956
Gradient Boosting,GO:0019748,0.0
Gradient Boosting,GO:0003729,0.0006473908613463071
Gradient Boosting,GO:0016020,0.004741645261985632
Gradient Boosting,GO:0051510,0.0
Gradient Boosting,GO:0009579,0.01238714928017776
Gradient Boosting,GO:0072583,0.00011726583344343582
Gradient Boosting,GO:0005759,0.005404180779902113
Gradient Boosting,GO:0009644,0.00029098579021950046
Gradient Boosting,GO:0006631,0.005685718704234549
Gradient Boosting,GO:0000160,0.0
Gradient Boosting,GO:0009640,0.00018380239376325475
Gradient Boosting,GO:0015706,0.0
Gradient Boosting,GO:0061630,0.00014562395642154604
Gradient Boosting,GO:0140359,0.0005524049436563638
Gradient Boosting,GO:0031624,0.0
Gradient Boosting,jaccard_mean,0.12671248311343403
Gradient Boosting,jaccard_min,0.0013536548117335067
Gradient Boosting,jaccard_max,0.0018033184917146596
Gradient Boosting,jaccard_std,0.019109411290251403
Gradient Boosting,annotated_gene_count,0.022657311572502024
Gradient Boosting,log_annotated_gene_count,0.032380123408437565
Gradient Boosting,go_entropy,0.06423014504588054
Gradient Boosting,go_size_std,0.008337442017712212
Gradient Boosting,mean_go_per_gene,0.041594940296777946
XGBoost,GO:0008150,0.052091694805359835
XGBoost,GO:0003700,0.004598401312785923
XGBoost,GO:0030533,0.0
XGBoost,GO:0006414,0.0024915459354299192
XGBoost,GO:0005575,0.014242558033328726
XGBoost,GO:0009507,0.02558781275598994
XGBoost,GO:0006355,0.0041196340399006475
XGBoost,GO:0007165,0.008386391893176273
XGBoost,GO:0006412,0.019783670475324026
XGBoost,GO:0004565,0.0
XGBoost,GO:0004672,0.0006273447482499377
XGBoost,GO:0044024,0.0
XGBoost,GO:0055085,0.0
XGBoost,GO:0042393,0.0
XGBoost,GO:0009860,0.005452444462270875
XGBoost,GO:0019761,0.0
XGBoost,GO:0046686,0.0019505060206821286
XGBoost,GO:0005886,0.009404312926644712
XGBoost,GO:1902074,0.0
XGBoost,GO:0009813,0.0005184254127723637
XGBoost,GO:0009931,0.0
XGBoost,GO:0005819,0.0
XGBoost,GO:0046933,0.0
XGBoost,GO:0005783,0.009805277789468339
XGBoost,GO:0005741,0.0
XGBoost,GO:0005737,0.03435618401633492
XGBoost,GO:0051082,0.0
XGBoost,GO:0038023,0.0
XGBoost,GO:0008483,0.0037548583600778137
XGBoost,GO:0005829,0.028595220915420206
XGBoost,GO:0009451,0.0
XGBoost,GO:0009809,0.00027653765581477416
