held_out_family,primary_ratio,n_train_pos,n_test_pos,n_test_neg,median_size,scale_pos_weight,feature_selection_protocol,nested_feature_selection,cross_split_source_leakage_count,test_auroc,test_auprc,f1,precision,recall,brier
AraCyc_AminoAcid,1:1,516,22,22,18.0,1.0,fixed_primary_training_selected,False,0,0.9028925619834711,0.8985414621900946,0.8085106382978723,0.76,0.8636363636363636,0.13064414262771606
KEGG_Metabolism,1:1,529,9,9,71.0,1.0,fixed_primary_training_selected,False,0,0.9012345679012346,0.8691718775052109,0.8571428571428571,0.75,1.0,0.12629371881484985
AraCyc_Lipid,1:1,515,23,23,12.0,1.0,fixed_primary_training_selected,False,0,0.890359168241966,0.8984922756981579,0.8333333333333334,0.8,0.8695652173913043,0.14401736855506897
AraCyc_Nucleotide,1:1,518,20,20,18.0,1.0,fixed_primary_training_selected,False,0,0.885,0.8929407241809826,0.7222222222222222,0.8125,0.65,0.15738186240196228
KEGG_SignalTrans,1:1,513,25,25,55.0,1.0,fixed_primary_training_selected,False,0,0.8816,0.8521719740341023,0.7555555555555555,0.85,0.68,0.13658224046230316
KEGG_GeneticInfo,1:1,517,21,21,61.0,1.0,fixed_primary_training_selected,False,0,0.873015873015873,0.8397121086890429,0.851063829787234,0.7692307692307693,0.9523809523809523,0.12906965613365173
AraCyc_Misc,1:1,252,286,286,11.0,1.0,fixed_primary_training_selected,False,0,0.8514352780087046,0.8060396544828234,0.7920792079207921,0.75,0.8391608391608392,0.15742246806621552
KEGG_Lipid,1:1,511,27,27,30.0,1.0,fixed_primary_training_selected,False,0,0.8340192043895748,0.8589130658043007,0.6923076923076923,0.72,0.6666666666666666,0.18165114521980286
AraCyc_Carbohydrate,1:1,523,15,15,27.0,1.0,fixed_primary_training_selected,False,0,0.8311111111111111,0.7858675002328253,0.75,0.7058823529411765,0.8,0.15298773348331451
AraCyc_Cofactor,1:1,525,13,13,10.0,1.0,fixed_primary_training_selected,False,0,0.8224852071005917,0.7765032855530594,0.8275862068965517,0.75,0.9230769230769231,0.15510395169258118
AraCyc_Secondary,1:1,534,4,4,25.0,1.0,fixed_primary_training_selected,False,0,0.8125,0.8928571428571428,0.75,0.75,0.75,0.18417175114154816
KEGG_Cellular,1:1,467,71,71,41.0,1.0,fixed_primary_training_selected,False,0,0.8040071414401904,0.7285649699959192,0.7922077922077922,0.7349397590361446,0.8591549295774648,0.18048954010009766
