rank,feature,importance,method,model,primary_ratio
1,jaccard_mean,0.09751737758957597,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
2,go_entropy,0.05935224190442107,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
3,mean_go_per_gene,0.04059035115174537,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
4,GO:0008150,0.04050648902487154,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
5,annotated_gene_count,0.036131375536263596,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
6,jaccard_std,0.029368050754597093,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
7,GO:0005737,0.0275959017457047,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
8,GO:0009507,0.024950374308772418,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
9,GO:0005829,0.01923688519163143,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
10,log_annotated_gene_count,0.018863827116106256,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
11,GO:0006412,0.011817363431021377,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
12,GO:0009579,0.01076916955380966,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
13,go_size_std,0.010673739154472303,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
14,GO:0005739,0.010218334983692576,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
15,GO:0003700,0.008490899947356929,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
16,GO:0005575,0.007414437494864794,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
17,GO:0005886,0.007392066465000111,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
18,GO:0007165,0.0071650567183685464,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
19,GO:0006355,0.006324608916406426,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
20,GO:0005783,0.005547767429151527,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
21,jaccard_max,0.005414453673060668,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
22,GO:0009860,0.0052158715182637665,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
23,GO:0006414,0.004933464507517148,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
24,GO:0016020,0.004472205604682168,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
25,GO:0000287,0.00439834467200579,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
26,GO:0003723,0.004170523654981449,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
27,jaccard_min,0.004069391624398412,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
28,GO:0005759,0.003882659313827424,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
29,GO:0030533,0.003608508237066725,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
30,GO:0006631,0.0033947749394787974,mean_signed_probability_tree_shap_six_tree_ensemble,Six-tree soft-voting ensemble,1:1
