model,primary_model,primary_ratio,repeat_index,repeat_seed,fold_index,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,n_train,n_validation,positive_prevalence,auroc,auprc,normalized_auprc,f1,precision,recall,brier,component_models,aggregation
Six-tree soft-voting ensemble,True,1:1,0,42,0,outer_training_repeated_stratified_cv,nested_fold_training_selected60,b9f1edb670a53afef5f4c085e90bf5e13a41156251f6667b1a65871f2c4c47e0,654,164,0.5,0.870464009518144,0.850444534643698,0.7008890692873959,0.8044692737430168,0.7422680412371134,0.8780487804878049,0.1408471012706458,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,0,42,1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,c59d36017adea2f05186de3822c3dd8c95d35f359f7ff35c586a14db623a3103,654,164,0.5,0.8515764425936942,0.8416400946747281,0.6832801893494562,0.7759562841530054,0.7029702970297029,0.8658536585365854,0.15462535095754737,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,0,42,2,outer_training_repeated_stratified_cv,nested_fold_training_selected60,091c82241439a2f22ad7066be22112027623cd7401cf37ff3920d078a7a913e2,654,164,0.5,0.8575252825698989,0.8395519070140498,0.6791038140280996,0.8064516129032258,0.7211538461538461,0.9146341463414634,0.14527575204880352,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,0,42,3,outer_training_repeated_stratified_cv,nested_fold_training_selected60,971bb2c8d0b3b7495acb94f62ea8741d4ff4e6e52c17cfe1f97b50e8801a1513,654,164,0.5,0.8545508625817966,0.8030896211867424,0.6061792423734849,0.7777777777777778,0.7142857142857143,0.8536585365853658,0.1510705215581427,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,0,42,4,outer_training_repeated_stratified_cv,nested_fold_training_selected60,78610b63b09a3b3be6828cac4d903ead2c4bc5386d421ebf8e60227a9040ab96,656,162,0.5,0.828837067520195,0.7806701573983754,0.5613403147967508,0.7802197802197802,0.7029702970297029,0.8765432098765432,0.1615496684068867,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,1,7,0,outer_training_repeated_stratified_cv,nested_fold_training_selected60,74e66c11e57d405efbe19a02f13985423c60121aaf1960175664824578d0255d,654,164,0.5,0.8480071386079715,0.7817344834904407,0.5634689669808814,0.7956989247311828,0.7115384615384616,0.9024390243902439,0.15264278404530637,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,1,7,1,outer_training_repeated_stratified_cv,nested_fold_training_selected60,850c47286a5ff6cd122bd73c64fe0c130b4f93517aa2f9a4ab0225caa37355f8,654,164,0.5,0.7995240928019036,0.7229425519746677,0.44588510394933545,0.8089887640449438,0.75,0.8780487804878049,0.1633039152685853,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,1,7,2,outer_training_repeated_stratified_cv,nested_fold_training_selected60,a58cdcfd42f13eceb650b4e384e38c15ac3d252fa7a9cf51166f33733bec7373,654,164,0.5,0.868084473527662,0.8512944011508261,0.7025888023016522,0.8152173913043478,0.7352941176470589,0.9146341463414634,0.14556012170699426,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,1,7,3,outer_training_repeated_stratified_cv,nested_fold_training_selected60,0787429d108adbb8f716a931370780c2b496f9b4a512b716c8c31ecf6b7c002f,654,164,0.5,0.809042236763831,0.7437134684106081,0.4874269368212163,0.7865168539325843,0.7291666666666666,0.8536585365853658,0.1650472839155415,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
Six-tree soft-voting ensemble,True,1:1,1,7,4,outer_training_repeated_stratified_cv,nested_fold_training_selected60,fd5a87140a37ffe54b3e77a354b4bd55b27678e3392d3612bcc974fcd938aac7,656,162,0.5,0.8424020728547478,0.7805038858250998,0.5610077716501995,0.8111111111111111,0.7373737373737373,0.9012345679012346,0.15038754995054096,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,equal_weight_mean_positive_class_probability
