model,config_id,config_index,parameters_json,parameters_sha256,repeat_index,repeat_seed,fold_index,ratio,n_train,n_validation,positive_prevalence,auroc,auprc,normalized_auprc,f1,precision,recall,brier,elapsed_s,scale_pos_weight,selected_go_sha256,train_negative_seed,validation_negative_seed,feature_selection_seed,model_seed,outer_test_used
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,0,42,0,1:1,654,164,0.5,0.8639202855443189,0.8313861606423745,0.6627723212847489,0.8167539267015707,0.7155963302752294,0.9512195121951219,0.15265448455496436,0.2243990830029361,,b9f1edb670a53afef5f4c085e90bf5e13a41156251f6667b1a65871f2c4c47e0,1973658644,3715151037,233149161,2399526814,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,0,42,1,1:1,654,164,0.5,0.8402736466389054,0.8126371611294791,0.6252743222589583,0.7978723404255319,0.7075471698113207,0.9146341463414634,0.15513862408034787,0.22863445803523064,,c59d36017adea2f05186de3822c3dd8c95d35f359f7ff35c586a14db623a3103,2786658438,2191900349,3517737438,2371526345,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,0,42,2,1:1,654,164,0.5,0.8447352766210589,0.8229330932417847,0.6458661864835693,0.8042328042328042,0.7102803738317757,0.926829268292683,0.15407075315928484,0.2246508749667555,,091c82241439a2f22ad7066be22112027623cd7401cf37ff3920d078a7a913e2,1888399133,2010463502,629780227,48921201,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,0,42,3,1:1,654,164,0.5,0.8328375966686496,0.79147296180977,0.58294592361954,0.7724867724867724,0.6822429906542056,0.8902439024390244,0.16486809135370187,0.22931708302348852,,971bb2c8d0b3b7495acb94f62ea8741d4ff4e6e52c17cfe1f97b50e8801a1513,1161336969,599905126,3703496083,230894654,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,0,42,4,1:1,656,162,0.5,0.83493369913123,0.7824650822436108,0.5649301644872216,0.7593582887700535,0.6698113207547169,0.8765432098765432,0.16187913264258166,0.21415083296597004,,78610b63b09a3b3be6828cac4d903ead2c4bc5386d421ebf8e60227a9040ab96,1001834057,624141303,515383750,972393367,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,1,7,0,1:1,654,164,0.5,0.8359607376561571,0.772899655189305,0.5457993103786101,0.7807486631016043,0.6952380952380952,0.8902439024390244,0.16065711507960434,0.22593449999112636,,74e66c11e57d405efbe19a02f13985423c60121aaf1960175664824578d0255d,2521657055,4094230609,264134123,842399429,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,1,7,1,1:1,654,164,0.5,0.8314991076740035,0.7820442768226655,0.5640885536453311,0.8172043010752689,0.7307692307692307,0.926829268292683,0.1568914213393728,0.2160954590071924,,850c47286a5ff6cd122bd73c64fe0c130b4f93517aa2f9a4ab0225caa37355f8,3885368634,2431578943,1619142612,2845288631,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,1,7,2,1:1,654,164,0.5,0.8572278405710887,0.8196624996686113,0.6393249993372225,0.7875647668393783,0.6846846846846847,0.926829268292683,0.1549473062441368,0.22558670898433775,,a58cdcfd42f13eceb650b4e384e38c15ac3d252fa7a9cf51166f33733bec7373,1974496636,1223099430,3474831427,1753096405,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,1,7,3,1:1,654,164,0.5,0.8218322427126711,0.7832186030331048,0.5664372060662095,0.7741935483870968,0.6923076923076923,0.8780487804878049,0.16455900311959387,0.22067933302605525,,0787429d108adbb8f716a931370780c2b496f9b4a512b716c8c31ecf6b7c002f,2308674788,3336517605,3055848280,3336201630,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,1,7,4,1:1,656,162,0.5,0.8353909465020576,0.7648729997649417,0.5297459995298834,0.8297872340425532,0.7289719626168224,0.9629629629629629,0.16133699892617775,0.22184883296722546,,fd5a87140a37ffe54b3e77a354b4bd55b27678e3392d3612bcc974fcd938aac7,26843640,2371250898,2203746204,3425021368,False
