model,config_id,config_index,parameters_json,parameters_sha256,status,error,n_folds,outer_test_used,selection_metric,mean_auroc,sd_auroc,mean_auprc,sd_auprc,mean_normalized_auprc,sd_normalized_auprc,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,mean_brier,sd_brier,mean_elapsed_s,sd_elapsed_s
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,ok,,15,False,mean_auroc,0.8388965127007263,0.014350809518913854,0.7924955166706356,0.02299400664531328,0.5849910333412711,0.04598801329062656,0.7932180843641212,0.024894318353963198,0.7057133187287692,0.026618543322586896,0.9063033222924823,0.03410098047045873,0.159310498292891,0.005815524004415563,0.22377096386626363,0.004683697373370629
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,ok,,15,False,mean_auroc,0.8428557538834668,0.015661809720123362,0.7943585718611259,0.019883946837632675,0.5887171437222519,0.039767893675265356,0.801860630888592,0.023508062307475475,0.7248471512071506,0.027569068868296187,0.8981632038542606,0.03275664372285705,0.15420839357988445,0.007809429310221389,0.4610845609335229,0.019328266662260223
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,ok,,15,False,mean_auroc,0.8436321208707084,0.014821348895429116,0.8003215027131247,0.022746428226698003,0.6006430054262495,0.045492856453396006,0.8006243388869172,0.02417102553061544,0.716390062539153,0.024998961281203998,0.9079293385526449,0.032582145528694435,0.15649242812110323,0.005620988124364387,0.2396244999409343,0.00601438838922967
Random Forest,random_forest_04,4,"{""max_depth"":10,""max_features"":0.5,""n_estimators"":300}",dd0abca8e748bfa63a537c4836c4bf3defcd7da330aef7178924e1790c857305,ok,,15,False,mean_auroc,0.8422247833394281,0.01713393143713684,0.7932196332295323,0.02404637925781936,0.5864392664590643,0.04809275851563872,0.803525413783073,0.020261167438984377,0.7309633236881504,0.024310810540110233,0.8932650807989562,0.03458744352286357,0.15481273749319704,0.007948810130211693,0.4978324749933866,0.020589068881206936
Random Forest,random_forest_05,5,"{""max_depth"":null,""max_features"":""sqrt"",""n_estimators"":300}",4d0e3f89b530aca66d641dc6b55f886e64621ad37b8308e71369c99396d7a370,ok,,15,False,mean_auroc,0.8452808302492785,0.018360688434274706,0.8026937659424785,0.024665492654176654,0.6053875318849571,0.04933098530835331,0.7957743079871802,0.02829142327596657,0.720773415894075,0.029124360521960883,0.8891799658737328,0.039720841069405044,0.15509611557206107,0.006655848396818834,0.2657138303969987,0.00606131800196498
Random Forest,random_forest_06,6,"{""max_depth"":null,""max_features"":0.5,""n_estimators"":300}",3dc84baebdcb3f0294578f249e7884e211145577cf295e5152caccf2a5291927,ok,,15,False,mean_auroc,0.8451517535991268,0.01888757669835171,0.7979461636732013,0.024677005997098187,0.5958923273464029,0.04935401199419638,0.7989076834320439,0.019903354583480852,0.7310373207126292,0.026515237955203913,0.8818227441533675,0.030831417788153,0.15406427799524913,0.008407844534829928,0.5450623110091934,0.0218028395046787
Random Forest,random_forest_07,7,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":500}",4d65e0eeeff718053e0e70ae15134e9793b9f47c49f0cd779e6ac3680109623f,ok,,15,False,mean_auroc,0.8400726092141647,0.014162346339905414,0.7958759687372734,0.022797893085658567,0.5917519374745467,0.04559578617131713,0.7963685814881862,0.021413694358652705,0.7085997189532829,0.0235231957114026,0.9095553548128075,0.02838888839268321,0.15871093970707745,0.005370109419947802,0.37185407758612804,0.00784771594180295
Random Forest,random_forest_08,8,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":500}",5bb9a4a1076ff468ac0755ff94237a6004bdf63dcdde6b5fe632540080947888,ok,,15,False,mean_auroc,0.8443138966781729,0.016710394061252024,0.7974553393053984,0.020346255028183418,0.5949106786107968,0.040692510056366836,0.8035624245761138,0.025522664982042198,0.7261132608844637,0.03158832588306612,0.9005921911070963,0.031856682151107575,0.15394044039310179,0.007968482114641507,0.7724216693857063,0.03053204847047489
Random Forest,random_forest_09,9,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":500}",3c76bf9bb24ccf665f4b010499c144083fa3a5560a47c6a3d922e88c9f31053a,ok,,15,False,mean_auroc,0.8439610932627778,0.01331174878470996,0.7996968700633794,0.021395632741005425,0.5993937401267591,0.04279126548201086,0.7999696043848517,0.021464778080779363,0.7147596930148666,0.02380742109629807,0.9087523838201347,0.02641428931039979,0.15632488370979936,0.005174882099064309,0.3988122749996061,0.009067420720502616
Random Forest,random_forest_10,10,"{""max_depth"":10,""max_features"":0.5,""n_estimators"":500}",da198a04e12b319809f13a27a5010f87b4f01c2ed508111a3300a4eb971783c7,ok,,15,False,mean_auroc,0.8430161758095438,0.016898794813985943,0.7970953345887125,0.02250109470259074,0.594190669177425,0.04500218940518148,0.8047690280842783,0.02235170460864611,0.7308823563888251,0.0273748006589628,0.8965371875940983,0.03467569920354648,0.1543751938184176,0.008085281616858658,0.8328102777401606,0.03368292333920107
Random Forest,random_forest_11,11,"{""max_depth"":null,""max_features"":""sqrt"",""n_estimators"":500}",ad8f08bb0b6ee683fb748c48f947db7f6af2d726fc3dcc98a687a7efa2a2af6e,ok,,15,False,mean_auroc,0.8462956427187701,0.018311307063266266,0.8054120377792326,0.023537125851291654,0.6108240755584651,0.04707425170258331,0.7968719785784569,0.023631773065263602,0.7207958633963609,0.02585504741767592,0.8916390645387935,0.03179919852843729,0.1547661291378099,0.006573595568482151,0.44214014159903553,0.008787591174664332
Random Forest,random_forest_12,12,"{""max_depth"":null,""max_features"":0.5,""n_estimators"":500}",dfa44aa18cb167a3af684759c076b89089d510e0ee7f1852203048d83996885f,ok,,15,False,mean_auroc,0.8452547498614492,0.01899330377514305,0.8004936147854734,0.025092150021298918,0.6009872295709465,0.050184300042597836,0.8003528295612238,0.022234331452909224,0.7335064888370039,0.02764227631309011,0.8818327812907758,0.03437743530018496,0.1537840135702098,0.008614611155565425,0.9060688693309202,0.03538495571353083
Extra Trees,extra_trees_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,ok,,15,False,mean_auroc,0.8254264566913236,0.0197183150939183,0.7814826853600875,0.03529383067819494,0.5629653707201747,0.07058766135638989,0.7750457789718569,0.021725107659010173,0.6786857654402242,0.015331638216809263,0.9038843721770552,0.03847667413734153,0.17569630796124128,0.005249999003147,0.1390922388721568,0.0016807913836843027
Extra Trees,extra_trees_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,ok,,15,False,mean_auroc,0.8447991035666654,0.0153635618763642,0.7994829726989987,0.02876581143547747,0.5989659453979977,0.05753162287095494,0.7927898683870366,0.01890354427291393,0.6957969364212669,0.01743759662715706,0.9217705510388436,0.03122509269659335,0.1587192992349897,0.005136954925804539,0.22466815546698246,0.002945024931331177
Extra Trees,extra_trees_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,ok,,15,False,mean_auroc,0.8320682188052434,0.0200263436719622,0.7869916463761901,0.03566052786274551,0.5739832927523804,0.07132105572549102,0.7849786871544051,0.01830360518690691,0.6847814229949131,0.014679127528514434,0.920164609053498,0.03379060856760303,0.16955618791769791,0.00579434029880728,0.1495059279918981,0.002324415562196747
Extra Trees,extra_trees_04,4,"{""max_depth"":10,""max_features"":0.5,""n_estimators"":300}",dd0abca8e748bfa63a537c4836c4bf3defcd7da330aef7178924e1790c857305,ok,,15,False,mean_auroc,0.8493675787405268,0.015211268697284881,0.8043967462268917,0.032482357465763334,0.6087934924537837,0.06496471493152667,0.796764200464269,0.018701747629049498,0.7037609923997583,0.018756825704397524,0.9185084813811102,0.026359310478570305,0.15563743448646233,0.004953022595078544,0.25489145827014,0.004356748686606323
Extra Trees,extra_trees_05,5,"{""max_depth"":null,""max_features"":""sqrt"",""n_estimators"":300}",4d0e3f89b530aca66d641dc6b55f886e64621ad37b8308e71369c99396d7a370,ok,,15,False,mean_auroc,0.8491256228291593,0.02167779792084082,0.8120810221745884,0.04219440563401282,0.6241620443491771,0.08438881126802564,0.7958553023517112,0.019024359612039313,0.7138505522026571,0.01769971219203322,0.8997289972899729,0.031161570880511524,0.15503164815372433,0.008305722749163214,0.225947452604305,0.003327654921056384
Extra Trees,extra_trees_06,6,"{""max_depth"":null,""max_features"":0.5,""n_estimators"":300}",3dc84baebdcb3f0294578f249e7884e211145577cf295e5152caccf2a5291927,ok,,15,False,mean_auroc,0.851057916851822,0.021494004790769787,0.8105488889412489,0.03969280897450114,0.6210977778824974,0.07938561794900229,0.7958817931325562,0.0247459968280905,0.7186679789790269,0.020350069138438374,0.8924420355314665,0.04056379570520607,0.15242939498366176,0.008735743415955302,0.3581025915996482,0.014282119561635076
Extra Trees,extra_trees_07,7,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":500}",4d65e0eeeff718053e0e70ae15134e9793b9f47c49f0cd779e6ac3680109623f,ok,,15,False,mean_auroc,0.8252274230672759,0.020407179678526247,0.7815353891330287,0.0352823592824999,0.5630707782660577,0.0705647185649998,0.7769662285994607,0.019779860379143685,0.6801986843380222,0.01613665629679779,0.906323396567299,0.03304670903728983,0.17574669166261528,0.00538922572023748,0.23313000006213164,0.0037851823365873164
Extra Trees,extra_trees_08,8,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":500}",5bb9a4a1076ff468ac0755ff94237a6004bdf63dcdde6b5fe632540080947888,ok,,15,False,mean_auroc,0.8458185968601745,0.015127554653957783,0.8010875752312987,0.02807381466941285,0.6021751504625978,0.0561476293388257,0.7918100579633828,0.017557666341836278,0.6948672748692888,0.017697723442188923,0.9209274314965371,0.031291983489022804,0.15849255492741354,0.005086369193844768,0.3764204667299055,0.006202473642822122
Extra Trees,extra_trees_09,9,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":500}",3c76bf9bb24ccf665f4b010499c144083fa3a5560a47c6a3d922e88c9f31053a,ok,,15,False,mean_auroc,0.8320412460763057,0.020052715549685733,0.788771079751696,0.035230274147399133,0.5775421595033917,0.07046054829479825,0.7835760084173888,0.01948673158919068,0.6843703789131271,0.015401341818533665,0.9169125765331728,0.033277434566686664,0.16960502016613097,0.005899683260225667,0.24794431106420234,0.0041438434951196704
