model,repeat_index,repeat_seed,fold_index,auroc,auprc,normalized_auprc,f1,precision,recall,brier,selected_component_config_ids,outer_test_used
Six-tree soft-voting ensemble,0,42,0,0.872992266508031,0.8402150926876724,0.6804301853753447,0.8222222222222222,0.7551020408163265,0.9024390243902439,0.13951048224480636,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,0,42,1,0.8454788816180845,0.8397282160372761,0.6794564320745522,0.7956989247311828,0.7115384615384616,0.9024390243902439,0.1529630592931612,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,0,42,2,0.8500892325996432,0.8305638780022359,0.6611277560044717,0.806282722513089,0.7064220183486238,0.9390243902439024,0.1466302664409756,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,0,42,3,0.8606484235574063,0.8082566834205122,0.6165133668410243,0.7821229050279329,0.7216494845360825,0.8536585365853658,0.15001657934875956,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,0,42,4,0.8326474622770919,0.7901693174536709,0.5803386349073418,0.7934782608695652,0.7087378640776699,0.9012345679012346,0.1608627871046977,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,1,7,0,0.8521713265913147,0.7877234964455689,0.5754469928911379,0.8085106382978723,0.7169811320754716,0.926829268292683,0.15133415004606304,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,1,7,1,0.8127602617489589,0.7435882612136714,0.4871765224273428,0.8156424581005587,0.7525773195876289,0.8902439024390244,0.1589614777889081,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,1,7,2,0.8784949434860202,0.8649390855288335,0.729878171057667,0.8021390374331551,0.7142857142857143,0.9146341463414634,0.1429037540801563,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,1,7,3,0.8176680547293278,0.7728373329529935,0.545674665905987,0.7777777777777778,0.7142857142857143,0.8536585365853658,0.1624396941706795,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,1,7,4,0.849260783417162,0.784121351402945,0.5682427028058901,0.8222222222222222,0.7474747474747475,0.9135802469135802,0.14789008108171153,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,2,13,0,0.8387864366448543,0.8027650197844346,0.6055300395688692,0.75,0.7021276595744681,0.8048780487804879,0.1574047142286758,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,2,13,1,0.8274836406900654,0.7544727463016465,0.508945492603293,0.783625730994152,0.7528089887640449,0.8170731707317073,0.1626539212755123,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,2,13,2,0.847412254610351,0.7929848354641924,0.5859696709283848,0.7932960893854749,0.7319587628865979,0.8658536585365854,0.1535984735214175,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,2,13,3,0.8593099345627603,0.792700385769747,0.585400771539494,0.8216216216216217,0.7378640776699029,0.926829268292683,0.1468683903375605,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
Six-tree soft-voting ensemble,2,13,4,0.8785246151501296,0.8305848817983286,0.6611697635966571,0.8304093567251462,0.7888888888888889,0.8765432098765432,0.13687041225487148,random_forest_11;extra_trees_12;gradient_boosting_01;xgboost_03;lightgbm_03;catboost_05,False
