sample_id,split,negative_type,raw_gene_count,annotated_gene_count,source_pathway_ids,source_families,source_overlap_count,source_overlap_fraction,cross_same_family,generation_seed,generation_attempt,source_raw_gene_count,source_annotated_gene_count,retention_fraction,gene_set_sha256
TRAIN_NEG_00000,train,random_5_30,23,23,,,0,0.0,False,142,1,0,0,,68639f6c78c9c517009625fc4f0c12f4528ac94413a6439f6f23d0cd6fae7484
TRAIN_NEG_00001,train,shuffled,23,23,AC_ETHYL-PWY,AraCyc_Misc,0,0.0,False,142,1,23,23,,7568723c7838c42074056f49639cac9bbca52485093a21da3fcb9869160df94b
TRAIN_NEG_00002,train,partial_50_80,19,19,AC_PWY-5992,AraCyc_Misc,19,1.0,False,142,1,28,28,0.6785714285714286,c674359bb457a3cedcf482a5133d6fa5dc02bcc3be25c385570c9745bf3ca8df
TRAIN_NEG_00003,train,cross_pathway,15,15,AC_PWY-6115;AC_PWY-2821,AraCyc_Misc;AraCyc_Misc,15,1.0,True,142,1,30,30,,96bf1784a5142f57e279e026c7b29b9e99c6c639f06882bc81cd86caeaf6ac93
TRAIN_NEG_00004,train,random_5_30,11,11,,,0,0.0,False,142,1,0,0,,2b35568c054e800ddead211c3c59cb11e2b218799afb94dd72de01b95bd24c79
TRAIN_NEG_00005,train,shuffled,6,6,AC_PWY-7184,AraCyc_Nucleotide,0,0.0,False,142,1,6,6,,a7bcae106fe101fc697cbcbf09c48307866c320a8b213bf58e7c731b90e4af38
TRAIN_NEG_00006,train,partial_50_80,22,22,AC_PWYQT-4481,AraCyc_Misc,22,1.0,False,142,1,36,36,0.6111111111111112,353fe3cc0592d6d65814c9b183881eb519eb71d5d9657fee31ffd480af068dab
TRAIN_NEG_00007,train,cross_pathway,31,31,ath00785;AC_PWY-7039,KEGG_Cellular;AraCyc_Misc,31,1.0,False,142,1,63,63,,7905c302340d7605f3fcdba500649fc6f8d48163b65595fe40fcfa2c85496cb8
TRAIN_NEG_00008,train,random_5_30,10,10,,,0,0.0,False,142,1,0,0,,2301c265b15df98c6744e8d8007c3a4cff7a0beff5fc4e003d979797f5cfb4c0
TRAIN_NEG_00009,train,shuffled,36,36,AC_PWY-601,AraCyc_AminoAcid,0,0.0,False,142,1,36,36,,6ee94ac7c6cfeed7090a3a56c1d0f24371d463ccf1951e89eb9dcd8f3141c770
TRAIN_NEG_00010,train,partial_50_80,33,33,ath00020,KEGG_Cellular,33,1.0,False,142,1,64,64,0.515625,151c49cd4d235558f0692d127d2119599d3808545e4327ed9f57e36bf1a898a4
TRAIN_NEG_00011,train,cross_pathway,23,23,AC_PWY-1061;AC_TRPSYN-PWY,AraCyc_Misc;AraCyc_AminoAcid,23,1.0,False,142,1,47,47,,6d062b4ed410259d434171435ed055edb3d7ff642c7da9bce48d100bf479d677
TRAIN_NEG_00012,train,random_5_30,25,25,,,0,0.0,False,142,1,0,0,,542343947c074330017b6aa0c497e6d197a340820c7d988488716c25763dc326
TRAIN_NEG_00013,train,shuffled,12,12,AC_PWY-2021,AraCyc_Misc,0,0.0,False,142,1,12,12,,cbe8552b4dd88243a165dea4a59a1207eb595ee429898c3e3993f1cf061a18cc
TRAIN_NEG_00014,train,partial_50_80,31,31,ath00350,KEGG_Cellular,31,1.0,False,142,1,41,41,0.7560975609756098,77523a2329c38752f1733eab2fadda9e587aad60866db9457a8c4b96fe9b6deb
TRAIN_NEG_00015,train,cross_pathway,48,48,AC_COMPLETE-ARO-ARA-PWY;ath00020,AraCyc_AminoAcid;KEGG_Cellular,48,1.0,False,142,1,96,96,,d472f86dfd5aed99f2c10bcfc3518b688ad2204d4bc9d622dd5b83c6307c1e53
TRAIN_NEG_00016,train,random_5_30,6,6,,,0,0.0,False,142,1,0,0,,cf96f6169b60ed9ce854385d8a349cf5c1c1559cfa555b9c9c2d568654d9b04e
TRAIN_NEG_00017,train,shuffled,36,36,ath00062,KEGG_Lipid,0,0.0,False,142,1,36,35,,c1b5626c61dcecfc092cd11891e0ffe97f9cbe2f8efab0f96c421990d49c345d
TRAIN_NEG_00018,train,partial_50_80,34,34,ath03410,KEGG_GeneticInfo,34,1.0,False,142,2,50,50,0.68,fce0605731fe9bd2b8958aa15c6350617e5e55b8fc23915b56c74a76cb2621f1
TRAIN_NEG_00019,train,cross_pathway,37,37,ath03440;AC_FASYN-ELONG-PWY,KEGG_GeneticInfo;AraCyc_Lipid,37,1.0,False,142,1,75,75,,669039ef80bfabda705a183e8f3ee1e93c6732c7c65f644426a6fa180b604c84
TRAIN_NEG_00020,train,random_5_30,27,27,,,0,0.0,False,142,1,0,0,,e4d32c5eb99c6395adcd671783ce3d7a860f45fa4e1220e3be40d9cf4d67a9c7
TRAIN_NEG_00021,train,shuffled,39,39,ath00960,KEGG_Cellular,0,0.0,False,142,1,39,39,,8e3cbda97197b39d60862e57cb1db9b38f701cf8fbec82215dfd7279b974e504
TRAIN_NEG_00022,train,partial_50_80,42,42,AC_LIPASYN-PWY,AraCyc_Misc,42,1.0,False,142,1,59,59,0.711864406779661,4de5589e968453c023ef01659a573590004ac54e3b69bbf95768bd059e69aaec
TRAIN_NEG_00023,train,cross_pathway,54,54,AC_PWY-5453;ath03008,AraCyc_Misc;KEGG_GeneticInfo,54,1.0,False,142,1,109,109,,b372f4cce76aba122c95000b4aea409863fbf20d13919095e23ddbb4a316e342
TRAIN_NEG_00024,train,random_5_30,5,5,,,0,0.0,False,142,1,0,0,,2688546ffe038cddaea46c080e12bea420b49a831d7bae66667b637192188086
TRAIN_NEG_00025,train,shuffled,9,9,AC_PWY-4321,AraCyc_Misc,0,0.0,False,142,1,9,9,,dca469e6758a478ccd26b2c3601944fdaf05b3740a7910ef2d8e48f42e42c14d
TRAIN_NEG_00026,train,partial_50_80,10,10,AC_PWY-6612,AraCyc_Cofactor,10,1.0,False,142,1,15,15,0.6666666666666666,5a909e37466f7964a7d2893e182eab5be01f942a856629ff74b672ff03c2c8c3
TRAIN_NEG_00027,train,cross_pathway,26,26,AC_PWY-5321;AC_PWY-5097,AraCyc_Misc;AraCyc_AminoAcid,26,1.0,False,142,1,53,53,,5cdcd74fcef4d6c1b5a3f8652a5e4ca970f848438c03d6b8c9e16d9dbb0ae8f4
TRAIN_NEG_00028,train,random_5_30,11,11,,,0,0.0,False,142,1,0,0,,bf51b3acc52125131e290a57d04023ebe8387d796e169ebad70c8d1060052e59
TRAIN_NEG_00029,train,shuffled,14,14,AC_PWY-5125,AraCyc_Misc,0,0.0,False,142,1,14,14,,48e508f921b51fbe1869bb0d6d1f90a20f63a9d07ba2ff952764aca77709104a
TRAIN_NEG_00030,train,partial_50_80,45,45,ath00052,KEGG_Cellular,45,1.0,False,142,1,65,65,0.6923076923076923,d7e898cd1404080eeca188568d501478e26a9f872ca74d96f69996d115bba164
TRAIN_NEG_00031,train,cross_pathway,97,96,ath00520;ath00710,KEGG_Lipid;KEGG_Metabolism,97,1.0,False,142,1,195,194,,29bb770ca1f1274ec172d37c153c51285a06ac600df9a0041eb09dbe03ac1074
TRAIN_NEG_00032,train,random_5_30,28,28,,,0,0.0,False,142,1,0,0,,3a6a17728f4388af47f8d9e7484ac2da58cb2adcfbfc11dec3714e24304a9862
TRAIN_NEG_00033,train,shuffled,32,32,ath00790,KEGG_Cellular,0,0.0,False,142,1,32,32,,df2dee42e8ea01b402ae5105e054d38df50163c1e59413a87ba87f3b2ea5b0e1
TRAIN_NEG_00034,train,partial_50_80,8,8,AC_PWY-8024,AraCyc_Misc,8,1.0,False,142,1,11,11,0.7272727272727273,923211f47c5d3a24e51eceac17cbcb5e7b40c5d104e03acd63e56ea02d91ea52
TRAIN_NEG_00035,train,cross_pathway,14,14,AC_PWY-7398;AC_PWY-5859,AraCyc_Secondary;AraCyc_Misc,14,1.0,False,142,1,30,30,,d940fc146471ce206b340ba9e1f200809110f8896420100b43e003b60c3d852c
TRAIN_NEG_00036,train,random_5_30,27,27,,,0,0.0,False,142,1,0,0,,ff95e6712c0886b428ef16c4f7dda5a1f4f946388e2eea389962daa68c8b936a
TRAIN_NEG_00037,train,shuffled,40,40,ath00130,KEGG_Metabolism,0,0.0,False,142,1,40,40,,b6f079d892450b726a5820c0a5592c3bcacbfe52f833e3051d6805bfb4fccd0b
TRAIN_NEG_00038,train,partial_50_80,16,16,AC_PWY-8157,AraCyc_Misc,16,1.0,False,142,1,26,26,0.6153846153846154,b66f7d587d958d60293b37817d61d577426abfc0993ddca8ff04e4dacf9f9f1b
TRAIN_NEG_00039,train,cross_pathway,11,11,AC_PWY-8270;AC_PWY-801,AraCyc_Misc;AraCyc_Misc,11,1.0,True,142,1,22,22,,7d7545cefa73561e70198264e91376c14b315293228e5591e1f7e1345e82ae9b
TRAIN_NEG_00040,train,random_5_30,14,14,,,0,0.0,False,142,1,0,0,,74a6cf3d0d5b3061427eb29f8dff8b69f91547315815757d526c0ea4eeda53b8
TRAIN_NEG_00041,train,shuffled,16,16,AC_PWY-6786,AraCyc_Misc,0,0.0,False,142,1,16,16,,aaf9bbde64911d922b8f6eb02b4d6742708597aff51e8a88d737af0069a29ff5
TRAIN_NEG_00042,train,partial_50_80,18,18,AC_PWY-621,AraCyc_Carbohydrate,18,1.0,False,142,1,28,28,0.6428571428571429,c8343e448c42299216f68f3cfd1c325dfa99c744a1dade427dfe35de5d4f2070
TRAIN_NEG_00043,train,cross_pathway,46,46,AC_PWY-6842;AC_PWY-5670,AraCyc_Misc;AraCyc_Misc,46,1.0,True,142,1,93,92,,cf28e871ff289e437a2064777b16148579701d02a3fe0bddbddb81dea2afa925
TRAIN_NEG_00044,train,random_5_30,7,7,,,0,0.0,False,142,1,0,0,,bb6ddabb7437e20a2b7a82a84941ee54779fcd5b6e3a0dcd35479c5f4feb10d3
TRAIN_NEG_00045,train,shuffled,61,61,ath03050,KEGG_GeneticInfo,0,0.0,False,142,1,61,61,,18cb274b3550a50160c4892e0def58805ec85ed0384845e2f66f301451be5148
TRAIN_NEG_00046,train,partial_50_80,106,106,ath04016,KEGG_SignalTrans,106,1.0,False,142,1,146,146,0.726027397260274,5c38110c7eb91f1892ce2e461940a5d2b1cf1a61c274dd9960abae4d8c11affb
TRAIN_NEG_00047,train,cross_pathway,103,102,ath04142;AC_PWY-6952,KEGG_SignalTrans;AraCyc_Misc,103,1.0,False,142,1,208,207,,a96478a99efd93557769ad8a016558a74dd8b785e714a5c8904cf3cbee25d277
TRAIN_NEG_00048,train,random_5_30,9,9,,,0,0.0,False,142,1,0,0,,35d1a67f3d84ddede7d05268d631b0fede9fad1025fb6f17ab59d89745f78756
