category,item,previous_value,candidate_value,candidate_minus_previous
dataset,source database records,538,538,0.0
dataset,positive modelling instances,538,512,-26.0
dataset,KEGG source records,155,155,0.0
dataset,AraCyc source records,383,383,0.0
dataset,exact duplicate groups,0,20,20.0
dataset,collapsed extra records,0,26,26.0
split,outer training positives,430,409,-21.0
split,outer test positives,108,103,-5.0
features,selected GO overlap count,60,17,-43.0
features,selected GO Jaccard,1.0,0.1650485436893204,-0.8349514563106796
main_benchmark,Logistic Regression cv_auroc_mean,0.8366684694429424,0.8007693219504155,-0.03589914749252687
main_benchmark,Logistic Regression cv_auroc_sd,0.0164735926409761,0.0277030316467882,0.011229439005812098
main_benchmark,Logistic Regression test_auroc,0.8001543209876543,0.7964935432180225,-0.0036607777696318067
main_benchmark,Logistic Regression test_auprc,0.7412759113297809,0.7567339692546913,0.015458057924910396
main_benchmark,Logistic Regression f1,0.7747747747747747,0.7522935779816514,-0.022481196793123326
main_benchmark,Random Forest cv_auroc_mean,0.8727690643591131,0.848725215546846,-0.024043848812267066
main_benchmark,Random Forest cv_auroc_sd,0.0115579964532353,0.0211858078930922,0.0096278114398569
main_benchmark,Random Forest test_auroc,0.8575102880658436,0.8738806673579037,0.01637037929206009
main_benchmark,Random Forest test_auprc,0.8019949185159672,0.8412872450542334,0.0392923265382662
main_benchmark,Random Forest f1,0.8284518828451883,0.8281938325991189,-0.00025805024606939675
main_benchmark,XGBoost cv_auroc_mean,0.8626104200468722,0.8366172347471854,-0.02599318529968675
main_benchmark,XGBoost cv_auroc_sd,0.0186478797998182,0.0291147830981762,0.010466903298358001
main_benchmark,XGBoost test_auroc,0.8419067215363512,0.8739749269488171,0.03206820541246591
main_benchmark,XGBoost test_auprc,0.8071899030934726,0.8426952532797765,0.03550535018630385
main_benchmark,XGBoost f1,0.8017241379310345,0.8090909090909091,0.007366771159874608
ablation,full test_auroc,0.8419067215363512,0.8739749269488171,0.03206820541246591
ablation,full test_auprc,0.8071899030934726,0.8426952532797765,0.03550535018630385
ablation,full f1,0.8017241379310345,0.8090909090909091,0.007366771159874608
ablation,go_only test_auroc,0.7758916323731139,0.8098784051277217,0.03398677275460782
ablation,go_only test_auprc,0.7166464361886882,0.7627502892383582,0.04610385304967002
ablation,go_only f1,0.7264957264957265,0.7339449541284404,0.0074492276327139395
ablation,jaccard_only test_auroc,0.7631172839506173,0.7832029408992365,0.02008565694861919
ablation,jaccard_only test_auprc,0.7203976754689194,0.7317005308256715,0.011302855356752128
ablation,jaccard_only f1,0.684931506849315,0.7184466019417476,0.033515095092432556
ablation,minus_go test_auroc,0.823559670781893,0.8492789141295127,0.02571924334761977
ablation,minus_go test_auprc,0.7725890033121011,0.8202981692738989,0.04770916596179775
ablation,minus_go f1,0.7796610169491526,0.7853881278538812,0.005727110904728661
ablation,minus_jaccard test_auroc,0.7992112482853223,0.8384390611744745,0.039227812889152225
ablation,minus_jaccard test_auprc,0.7554182739321644,0.8147922008352116,0.059373926903047214
ablation,minus_jaccard f1,0.7679324894514767,0.7663551401869159,-0.0015773492645608789
ablation,minus_size test_auroc,0.8343621399176955,0.8481477990385522,0.01378565912085672
ablation,minus_size test_auprc,0.7836083513142535,0.7765963811600247,-0.00701197015422883
ablation,minus_size f1,0.8034934497816594,0.7924528301886793,-0.011040619592980083
ablation,size_only test_auroc,0.7680041152263375,0.7779244038080875,0.00992028858174998
ablation,size_only test_auprc,0.676018654122172,0.71230885933101,0.03629020520883797
ablation,size_only f1,0.7280701754385965,0.7610619469026548,0.032991771464058295
lofo,reported families,12,12,0.0
lofo,mean test_auroc,0.8574716760993931,0.8600142848585723,0.0025426087591792212
lofo,mean test_auprc,0.8416480034353051,0.8374479426056066,-0.004200060829698482
lofo,mean f1,0.7860007779726584,0.7948983565259687,0.008897578553310304
importance,top-10 feature overlap,10,7,-3.0
protocol,ratio comparison data,outer held-out test,outer-training nested CV,
protocol,ratio feature selection,fixed primary feature set,fold-training selection,
protocol,outer test ratios evaluated,1:1 through 1:5,preselected 1:1 only,
