pathway_id,pathway_name,source,family,raw_gene_count,gene_set_sha256
AC_ALACAT2-PWY,L-alanine degradation II (to D-lactate),AraCyc,AraCyc_Misc,8,3ce1ad2be484a76d71cc6617d5cd217f785c607b30d0b64c7f63b1e742069d72
AC_ALANINE-DEG3-PWY,L-alanine degradation III,AraCyc,AraCyc_Misc,6,c99083c4c9fc8f79e65e2b84a80daf72d6ab041dcad48d3d940ac723f403679c
AC_ALANINE-SYN2-PWY,L-alanine biosynthesis II,AraCyc,AraCyc_Misc,6,c99083c4c9fc8f79e65e2b84a80daf72d6ab041dcad48d3d940ac723f403679c
AC_ARGSPECAT-PWY,spermine biosynthesis,AraCyc,AraCyc_Misc,6,ce415607e257a45ad98605af704cee4bcc58e2aac481fdae0eadc63601f6f832
AC_ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),AraCyc,AraCyc_AminoAcid,13,250f906165206e314bfb924549badc84c4400c70289958bb29992892768cc296
AC_ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),AraCyc,AraCyc_AminoAcid,13,b8e99e2639a1de236b641a20202f3d0cd47cc44be2925c49692d77b4f0a7ad8b
AC_ARO-PWY,chorismate biosynthesis I,AraCyc,AraCyc_Misc,10,f327701bb03c6b100a587e0ec6d5986d683439e35ee70ca1903d62290699320b
AC_ASPARAGINE-DEG1-PWY,L-asparagine degradation I,AraCyc,AraCyc_Misc,5,f670d1b64e7bf537c60cfdd87c07aa13bb46437ca0a9762f028754b29e2e8191
AC_ASPARAGINE-DEG1-PWY-1,L-asparagine degradation III (mammalian),AraCyc,AraCyc_Misc,15,4190abeaa4491d0cf70f1e479fa78b74e1eff7e37edf6dfd3224dfca450ad5f7
AC_ASPARTATE-DEG1-PWY,L-aspartate degradation I,AraCyc,AraCyc_Misc,9,74049019ee0ef2b19c558240ba1e94f271e7545efccdcf2865e3d0a40244c3ea
AC_ASPARTATESYN-PWY,L-aspartate biosynthesis,AraCyc,AraCyc_Misc,9,74049019ee0ef2b19c558240ba1e94f271e7545efccdcf2865e3d0a40244c3ea
AC_ASPASN-ARA-PWY,superpathway of aspartate and asparagine biosynthesis,AraCyc,AraCyc_Misc,18,ea8c2a698b6c48d04b220acbe1d8f0581dc847613710acdebbb6fa50364408ee
AC_BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched chain amino acid biosynthesis,AraCyc,AraCyc_AminoAcid,21,132838eb33086867c549d3b11c1f4ebf8dac1ede12d53bc68c01b1a5c9b187d1
AC_BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,AraCyc,AraCyc_Misc,7,1734f79d2c10c85806e2c9d8ee6e7e136f13c8292b1fcabf64f114eb4893275f
AC_CALVIN-PWY,Calvin-Benson-Bassham cycle,AraCyc,AraCyc_Misc,35,325f04b12895a72a280af68cf65a5329edaa4b2341db289c2e529ae4e92cd9b8
AC_CAMALEXIN-SYN,camalexin biosynthesis,AraCyc,AraCyc_Misc,31,5fb2f174634100a2e0aaff6ec609009a975213eee52c37cbad85ca1d9a186759
