held_out_family,primary_ratio,n_train_pos,n_test_pos,n_test_neg,median_size,scale_pos_weight,feature_selection_protocol,nested_feature_selection,cross_split_source_leakage_count,test_auroc,test_auprc,f1,precision,recall,brier
AraCyc_Carbohydrate,1:1,498,14,14,27.5,1.0,fixed_primary_training_selected,False,0,0.9489795918367347,0.9338169766741194,0.896551724137931,0.8666666666666667,0.9285714285714286,0.0815538614988327
KEGG_Metabolism,1:1,503,9,9,71.0,1.0,fixed_primary_training_selected,False,0,0.9135802469135803,0.9092953342953345,0.8421052631578947,0.8,0.8888888888888888,0.11242120712995529
KEGG_GeneticInfo,1:1,491,21,21,61.0,1.0,fixed_primary_training_selected,False,0,0.8752834467120182,0.8742409885677069,0.7906976744186046,0.7727272727272727,0.8095238095238095,0.13778269290924072
AraCyc_Secondary,1:1,508,4,4,25.0,1.0,fixed_primary_training_selected,False,0,0.875,0.9166666666666666,0.75,0.75,0.75,0.1484140157699585
AraCyc_Cofactor,1:1,499,13,13,10.0,1.0,fixed_primary_training_selected,False,0,0.8579881656804733,0.8154920091154909,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.14604394137859344
AraCyc_Lipid,1:1,491,21,21,12.0,1.0,fixed_primary_training_selected,False,0,0.8571428571428571,0.8131318802730194,0.8372093023255814,0.8181818181818182,0.8571428571428571,0.15461616218090057
KEGG_SignalTrans,1:1,487,25,25,55.0,1.0,fixed_primary_training_selected,False,0,0.8528,0.8550541406938472,0.7450980392156863,0.7307692307692307,0.76,0.16377830505371094
AraCyc_AminoAcid,1:1,494,18,18,14.0,1.0,fixed_primary_training_selected,False,0,0.845679012345679,0.8456092944424147,0.7567567567567568,0.7368421052631579,0.7777777777777778,0.17019589245319366
AraCyc_Misc,1:1,243,269,269,11.0,1.0,fixed_primary_training_selected,False,0,0.8280565497989247,0.7625417082937116,0.7925170068027211,0.7304075235109718,0.8661710037174721,0.16597601771354675
KEGG_Lipid,1:1,485,27,27,30.0,1.0,fixed_primary_training_selected,False,0,0.8257887517146776,0.7932246682537616,0.7547169811320755,0.7692307692307693,0.7407407407407407,0.16754214465618134
AraCyc_Nucleotide,1:1,494,18,18,18.0,1.0,fixed_primary_training_selected,False,0,0.8209876543209877,0.7251625035914083,0.7894736842105263,0.75,0.8333333333333334,0.17122812569141388
KEGG_Cellular,1:1,441,71,71,41.0,1.0,fixed_primary_training_selected,False,0,0.8188851418369371,0.8051391403997994,0.7375,0.6629213483146067,0.8309859154929577,0.1774154007434845
