rank,feature,importance,method,primary_ratio
1,jaccard_mean,0.7318567037582397,shap_mean_abs,1:1
2,go_entropy,0.5599990487098694,shap_mean_abs,1:1
3,annotated_gene_count,0.45408985018730164,shap_mean_abs,1:1
4,GO:0008150,0.38294100761413574,shap_mean_abs,1:1
5,jaccard_std,0.32560017704963684,shap_mean_abs,1:1
6,mean_go_per_gene,0.3234199583530426,shap_mean_abs,1:1
7,GO:0005737,0.26578450202941895,shap_mean_abs,1:1
8,GO:0009507,0.2134110927581787,shap_mean_abs,1:1
9,GO:0005829,0.17768026888370514,shap_mean_abs,1:1
10,GO:0005739,0.1560419350862503,shap_mean_abs,1:1
11,GO:0005575,0.11779612302780151,shap_mean_abs,1:1
12,go_size_std,0.11578090488910675,shap_mean_abs,1:1
13,GO:0005783,0.1152019053697586,shap_mean_abs,1:1
14,GO:0009579,0.11264590919017792,shap_mean_abs,1:1
15,GO:0006412,0.10874374955892563,shap_mean_abs,1:1
16,GO:0005886,0.1035953089594841,shap_mean_abs,1:1
17,log_annotated_gene_count,0.09646016359329224,shap_mean_abs,1:1
18,jaccard_max,0.09574860334396362,shap_mean_abs,1:1
19,GO:0007165,0.059236615896224976,shap_mean_abs,1:1
20,GO:0003700,0.054510101675987244,shap_mean_abs,1:1
21,GO:0009860,0.0512903593480587,shap_mean_abs,1:1
22,GO:0016020,0.046245817095041275,shap_mean_abs,1:1
23,GO:0003723,0.03901046887040138,shap_mean_abs,1:1
24,GO:0008483,0.03828555718064308,shap_mean_abs,1:1
25,GO:0010224,0.036601003259420395,shap_mean_abs,1:1
26,GO:0005759,0.036016594618558884,shap_mean_abs,1:1
27,GO:0006355,0.03299619257450104,shap_mean_abs,1:1
28,GO:0000287,0.028762347996234894,shap_mean_abs,1:1
29,GO:0006414,0.02124045044183731,shap_mean_abs,1:1
30,GO:0046686,0.01887853629887104,shap_mean_abs,1:1
