model,parameter,paper_full_value,quick_debug_value,actual_used_value,status,notes
XGBoost,colsample_bytree,0.7,0.7,0.7,match,
XGBoost,eval_metric,logloss,logloss,logloss,match,
XGBoost,learning_rate,0.03,0.08,0.08,match,quick differs intentionally for fast validation runs
XGBoost,max_depth,5,5,5,match,
XGBoost,min_child_weight,3,3,3,match,
XGBoost,n_estimators,500,40,40,match,quick differs intentionally for fast validation runs
XGBoost,n_jobs,-1,-1,-1,match,
XGBoost,objective,binary:logistic,binary:logistic,binary:logistic,match,
XGBoost,random_state,42,42,42,match,
XGBoost,reg_alpha,0.1,0.1,0.1,match,
XGBoost,reg_lambda,1.0,1.0,1.0,match,
XGBoost,scale_pos_weight_rule,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic,
XGBoost,subsample,0.8,0.8,0.8,match,
XGBoost,tree_method,hist,hist,hist,match,
Random Forest,class_weight,balanced,balanced,balanced,match,
Random Forest,max_depth,10,10,10,match,
Random Forest,max_features,sqrt,sqrt,sqrt,match,
Random Forest,n_estimators,500,120,120,match,quick differs intentionally for fast validation runs
Random Forest,n_jobs,-1,-1,-1,match,
Random Forest,random_state,42,42,42,match,
Logistic Regression,class_weight,balanced,balanced,balanced,match,
Logistic Regression,max_iter,5000,5000,5000,match,
Logistic Regression,random_state,42,42,42,match,
Logistic Regression,solver,lbfgs,lbfgs,lbfgs,match,
LightGBM,colsample_bytree,0.7,0.7,0.7,match,
LightGBM,learning_rate,0.03,0.05,0.05,match,quick differs intentionally for fast validation runs
LightGBM,max_depth,5,5,5,match,
LightGBM,n_estimators,500,160,160,match,quick differs intentionally for fast validation runs
LightGBM,n_jobs,-1,-1,-1,match,
LightGBM,num_leaves,63,31,31,match,quick differs intentionally for fast validation runs
LightGBM,random_state,42,42,42,match,
LightGBM,scale_pos_weight_rule,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic,
LightGBM,subsample,0.8,0.8,0.8,match,
CatBoost,allow_writing_files,False,False,False,match,
CatBoost,depth,5,5,5,match,
CatBoost,iterations,500,160,160,match,quick differs intentionally for fast validation runs
CatBoost,learning_rate,0.03,0.05,0.05,match,quick differs intentionally for fast validation runs
CatBoost,random_seed,42,42,42,match,
CatBoost,scale_pos_weight_rule,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic,
CatBoost,thread_count,-1,-1,-1,match,
LightGBM,availability,optional_dependency,optional_dependency,installed,match,supplementary model comparison only
CatBoost,availability,optional_dependency,optional_dependency,installed,match,supplementary model comparison only
