analysis,n_positive_train,n_negative_train,scale_pos_weight,rule,ratio,repeat_index,fold_index,held_out_family
main_benchmark_cv,286,572,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,0.0,
main_benchmark_cv,287,574,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,1.0,
main_benchmark_cv,287,574,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,2.0,
main_benchmark,430,860,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,,,
negative_ratio_sensitivity,430,430,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,,,
negative_ratio_sensitivity_cv,286,286,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,0.0,
negative_ratio_sensitivity_cv,287,287,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,1.0,
negative_ratio_sensitivity_cv,287,287,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,2.0,
negative_ratio_sensitivity,430,860,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,,,
negative_ratio_sensitivity_cv,286,572,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,0.0,
negative_ratio_sensitivity_cv,287,574,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,1.0,
negative_ratio_sensitivity_cv,287,574,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,2.0,
negative_ratio_sensitivity,430,1290,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,,,
negative_ratio_sensitivity_cv,286,858,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,0.0,
negative_ratio_sensitivity_cv,287,861,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,1.0,
negative_ratio_sensitivity_cv,287,861,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,2.0,
negative_ratio_sensitivity,430,1720,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,,,
negative_ratio_sensitivity_cv,286,1144,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,0.0,
negative_ratio_sensitivity_cv,287,1148,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,1.0,
negative_ratio_sensitivity_cv,287,1148,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,2.0,
negative_ratio_sensitivity,430,2150,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,,,
negative_ratio_sensitivity_cv,286,1430,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,0.0,
negative_ratio_sensitivity_cv,287,1435,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,1.0,
negative_ratio_sensitivity_cv,287,1435,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,2.0,
supplementary_model_comparison,430,860,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,,,
feature_ablation,430,860,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,,,
lofo,516,1032,2.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_AminoAcid
lofo,523,1046,2.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Carbohydrate
lofo,525,1050,2.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Cofactor
lofo,515,1030,2.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Lipid
lofo,252,504,2.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Misc
lofo,518,1036,2.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Nucleotide
lofo,534,1068,2.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Secondary
lofo,467,934,2.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_Cellular
lofo,517,1034,2.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_GeneticInfo
lofo,511,1022,2.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_Lipid
lofo,529,1058,2.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_Metabolism
lofo,513,1026,2.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_SignalTrans
