held_out_family,n_train_pos,n_test_pos,n_test_neg,median_size,scale_pos_weight,feature_selection_protocol,nested_feature_selection,cross_split_source_leakage_count,test_auroc,test_auprc,f1,precision,recall,brier
KEGG_Metabolism,529,9,18,71.0,2.0,fixed_primary_training_selected,False,0,0.9012345679012346,0.828847078847079,0.75,0.6,1.0,0.13060738146305084
AraCyc_Carbohydrate,523,15,30,27.0,2.0,fixed_primary_training_selected,False,0,0.8911111111111112,0.7134834446599152,0.8108108108108109,0.6818181818181818,1.0,0.12747080624103546
AraCyc_Cofactor,525,13,26,10.0,2.0,fixed_primary_training_selected,False,0,0.8816568047337279,0.7505095949934006,0.7096774193548387,0.6111111111111112,0.8461538461538461,0.13515420258045197
AraCyc_AminoAcid,516,22,44,18.0,2.0,fixed_primary_training_selected,False,0,0.8760330578512396,0.6951300580029861,0.711864406779661,0.5675675675675675,0.9545454545454546,0.153143048286438
AraCyc_Misc,252,286,572,11.0,2.0,fixed_primary_training_selected,False,0,0.8621479045430095,0.7165988145037029,0.70995670995671,0.6044226044226044,0.8601398601398601,0.15070590376853943
AraCyc_Nucleotide,518,20,40,18.0,2.0,fixed_primary_training_selected,False,0,0.8512500000000001,0.7514279845529845,0.6818181818181818,0.625,0.75,0.15407055616378784
AraCyc_Lipid,515,23,46,12.0,2.0,fixed_primary_training_selected,False,0,0.8468809073724006,0.76878230168848,0.7169811320754716,0.6333333333333333,0.8260869565217391,0.1531083732843399
KEGG_SignalTrans,513,25,50,55.0,2.0,fixed_primary_training_selected,False,0,0.844,0.6913176353716131,0.6451612903225806,0.5405405405405406,0.8,0.16938576102256775
KEGG_GeneticInfo,517,21,42,61.0,2.0,fixed_primary_training_selected,False,0,0.8356009070294785,0.6272104322511547,0.7307692307692307,0.6129032258064516,0.9047619047619048,0.16295954585075378
KEGG_Lipid,511,27,54,30.0,2.0,fixed_primary_training_selected,False,0,0.8333333333333334,0.7198311561628852,0.6333333333333333,0.5757575757575758,0.7037037037037037,0.16156060993671417
KEGG_Cellular,467,71,142,41.0,2.0,fixed_primary_training_selected,False,0,0.8239932553064868,0.6114194043932939,0.6511627906976745,0.5544554455445545,0.7887323943661971,0.1685936450958252
AraCyc_Secondary,534,4,8,25.0,2.0,fixed_primary_training_selected,False,0,0.8125,0.85,0.6666666666666666,0.6,0.75,0.1725756973028183
