model,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,primary_split_sha256,status,cv_auroc_mean,cv_auroc_sd,train_size,test_size,scale_pos_weight,elapsed_s,test_auroc,test_auprc,f1,precision,recall,brier,rank_by_auroc
XGBoost,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.07608294486999512,0.8550240054869684,0.6969351319457913,0.7063197026022305,0.5900621118012422,0.8796296296296297,0.1515597105026245,1
Gradient Boosting,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.4053359031677246,0.8541666666666666,0.6940753398607392,0.6602870813397129,0.6831683168316832,0.6388888888888888,0.1464185584175228,2
CatBoost,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.23598098754882812,0.8506087105624143,0.6644234552921602,0.7191011235955056,0.6037735849056604,0.8888888888888888,0.1536862652722293,3
LightGBM,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.5298953056335449,0.8488082990397804,0.6734088059032598,0.7322834645669292,0.636986301369863,0.8611111111111112,0.15235971926242728,4
Random Forest,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.1338810920715332,0.8481224279835391,0.6764792266583785,0.708171206225681,0.610738255033557,0.8425925925925926,0.14999313858287422,5
AdaBoost,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.15697097778320312,0.8403635116598079,0.6386811614240586,0.6051282051282051,0.6781609195402298,0.5462962962962963,0.19172277967916646,6
Extra Trees,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.08838677406311035,0.8337191358024691,0.6565863079607602,0.6906474820143885,0.5647058823529412,0.8888888888888888,0.16835243040264208,7
RBF SVM,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.18920087814331055,0.8149648491083676,0.6404397723826495,0.5297297297297298,0.6363636363636364,0.4537037037037037,0.1651058965958376,8
Logistic Regression,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.0070362091064453125,0.8055984224965707,0.626738877289996,0.6440677966101694,0.59375,0.7037037037037037,0.18163297698963438,9
MLP,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.07975888252258301,0.7949245541838134,0.6133527457063603,0.5566037735849056,0.5673076923076923,0.5462962962962963,0.17082183063030243,10
Linear SVM,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.37001800537109375,0.7941958161865569,0.6333954952545825,0.5405405405405406,0.6493506493506493,0.46296296296296297,0.17153095155701775,11
k-NN (k=7),heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.03424787521362305,0.7865440672153635,0.585920693206633,0.5781990521327014,0.5922330097087378,0.5648148148148148,0.17271352985638702,12
Gaussian Naive Bayes,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.0008289813995361328,0.7172710905349794,0.4945515164555144,0.5956112852664577,0.45023696682464454,0.8796296296296297,0.387936532497406,13
