rank,feature,importance,method
1,jaccard_mean,0.6115491390228271,shap_mean_abs
2,go_entropy,0.4184432327747345,shap_mean_abs
3,pathway_size,0.3432846963405609,shap_mean_abs
4,GO:0008150,0.1542419046163559,shap_mean_abs
5,GO:0009507,0.11257605254650116,shap_mean_abs
6,jaccard_std,0.10928886383771896,shap_mean_abs
7,jaccard_max,0.10866401344537735,shap_mean_abs
8,GO:0003700,0.10428135842084885,shap_mean_abs
9,mean_go_per_gene,0.07791648060083389,shap_mean_abs
10,GO:0006412,0.07551180571317673,shap_mean_abs
11,GO:0004672,0.0752667561173439,shap_mean_abs
12,log_size,0.07077573239803314,shap_mean_abs
13,GO:0003729,0.06174638867378235,shap_mean_abs
14,GO:0009793,0.060136813670396805,shap_mean_abs
15,GO:0005575,0.04698463901877403,shap_mean_abs
16,GO:0005829,0.04395229369401932,shap_mean_abs
17,go_size_std,0.041089411824941635,shap_mean_abs
18,GO:0005794,0.031262923032045364,shap_mean_abs
19,GO:0005515,0.030727338045835495,shap_mean_abs
20,GO:0005777,0.029036391526460648,shap_mean_abs
21,GO:0005739,0.023412762209773064,shap_mean_abs
22,GO:0003677,0.02328377217054367,shap_mean_abs
23,GO:0003723,0.018208878114819527,shap_mean_abs
24,GO:0005576,0.01753537543118,shap_mean_abs
25,jaccard_min,0.011388324201107025,shap_mean_abs
26,GO:0016020,0.008828735910356045,shap_mean_abs
27,GO:0051555,0.008723528124392033,shap_mean_abs
28,GO:0006970,0.007920868694782257,shap_mean_abs
29,GO:0016301,0.007913824170827866,shap_mean_abs
30,GO:0005768,0.007783235516399145,shap_mean_abs
