held_out_family,n_test_pos_ratio_1_1,n_test_neg_ratio_1_1,test_auroc_ratio_1_1,test_auprc_ratio_1_1,f1_ratio_1_1,precision_ratio_1_1,recall_ratio_1_1,n_test_pos_ratio_1_2,n_test_neg_ratio_1_2,test_auroc_ratio_1_2,test_auprc_ratio_1_2,f1_ratio_1_2,precision_ratio_1_2,recall_ratio_1_2,n_test_pos_delta_1_1_minus_1_2,n_test_neg_delta_1_1_minus_1_2,test_auroc_delta_1_1_minus_1_2,test_auprc_delta_1_1_minus_1_2,f1_delta_1_1_minus_1_2,precision_delta_1_1_minus_1_2,recall_delta_1_1_minus_1_2
AraCyc_AminoAcid,22,22,0.9028925619834712,0.8985414621900946,0.8085106382978723,0.76,0.8636363636363636,22,44,0.8749999999999999,0.7796193070400974,0.6909090909090909,0.5757575757575758,0.8636363636363636,0,-22,0.027892561983471342,0.11892215514999716,0.11760154738878137,0.1842424242424242,0.0
AraCyc_Carbohydrate,15,15,0.8311111111111111,0.7858675002328253,0.75,0.7058823529411765,0.8,15,30,0.9511111111111112,0.845741029123382,0.8571428571428571,0.75,1.0,0,-15,-0.1200000000000001,-0.05987352889055675,-0.1071428571428571,-0.044117647058823484,-0.19999999999999996
AraCyc_Cofactor,13,13,0.8224852071005917,0.7765032855530594,0.8275862068965517,0.75,0.9230769230769232,13,26,0.911242603550296,0.8524544083367611,0.7333333333333333,0.6470588235294118,0.8461538461538461,0,-13,-0.08875739644970426,-0.07595112278370175,0.09425287356321843,0.1029411764705882,0.0769230769230771
AraCyc_Lipid,23,23,0.890359168241966,0.8984922756981579,0.8333333333333334,0.8,0.8695652173913043,23,46,0.8724007561436673,0.8174049015819627,0.6792452830188679,0.6,0.782608695652174,0,-23,0.017958412098298737,0.08108737411619527,0.15408805031446549,0.20000000000000007,0.08695652173913038
AraCyc_Misc,286,286,0.8514352780087046,0.8060396544828234,0.7920792079207921,0.75,0.8391608391608392,286,572,0.8683554208029732,0.7300457429816183,0.6995073891625616,0.6594427244582043,0.7447552447552448,0,-286,-0.016920142794268678,0.07599391150120516,0.0925718187582305,0.09055727554179571,0.09440559440559437
AraCyc_Nucleotide,20,20,0.885,0.8929407241809826,0.7222222222222222,0.8125,0.65,20,40,0.8699999999999999,0.782529847679442,0.6341463414634146,0.6190476190476191,0.65,0,-20,0.015000000000000124,0.11041087650154058,0.08807588075880757,0.19345238095238093,0.0
AraCyc_Secondary,4,4,0.8125,0.8928571428571428,0.75,0.75,0.75,4,8,0.875,0.875,0.6666666666666666,0.6,0.75,0,-4,-0.0625,0.017857142857142794,0.08333333333333337,0.15000000000000002,0.0
KEGG_Cellular,71,71,0.8040071414401904,0.7285649699959192,0.7922077922077922,0.7349397590361446,0.8591549295774648,71,142,0.8105534616147589,0.6055761951911319,0.6375,0.5730337078651685,0.7183098591549296,0,-71,-0.006546320174568576,0.12298877480478732,0.1547077922077923,0.16190605117097612,0.14084507042253513
KEGG_GeneticInfo,21,21,0.873015873015873,0.8397121086890429,0.851063829787234,0.7692307692307693,0.9523809523809524,21,42,0.8333333333333334,0.6138190257154948,0.68,0.5862068965517241,0.8095238095238095,0,-21,0.03968253968253965,0.22589308297354804,0.171063829787234,0.18302387267904519,0.1428571428571429
KEGG_Lipid,27,27,0.8340192043895748,0.8589130658043007,0.6923076923076923,0.72,0.6666666666666666,27,54,0.826474622770919,0.6988840917613028,0.5964912280701754,0.5666666666666667,0.6296296296296297,0,-27,0.007544581618655788,0.16002897404299787,0.09581646423751689,0.15333333333333332,0.03703703703703698
KEGG_Metabolism,9,9,0.9012345679012346,0.8691718775052109,0.8571428571428571,0.75,1.0,9,18,0.925925925925926,0.8808080808080809,0.7368421052631579,0.7,0.7777777777777778,0,-9,-0.024691358024691468,-0.011636203302870074,0.12030075187969924,0.050000000000000044,0.2222222222222222
KEGG_SignalTrans,25,25,0.8816,0.8521719740341023,0.7555555555555555,0.85,0.68,25,50,0.8536,0.7680335039420811,0.6428571428571429,0.5806451612903226,0.72,0,-25,0.028000000000000025,0.08413847009202113,0.11269841269841263,0.26935483870967736,-0.039999999999999925
