model,test_auroc_ratio_1_1,test_auprc_ratio_1_1,f1_ratio_1_1,precision_ratio_1_1,recall_ratio_1_1,brier_ratio_1_1,elapsed_s_ratio_1_1,test_auroc_ratio_1_2,test_auprc_ratio_1_2,f1_ratio_1_2,precision_ratio_1_2,recall_ratio_1_2,brier_ratio_1_2,elapsed_s_ratio_1_2,test_auroc_delta_1_1_minus_1_2,test_auprc_delta_1_1_minus_1_2,f1_delta_1_1_minus_1_2,precision_delta_1_1_minus_1_2,recall_delta_1_1_minus_1_2,brier_delta_1_1_minus_1_2,elapsed_s_delta_1_1_minus_1_2
AdaBoost,0.81974451303155,0.7457556957112875,0.7876106194690266,0.7542372881355932,0.8240740740740741,0.208513404497801,0.2757580280303955,0.8369127229080932,0.6280159268595417,0.6261682242990654,0.6320754716981132,0.6203703703703703,0.1999739201705113,0.3817160129547119,-0.017168209876543106,0.11773976885174586,0.16144239516996117,0.12216181643748003,0.20370370370370372,0.00853948432728971,-0.1059579849243164
CatBoost,0.8373628257887517,0.7957012944825983,0.811965811965812,0.753968253968254,0.8796296296296297,0.1599185120706524,0.4303479194641113,0.8553240740740742,0.6792097214072965,0.7322834645669292,0.636986301369863,0.8611111111111112,0.1512763995638298,0.4829192161560058,-0.01796124828532253,0.11649157307530178,0.0796823473988828,0.11698195259839095,0.01851851851851849,0.008642112506822619,-0.05257129669189453
Extra Trees,0.8324759945130316,0.7887247277003224,0.7935222672064778,0.7050359712230215,0.9074074074074074,0.1666207766766827,0.2828829288482666,0.836548353909465,0.6600653007855156,0.6737588652482269,0.5459770114942529,0.8796296296296297,0.1686659207247936,0.2998440265655517,-0.004072359396433467,0.1286594269148068,0.11976340195825086,0.1590589597287686,0.02777777777777779,-0.002045144048110903,-0.0169610977172851
Gaussian Naive Bayes,0.7160493827160493,0.6512964649431245,0.7306273062730627,0.6073619631901841,0.9166666666666666,0.3299375474452972,0.0007438659667968,0.7172710905349794,0.4945515164555144,0.5956112852664577,0.4502369668246445,0.8796296296296297,0.387936532497406,0.0008163452148437,-0.0012217078189300512,0.15674494848761017,0.13501602100660504,0.15712499636553962,0.03703703703703698,-0.05799898505210882,-7.247924804690005e-05
Gradient Boosting,0.8330761316872428,0.7954211107545397,0.7841409691629956,0.7478991596638656,0.8240740740740741,0.1637700397519873,0.8582570552825928,0.852409122085048,0.6819653734281971,0.647887323943662,0.6571428571428571,0.6388888888888888,0.1535960025921728,1.2306711673736572,-0.019332990397805228,0.11345573732634262,0.13625364521933359,0.09075630252100841,0.18518518518518523,0.01017403715981452,-0.37241411209106445
LightGBM,0.8412208504801097,0.8025782608699151,0.7964601769911505,0.7627118644067796,0.8333333333333334,0.1569525595910869,1.1614220142364502,0.8507801783264746,0.678622303478952,0.7083333333333334,0.6439393939393939,0.7870370370370371,0.1574415733523442,1.3414630889892578,-0.009559327846364818,0.1239559573909631,0.08812684365781709,0.1187724704673857,0.04629629629629628,-0.0004890137612573175,-0.18004107475280762
Linear SVM,0.8016117969821672,0.737129469024792,0.7811158798283262,0.728,0.8425925925925926,0.1827380468318674,0.2159109115600586,0.7941958161865569,0.6333954952545825,0.5405405405405406,0.6493506493506493,0.4629629629629629,0.1715309515570177,0.372622013092041,0.007415980795610344,0.10373397377020954,0.24057533928778563,0.07864935064935064,0.37962962962962965,0.011207095274849699,-0.15671110153198242
Logistic Regression,0.8001543209876543,0.7412759113297809,0.7747747747747747,0.7543859649122807,0.7962962962962963,0.1792679122924541,0.0067551136016845,0.8055984224965707,0.626738877289996,0.6440677966101694,0.59375,0.7037037037037037,0.1816329769896343,0.0071258544921875,-0.005444101508916388,0.11453703403978488,0.1307069781646053,0.16063596491228072,0.09259259259259256,-0.0023650646971802025,-0.00037074089050299994
MLP,0.7668895747599451,0.7062913402821506,0.7574468085106383,0.7007874015748031,0.8240740740740741,0.1906861364841461,0.0222558975219726,0.7718192729766804,0.5888625494733101,0.5504587155963303,0.5454545454545454,0.5555555555555556,0.1770939975976944,0.037898302078247,-0.004929698216735279,0.1174287908088405,0.20698809291430798,0.1553328561202577,0.2685185185185185,0.013592138886451693,-0.0156424045562744
RBF SVM,0.8044410150891632,0.7492756065467767,0.7445887445887446,0.6991869918699187,0.7962962962962963,0.1767494121570804,0.0938019752502441,0.8149648491083676,0.6404397723826495,0.5297297297297298,0.6363636363636364,0.4537037037037037,0.1651058965958376,0.1925287246704101,-0.010523834019204426,0.10883583416412723,0.21485901485901482,0.06282335550628237,0.34259259259259256,0.011643515561242795,-0.098726749420166
Random Forest,0.8575102880658436,0.8019949185159672,0.8284518828451883,0.7557251908396947,0.9166666666666666,0.1478443100394731,0.4064860343933105,0.8531807270233196,0.6678003140361832,0.71875,0.6216216216216216,0.8518518518518519,0.1482312712810742,0.4171602725982666,0.004329561042524022,0.13419460447978393,0.10970188284518834,0.1341035692180731,0.06481481481481477,-0.00038696124160109147,-0.01067423820495611
XGBoost,0.8419067215363512,0.8071899030934726,0.8017241379310345,0.75,0.8611111111111112,0.1558562517166137,0.8365540504455566,0.8540380658436213,0.68241980213254,0.711864406779661,0.65625,0.7777777777777778,0.1559695750474929,0.8716621398925781,-0.012131344307270142,0.12477010096093255,0.08985973115137347,0.09375,0.08333333333333337,-0.00011332333087921143,-0.035108089447021484
k-NN (k=7),0.6997170781893004,0.6391938553870378,0.710204081632653,0.635036496350365,0.8055555555555556,0.2246787603930461,0.0344929695129394,0.7865440672153635,0.585920693206633,0.5781990521327014,0.5922330097087378,0.5648148148148148,0.172713529856387,0.031743049621582,-0.08682698902606312,0.05327316218040479,0.13200502949995163,0.04280348664162714,0.2407407407407408,0.05196523053665911,0.002749919891357401
