go_term,selected_ratio_1_1,selected_ratio_1_2,selected_both
GO:0000103,False,True,False
GO:0000149,False,True,False
GO:0000502,False,True,False
GO:0000786,True,False,False
GO:0000976,True,True,True
GO:0000978,True,False,False
GO:0000981,True,True,True
GO:0003677,False,True,False
GO:0003700,True,True,True
GO:0003723,True,True,True
GO:0003729,True,True,True
GO:0003743,False,True,False
GO:0003824,True,False,False
GO:0004185,False,True,False
GO:0004252,False,True,False
GO:0004386,True,False,False
GO:0004565,False,True,False
GO:0004601,True,True,True
GO:0004672,True,True,True
GO:0004674,True,False,False
GO:0004675,True,False,False
GO:0004722,False,True,False
GO:0004857,True,False,False
GO:0005262,False,True,False
GO:0005515,True,True,True
GO:0005575,True,True,True
GO:0005576,True,True,True
GO:0005737,True,False,False
GO:0005739,False,True,False
GO:0005741,False,True,False
GO:0005759,True,False,False
GO:0005764,True,False,False
GO:0005768,True,True,True
GO:0005773,True,False,False
GO:0005777,False,True,False
GO:0005794,False,True,False
GO:0005811,False,True,False
GO:0005829,True,True,True
GO:0006310,False,True,False
GO:0006351,True,False,False
GO:0006355,True,True,True
GO:0006357,True,False,False
GO:0006364,False,True,False
GO:0006412,True,True,True
GO:0006414,True,True,True
GO:0006511,True,True,True
GO:0006813,True,False,False
GO:0006874,False,True,False
GO:0006879,False,True,False
GO:0006952,False,True,False
GO:0006970,False,True,False
GO:0007018,False,True,False
GO:0007031,False,True,False
GO:0007165,True,False,False
GO:0008150,True,True,True
GO:0009055,False,True,False
GO:0009411,True,False,False
GO:0009507,True,True,True
GO:0009535,True,False,False
GO:0009536,True,False,False
GO:0009570,True,False,False
GO:0009626,False,True,False
GO:0009639,True,False,False
GO:0009651,True,False,False
GO:0009749,False,True,False
GO:0009793,True,True,True
GO:0009828,True,False,False
GO:0010082,False,True,False
GO:0010224,True,False,False
GO:0015297,True,False,False
GO:0016020,False,True,False
GO:0016301,False,True,False
GO:0016413,True,False,False
GO:0016757,True,False,False
GO:0019706,True,False,False
GO:0019900,True,False,False
GO:0022857,True,False,False
GO:0030150,True,False,False
GO:0030533,True,True,True
GO:0031011,True,False,False
GO:0031969,True,False,False
GO:0031977,False,True,False
GO:0033612,False,True,False
GO:0042026,False,True,False
GO:0042538,True,False,False
GO:0042626,True,False,False
GO:0042761,True,False,False
GO:0043086,True,False,False
GO:0043565,False,True,False
GO:0044027,False,True,False
GO:0048766,True,False,False
GO:0050897,True,False,False
GO:0051085,False,True,False
GO:0051555,False,True,False
GO:0055085,True,True,True
GO:0071215,False,True,False
GO:0080008,True,False,False
GO:1901259,False,True,False
GO:1902600,False,True,False
