model,primary_ratio,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,primary_split_sha256,status,cv_auroc_mean,cv_auroc_sd,train_size,test_size,scale_pos_weight,elapsed_s,test_auroc,test_auprc,f1,precision,recall,brier,rank_by_auroc
Random Forest,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.419874906539917,0.8575102880658436,0.8019949185159672,0.8284518828451883,0.7557251908396947,0.9166666666666666,0.14784431003947313,1
XGBoost,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.8564159870147705,0.8419067215363512,0.8071899030934726,0.8017241379310345,0.75,0.8611111111111112,0.15585625171661377,2
LightGBM,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,1.1885418891906738,0.8412208504801097,0.8025782608699151,0.7964601769911505,0.7627118644067796,0.8333333333333334,0.15695255959108692,3
CatBoost,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.45580101013183594,0.8373628257887517,0.7957012944825983,0.811965811965812,0.753968253968254,0.8796296296296297,0.1599185120706524,4
Gradient Boosting,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.8731660842895508,0.8330761316872428,0.7954211107545397,0.7841409691629956,0.7478991596638656,0.8240740740740741,0.16377003975198737,5
Extra Trees,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.3016068935394287,0.8324759945130316,0.7887247277003224,0.7935222672064778,0.7050359712230215,0.9074074074074074,0.16662077667668265,6
AdaBoost,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.29296207427978516,0.81974451303155,0.7457556957112875,0.7876106194690266,0.7542372881355932,0.8240740740740741,0.208513404497801,7
RBF SVM,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.09507894515991211,0.8044410150891632,0.7492756065467767,0.7445887445887446,0.6991869918699187,0.7962962962962963,0.17674941215708048,8
Linear SVM,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.22149300575256348,0.8016117969821672,0.737129469024792,0.7811158798283262,0.728,0.8425925925925926,0.18273804683186742,9
Logistic Regression,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.0076410770416259766,0.8001543209876543,0.7412759113297809,0.7747747747747747,0.7543859649122807,0.7962962962962963,0.17926791229245412,10
MLP,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.02557682991027832,0.7668895747599451,0.7062913402821506,0.7574468085106383,0.7007874015748031,0.8240740740740741,0.19068613648414612,11
Gaussian Naive Bayes,1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.0007390975952148438,0.7160493827160493,0.6512964649431245,0.7306273062730627,0.6073619631901841,0.9166666666666666,0.32993754744529724,12
k-NN (k=7),1:1,heldout_only,primary_train_fixed60,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec,ok,,,860,216,1.0,0.037570953369140625,0.6997170781893004,0.6391938553870378,0.710204081632653,0.635036496350365,0.8055555555555556,0.22467876039304613,13
