model,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,primary_split_sha256,status,cv_auroc_mean,cv_auroc_sd,train_size,test_size,scale_pos_weight,elapsed_s,test_auroc,test_auprc,f1,precision,recall,brier,rank_by_auroc
CatBoost,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.48291921615600586,0.8553240740740742,0.6792097214072965,0.7322834645669292,0.636986301369863,0.8611111111111112,0.15127639956382985,1
XGBoost,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.8716621398925781,0.8540380658436213,0.68241980213254,0.711864406779661,0.65625,0.7777777777777778,0.15596957504749298,2
Random Forest,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.4171602725982666,0.8531807270233196,0.6678003140361832,0.71875,0.6216216216216216,0.8518518518518519,0.14823127128107422,3
Gradient Boosting,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,1.2306711673736572,0.852409122085048,0.6819653734281971,0.647887323943662,0.6571428571428571,0.6388888888888888,0.15359600259217288,4
LightGBM,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,1.3414630889892578,0.8507801783264746,0.678622303478952,0.7083333333333334,0.6439393939393939,0.7870370370370371,0.15744157335234424,5
AdaBoost,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.3817160129547119,0.8369127229080932,0.6280159268595417,0.6261682242990654,0.6320754716981132,0.6203703703703703,0.19997392017051138,6
Extra Trees,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.29984402656555176,0.836548353909465,0.6600653007855156,0.6737588652482269,0.5459770114942529,0.8796296296296297,0.1686659207247936,7
RBF SVM,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.19252872467041016,0.8149648491083676,0.6404397723826495,0.5297297297297298,0.6363636363636364,0.4537037037037037,0.1651058965958376,8
Logistic Regression,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.0071258544921875,0.8055984224965707,0.626738877289996,0.6440677966101694,0.59375,0.7037037037037037,0.18163297698963438,9
Linear SVM,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.372622013092041,0.7941958161865569,0.6333954952545825,0.5405405405405406,0.6493506493506493,0.46296296296296297,0.17153095155701775,10
k-NN (k=7),heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.03174304962158203,0.7865440672153635,0.585920693206633,0.5781990521327014,0.5922330097087378,0.5648148148148148,0.17271352985638702,11
MLP,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.03789830207824707,0.7718192729766804,0.5888625494733101,0.5504587155963303,0.5454545454545454,0.5555555555555556,0.1770939975976944,12
Gaussian Naive Bayes,heldout_only,primary_train_fixed60,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e,ok,,,1290,324,2.0,0.00081634521484375,0.7172710905349794,0.4945515164555144,0.5956112852664577,0.45023696682464454,0.8796296296296297,0.387936532497406,13
