model,primary_ratio,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,primary_split_sha256,status,cv_auroc_mean,cv_auroc_sd,train_size,test_size,scale_pos_weight,elapsed_s,test_auroc,test_auprc,f1,precision,recall,brier,rank_by_auroc
CatBoost,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.551638126373291,0.8625971650663009,0.6239223665275946,0.6451612903225806,0.5263157894736842,0.8333333333333334,0.1500544696225966,1
Gradient Boosting,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,1.6805639266967773,0.8620541838134431,0.6294601444491147,0.6,0.6176470588235294,0.5833333333333334,0.1327495407886394,2
XGBoost,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.863353967666626,0.8614540466392318,0.6472168310080403,0.6230769230769231,0.5328947368421053,0.75,0.15018028020858765,3
LightGBM,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,1.442624807357788,0.8599965706447188,0.6395811627639014,0.6484375,0.5608108108108109,0.7685185185185185,0.14910532594644185,4
Random Forest,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.43392109870910645,0.8500514403292181,0.5817694191019802,0.6402877697841727,0.5235294117647059,0.8240740740740741,0.14432241378065944,5
AdaBoost,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.4748258590698242,0.8401063100137174,0.5482167495092433,0.5320197044334976,0.5684210526315789,0.5,0.19187466564635128,6
Extra Trees,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.30883359909057617,0.8309613625971651,0.5612976381758518,0.5875,0.44339622641509435,0.8703703703703703,0.1707263418341402,7
RBF SVM,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.2978839874267578,0.817615454961134,0.5689814281780964,0.4745762711864407,0.6086956521739131,0.3888888888888889,0.14449793599819744,8
Logistic Regression,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.008635759353637695,0.8135002286236854,0.5454698112579586,0.5886524822695035,0.47701149425287354,0.7685185185185185,0.18391451288759017,9
Linear SVM,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.48316383361816406,0.8134716506630086,0.5663915346617813,0.39490445859872614,0.6326530612244898,0.28703703703703703,0.14578456854293065,10
MLP,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.03361105918884277,0.7802926383173296,0.540133073378553,0.4581005586592179,0.5774647887323944,0.37962962962962965,0.15873581171035767,11
k-NN (k=7),1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.03430676460266113,0.7609739368998629,0.4855903415200844,0.48514851485148514,0.5212765957446809,0.4537037037037037,0.16232048374905517,12
Gaussian Naive Bayes,1:3,heldout_only,primary_train_fixed60,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a,ok,,,1720,432,3.0,0.0010750293731689453,0.7307527434842249,0.41111606219678354,0.49066666666666664,0.3445692883895131,0.8518518518518519,0.4203150272369385,13
