repeat_index,fold_index,repeat_seed,ratio,n_train_positive,n_validation_positive,n_train_total,n_validation_total,train_negative_seed,validation_negative_seed,scale_pos_weight,cross_split_source_leakage_count,outer_test_source_count,train_records_sha256,validation_records_sha256
0,0,42,1:4,344,86,1720,430,140000,140001,4.0,0,0,9b936eed97ff92a8a0bf98a3ad37aedadd51ab3faffce2a157c64b2db00536e9,3b36f4267d0e754831c390ec6ab641c1ad6956df6eb059f5b81cc68f6ebb2aea
0,1,42,1:4,344,86,1720,430,140002,140003,4.0,0,0,4e575a3f7cfe861a627d0b838fec1c72fae856bbd8721b569c339d7200ab8e64,b64d6ddcad1fa24dea690d22752333570e5387dd5ad096a6204b25f7cb8855b8
0,2,42,1:4,344,86,1720,430,140004,140005,4.0,0,0,6c7c666ee6c393c3ba033395f1553583106ffc88d1deae4c37a8dc3b0f8189f2,66ebe9a195e3050110db7c910b915aa1bfca4c8c3d353837cda7b90a773fe862
0,3,42,1:4,344,86,1720,430,140006,140007,4.0,0,0,eb4edcc8f1c7e1192479fca9e9a766332730f197c1ca6de5ff2c1ab749e06d2e,94c825689612f1571c9df11ee8a8deabb99d487242cc45931ef490f330088efa
0,4,42,1:4,344,86,1720,430,140008,140009,4.0,0,0,598a7a2826c88ab6fa6ca164c3feb9c28a0d99e70c89af4f90ad4c5b186c4663,a039a250e5e82923aa54596261d9c1dcadb8b54bb5fb36bc3bdc139a9ffe3632
1,0,7,1:4,344,86,1720,430,140100,140101,4.0,0,0,467733be11026c4ed79534fd21c07a74d0786f0a67b005686ed9264b771f3907,18cdd98e8f6f14a9d68102965fae9c0536b97f40d6540fd2c02448b0d0a34bdb
1,1,7,1:4,344,86,1720,430,140102,140103,4.0,0,0,db79cf75c8c746ee000bcb372f93045c2ee2f8d096ea067c1366d5653dd8a85e,9ee70bdd55156846a3725ec508ee2598e15b53d5dd5541e474af7ff7ec3c3765
1,2,7,1:4,344,86,1720,430,140104,140105,4.0,0,0,675250d3c584865b4958124d3ff3b21f0293b20602a26af19ec3cbad4d38d1a8,0359f7ce80d773fa7d103bd093fa7b144eed1ec7b700e2986bd4b5e8e6243dfe
1,3,7,1:4,344,86,1720,430,140106,140107,4.0,0,0,d37418de1e1a34920ad1075c74153cc076e1a28bc097331250a36841cfbeaa3d,cb7b01e240cc78ae1355a870b35380d1099069ab1677f4ed48e516f0ee6f5352
1,4,7,1:4,344,86,1720,430,140108,140109,4.0,0,0,95261af50fe52479dfd4a55cd055a895ad2b3ffaebcdf2e79a75ec3d10cc5928,b64d12576a96225aebceec3c53364457a3d3f840aba0e51d45333a0f3815ffc3
2,0,13,1:4,344,86,1720,430,140200,140201,4.0,0,0,67104c956d3aa5293fade3619c37acd881f1ccd38a924d12a11c3e661b9dd1a5,3f79da894cf4305d88118c3ac7a56959de9583e74e4c0885853e118d9112fbe4
2,1,13,1:4,344,86,1720,430,140202,140203,4.0,0,0,e93055921846fd9ed0672131a965f0166c5a5d24aa452fdecbf1f1c807f56728,8eaebc2b8060f6c67d45b4e7346b1972686d3e95338b9fcd4839e7308e241150
2,2,13,1:4,344,86,1720,430,140204,140205,4.0,0,0,acbf0a4a0dd5d0aa5f6fb2696aaed1fa36149b969e54f6691d17423c93bf06b4,178dd4a0fb29a312976b898ac67d98f4102e9f216ea003a17033d09454baf446
2,3,13,1:4,344,86,1720,430,140206,140207,4.0,0,0,d0746d5bd0638a4a7179cc150e00be6aa77fc30e2408066fb368f2d392b5f6af,ba6f3e83cfa503e3036a1744d92cc13cade66bd3c06042746204548ad9be1da5
2,4,13,1:4,344,86,1720,430,140208,140209,4.0,0,0,23fb96e7557fa58afbb57fa2bea364f1ef55140677ed9c1151335ff6471060c4,ab5d094de2cc88edc3481adceccf60eb46b272d77e3f229a11d4be84e9b9b1c5
