held_out_family,primary_ratio,n_train_pos,n_test_pos,n_test_neg,median_size,scale_pos_weight,feature_selection_protocol,nested_feature_selection,cross_split_source_leakage_count,test_auroc,test_auprc,f1,precision,recall,brier
KEGG_Metabolism,1:4,529,9,36,71.0,4.0,fixed_primary_training_selected,False,0,0.9012345679012346,0.7173770731046274,0.6428571428571429,0.47368421052631576,1.0,0.14823246002197266
AraCyc_Lipid,1:4,515,23,92,12.0,4.0,fixed_primary_training_selected,False,0,0.8998109640831758,0.7441855831820101,0.6428571428571429,0.5454545454545454,0.782608695652174,0.11510704457759857
AraCyc_AminoAcid,1:4,516,22,88,18.0,4.0,fixed_primary_training_selected,False,0,0.8987603305785123,0.716393370672169,0.6229508196721312,0.48717948717948717,0.8636363636363636,0.14218850433826447
AraCyc_Carbohydrate,1:4,523,15,60,27.0,4.0,fixed_primary_training_selected,False,0,0.8866666666666667,0.6082841037606147,0.5454545454545454,0.5,0.6,0.1151200383901596
KEGG_Lipid,1:4,511,27,108,30.0,4.0,fixed_primary_training_selected,False,0,0.8820301783264746,0.6081226496014994,0.5964912280701754,0.5666666666666667,0.6296296296296297,0.11219219863414764
AraCyc_Misc,1:4,252,286,1144,11.0,4.0,fixed_primary_training_selected,False,0,0.866035625213947,0.5650054793226272,0.5935302390998594,0.4964705882352941,0.7377622377622378,0.13101352751255035
KEGG_SignalTrans,1:4,513,25,100,55.0,4.0,fixed_primary_training_selected,False,0,0.8644000000000001,0.5537737771141543,0.5818181818181818,0.5333333333333333,0.64,0.1295601725578308
AraCyc_Cofactor,1:4,525,13,52,10.0,4.0,fixed_primary_training_selected,False,0,0.8594674556213018,0.6375541125541127,0.5454545454545454,0.45,0.6923076923076923,0.14822770655155182
AraCyc_Secondary,1:4,534,4,16,25.0,4.0,fixed_primary_training_selected,False,0,0.84375,0.7159090909090909,0.4444444444444444,0.4,0.5,0.13638527691364288
KEGG_Cellular,1:4,467,71,284,41.0,4.0,fixed_primary_training_selected,False,0,0.8331184288831581,0.4651170669405501,0.5568181818181818,0.4666666666666667,0.6901408450704225,0.14850158989429474
AraCyc_Nucleotide,1:4,518,20,80,18.0,4.0,fixed_primary_training_selected,False,0,0.8318749999999999,0.5857797679322457,0.5945945945945946,0.6470588235294118,0.55,0.12602391839027405
KEGG_GeneticInfo,1:4,517,21,84,61.0,4.0,fixed_primary_training_selected,False,0,0.8123582766439909,0.47315034149657903,0.47058823529411764,0.4,0.5714285714285714,0.1715608835220337
