go_term,background_gene_count,train_variance,passed_variance_filter,mutual_information,mi_rank,selected
GO:0000028,31,0.00013555304030887783,True,0.0,704,False
GO:0000045,40,0.0004927259287796915,True,0.0002219899269089165,379,False
GO:0000049,25,2.3617312763235532e-05,False,,,False
GO:0000082,39,2.687541018531192e-05,False,,,False
GO:0000103,22,0.004122692160308361,True,0.0,452,False
GO:0000118,45,3.3518208510940894e-05,False,,,False
GO:0000122,38,6.632930308114737e-05,True,0.013236954220196218,48,True
GO:0000137,41,7.541595550719649e-05,True,0.004214084724208922,233,False
GO:0000138,86,0.0006750804022885859,True,0.0032435790471196935,270,False
GO:0000139,104,0.0015791874611750245,True,0.0,454,False
GO:0000145,36,2.861608300008811e-05,False,,,False
GO:0000149,72,0.0006227350677363575,True,0.00125858005590751,333,False
GO:0000151,74,5.2896626584697515e-05,True,0.004983924650049598,206,False
GO:0000154,64,4.387756416690536e-05,True,0.01329045486158531,47,True
GO:0000156,33,7.911680586403236e-05,True,0.011926820384566383,60,True
GO:0000159,23,0.0006664443062618375,True,0.0,458,False
GO:0000160,30,6.906476482981816e-05,True,0.005905737186978177,178,False
GO:0000162,22,0.0011391094885766506,True,0.000254839431407472,377,False
GO:0000166,26,2.961921381938737e-05,False,,,False
GO:0000209,52,0.00019905950466636568,True,0.0,460,False
GO:0000226,61,0.0003338781534694135,True,0.0,461,False
GO:0000278,57,0.00037395142135210335,True,0.0,462,False
GO:0000287,50,0.0010138452053070068,True,0.003401899628958205,261,False
GO:0000302,37,0.0003473517135716975,True,0.0,463,False
GO:0000307,57,5.3636609663954005e-05,True,0.00134968659096657,329,False
GO:0000311,23,3.6139306757831946e-05,False,,,False
GO:0000325,698,0.00318826362490654,True,0.004947474900262705,207,False
GO:0000373,29,4.566179632092826e-05,True,0.0003750084943838772,372,False
GO:0000398,154,0.0005366861587390304,True,0.0,465,False
GO:0000419,21,1.9530414647306316e-05,False,,,False
GO:0000423,21,0.0002472752530593425,True,0.0,466,False
GO:0000462,26,3.693335020216182e-05,False,,,False
GO:0000502,54,0.0004675242817029357,True,0.011375757494655359,69,False
GO:0000724,68,0.000545454618986696,True,0.010420826440516118,84,False
GO:0000785,119,0.00027831734041683376,True,0.010390130055544677,85,False
GO:0000786,21,3.826768806902692e-05,True,0.0,449,False
GO:0000911,46,6.782630953239277e-05,True,0.0,430,False
GO:0000932,70,0.0002278381580254063,True,0.010559955014646016,82,False
GO:0000976,758,0.0010306835174560547,True,0.019052754006969597,15,True
GO:0000977,26,3.550380279193632e-05,False,,,False
GO:0000978,223,0.00022230236208997667,True,0.016742141199916905,22,True
GO:0000981,275,0.0003047875070478767,True,0.014131531949643117,38,True
GO:0000987,57,5.653762127622031e-05,True,0.0,432,False
GO:0001216,36,4.708050983026624e-05,True,0.010916457933393131,75,False
GO:0001510,21,1.5526627976214513e-05,False,,,False
GO:0001653,20,1.1091710803157184e-05,False,,,False
GO:0001666,46,0.0011870043817907572,True,0.0,434,False
GO:0002181,51,8.313146099681035e-05,True,0.011829383806889915,63,False
GO:0002213,37,0.00019699461699929088,True,0.0,436,False
GO:0002229,74,9.984481584979221e-05,True,0.0,437,False
GO:0002237,41,7.06715727574192e-05,True,0.0,438,False
GO:0002239,25,4.313729368732311e-05,True,0.0,439,False
GO:0003333,51,0.0010021979687735438,True,0.0030725946098579815,281,False
GO:0003676,160,0.00025508529506623745,True,0.007401257462455568,130,False
GO:0003677,552,0.0011828350834548473,True,0.01056874924796869,81,False
GO:0003680,26,1.6958261767285876e-05,False,,,False
GO:0003682,137,0.00033002064446918666,True,0.00353589786124342,255,False
GO:0003684,27,0.00016055481682997197,True,0.0005056816754396287,368,False
GO:0003690,100,0.00035601030685938895,True,0.0,440,False
GO:0003697,67,0.00015641488425899297,True,0.0,441,False
GO:0003700,1615,0.002804970135912299,True,0.03366589042411072,4,True
GO:0003712,74,0.0001018864568322897,True,0.0,442,False
GO:0003713,44,9.413925727130845e-05,True,0.0047255593840136445,215,False
GO:0003714,50,6.924891931703314e-05,True,0.004581873467281339,218,False
GO:0003723,603,0.0011088860919699073,True,0.01743929552275003,19,True
GO:0003724,66,0.00013397033035289496,True,0.0,444,False
GO:0003727,32,1.2441265425877646e-05,False,,,False
GO:0003729,1161,0.0047917552292346954,True,0.013629504851266239,42,True
GO:0003735,332,0.0008506449521519244,True,0.011612758036667392,65,False
GO:0003743,77,5.715291263186373e-05,True,0.0,446,False
GO:0003755,57,6.354092329274863e-05,True,0.0052090398031108265,199,False
GO:0003756,21,3.9970705984160304e-05,True,0.0,447,False
GO:0003777,41,0.00022057183377910405,True,0.007449412148386347,128,False
GO:0003779,49,5.825252446811646e-05,True,0.003273455418674187,267,False
GO:0003824,47,0.0008229383383877575,True,0.0,470,False
GO:0003899,21,3.157695027766749e-05,False,,,False
GO:0003924,181,0.00269274297170341,True,0.0051572315603427565,200,False
GO:0003954,21,0.00029338564490899444,True,0.0,472,False
GO:0003993,43,0.0010991855524480343,True,0.00018969506377497503,383,False
GO:0004175,24,4.501252988120541e-05,True,0.008491041862990434,114,False
GO:0004176,34,2.2279964468907565e-05,False,,,False
GO:0004185,33,3.071171522606164e-05,False,,,False
GO:0004190,46,6.516617577290162e-05,True,0.0,495,False
GO:0004197,52,8.293310384033248e-05,True,0.0014187053702452435,326,False
GO:0004222,46,2.2212694602785632e-05,False,,,False
GO:0004252,116,0.0001344855991192162,True,0.0,496,False
GO:0004364,57,0.0004491139261517674,True,0.0,497,False
GO:0004386,33,6.276018393691629e-05,True,0.0076011403053584115,125,False
GO:0004402,25,5.658426744048484e-05,True,0.0003592512013339544,373,False
GO:0004497,98,0.0038994434289634228,True,0.0,499,False
GO:0004519,22,2.4563945771660656e-05,False,,,False
GO:0004521,34,2.7101357773062773e-05,False,,,False
GO:0004523,47,8.036222425289452e-05,True,0.0,500,False
GO:0004540,29,1.745878762449138e-05,False,,,False
GO:0004553,48,0.00013186140859033912,True,0.003582437497039015,253,False
GO:0004565,22,4.6502809709636495e-05,True,0.0,493,False
GO:0004568,23,6.617733015445992e-05,True,0.0038150346455652073,245,False
GO:0004601,64,0.0012488890206441283,True,0.0,501,False
GO:0004650,69,0.00010616857616696507,True,0.012482736028825325,55,True
GO:0004672,489,0.0006314039928838611,True,0.02053228290911724,10,True
GO:0004674,642,0.0011420822702348232,True,0.025914090765275732,6,True
GO:0004675,47,5.712901838705875e-05,True,0.013308285475209791,46,True
GO:0004683,47,4.388183879200369e-05,True,0.006415583622845666,163,False
GO:0004707,20,4.9865644541569054e-05,True,0.0,505,False
GO:0004712,48,3.732983532245271e-05,True,0.0,506,False
GO:0004721,23,1.768292895576451e-05,False,,,False
GO:0004722,86,0.0002786355616990477,True,0.0,507,False
GO:0004842,253,0.0004261851718183607,True,0.00135018002987497,328,False
GO:0004843,64,5.7742305216379464e-05,True,0.004417119014601623,226,False
GO:0004857,63,5.79285915591754e-05,True,0.01184684787072765,61,False
GO:0005085,40,3.5713739634957165e-05,False,,,False
GO:0005096,58,7.896233728388324e-05,True,0.0025463786332433624,295,False
GO:0005102,26,6.539231981150806e-05,True,0.0008880078627857557,348,False
GO:0005179,56,7.819881284376606e-05,True,0.004802608763275984,213,False
GO:0005198,32,3.935386848752387e-05,True,0.0,509,False
GO:0005199,28,3.9724814996588975e-05,True,0.0,502,False
GO:0005200,33,0.0003890777879860252,True,0.0018000977729470957,311,False
GO:0005217,20,6.065644265618175e-05,True,0.00341866817527392,259,False
GO:0005262,46,0.00011640207230811939,True,0.008545582675017593,112,False
GO:0005315,40,6.550251418957487e-05,True,0.0010259686871123552,342,False
GO:0005345,23,1.0815048881340772e-05,False,,,False
GO:0005381,22,0.00013695312372874469,True,0.0050318934840065666,203,False
GO:0005384,26,4.128363070776686e-05,True,0.0,510,False
GO:0005385,22,0.00013499670603778213,True,0.011413775444502505,67,False
GO:0005484,50,0.0008536247187294066,True,0.0009901055908290157,345,False
GO:0005506,156,0.004387546330690384,True,0.0,473,False
GO:0005507,150,0.0032491458114236593,True,0.0,474,False
GO:0005509,194,0.00034892407711595297,True,0.0,475,False
GO:0005515,4621,0.018687183037400246,True,0.016182166910247098,25,True
GO:0005516,170,0.0004145849961787462,True,0.0005889990962419933,361,False
GO:0005524,421,0.0024017065297812223,True,0.0026081669746176317,292,False
GO:0005525,147,0.0026262186001986265,True,0.0,477,False
GO:0005543,30,6.0648158978438005e-05,True,0.0,478,False
GO:0005546,49,5.061580668552779e-05,True,0.004459389565299565,224,False
GO:0005575,3856,0.010356923565268517,True,0.018138310315069406,17,True
GO:0005576,2985,0.009417686611413956,True,0.014856170437443916,28,True
GO:0005615,124,0.00014291785191744566,True,0.0032300003502649943,272,False
GO:0005622,107,0.0002499460242688656,True,0.0,480,False
GO:0005635,81,0.000271486904239282,True,0.0,481,False
GO:0005643,29,4.788217120221816e-05,True,0.0,482,False
GO:0005654,125,0.0002658180601429194,True,0.0,483,False
GO:0005665,21,1.5503599570365623e-05,False,,,False
GO:0005666,26,1.587916813150514e-05,False,,,False
GO:0005667,20,7.287662447197363e-05,True,0.010515843406663006,83,False
GO:0005680,24,4.7912086301948875e-05,True,0.0,484,False
GO:0005681,41,0.0001022432406898588,True,0.005916504308242088,177,False
GO:0005685,28,3.0248291295720264e-05,False,,,False
GO:0005686,40,0.00010429324902361259,True,0.005672675759875956,183,False
GO:0005694,30,5.998861524858512e-05,True,0.0,485,False
GO:0005730,464,0.001703403191640973,True,0.00635468165975972,164,False
GO:0005732,64,5.079260517959483e-05,True,0.0,487,False
GO:0005737,4796,0.05268852785229683,True,0.01932920216606826,12,True
GO:0005739,4447,0.029012618586421013,True,0.011640572930274429,64,False
GO:0005741,52,0.00029772985726594925,True,0.015134868622576292,26,True
GO:0005743,72,0.0001368886441923678,True,0.0,450,False
GO:0005744,22,1.654379411775153e-05,False,,,False
GO:0005759,53,0.0004135630442760885,True,0.0006164224988638445,359,False
