id,name,source,family,n_genes
AC_ALACAT2-PWY,L-alanine degradation II (to D-lactate),AraCyc,AraCyc_Misc,8
AC_ALANINE-DEG3-PWY,L-alanine degradation III,AraCyc,AraCyc_Misc,6
AC_ALANINE-SYN2-PWY,L-alanine biosynthesis II,AraCyc,AraCyc_Misc,6
AC_ARGSPECAT-PWY,spermine biosynthesis,AraCyc,AraCyc_Misc,6
AC_ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),AraCyc,AraCyc_AminoAcid,13
AC_ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),AraCyc,AraCyc_AminoAcid,13
AC_ARO-PWY,chorismate biosynthesis I,AraCyc,AraCyc_Misc,10
AC_ASPARAGINE-DEG1-PWY,L-asparagine degradation I,AraCyc,AraCyc_Misc,5
AC_ASPARAGINE-DEG1-PWY-1,L-asparagine degradation III (mammalian),AraCyc,AraCyc_Misc,15
AC_ASPARTATE-DEG1-PWY,L-aspartate degradation I,AraCyc,AraCyc_Misc,9
AC_ASPARTATESYN-PWY,L-aspartate biosynthesis,AraCyc,AraCyc_Misc,9
AC_ASPASN-ARA-PWY,superpathway of aspartate and asparagine biosynthesis,AraCyc,AraCyc_Misc,18
AC_BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched chain amino acid biosynthesis,AraCyc,AraCyc_AminoAcid,21
AC_BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,AraCyc,AraCyc_Misc,7
AC_CALVIN-PWY,Calvin-Benson-Bassham cycle,AraCyc,AraCyc_Misc,35
AC_CAMALEXIN-SYN,camalexin biosynthesis,AraCyc,AraCyc_Misc,31
AC_CHLOROPHYLL-SYN,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",AraCyc,AraCyc_Misc,10
AC_CITRULBIO-PWY,L-citrulline biosynthesis,AraCyc,AraCyc_Misc,43
AC_COA-PWY,coenzyme A biosynthesis I (bacteria),AraCyc,AraCyc_Misc,6
