held_out_family,primary_ratio,n_train_pos,n_test_pos,n_test_neg,median_size,scale_pos_weight,feature_selection_protocol,nested_feature_selection,cross_split_source_leakage_count,test_auroc,test_auprc,f1,precision,recall,brier
AraCyc_Carbohydrate,1:5,523,15,75,27.0,5.0,fixed_primary_training_selected,False,0,0.9031111111111111,0.5917577923813622,0.6341463414634146,0.5,0.8666666666666667,0.11280740797519684
AraCyc_Lipid,1:5,515,23,115,12.0,5.0,fixed_primary_training_selected,False,0,0.8986767485822307,0.7149289179101518,0.6296296296296297,0.5483870967741935,0.7391304347826086,0.10159807652235031
KEGG_Metabolism,1:5,529,9,45,71.0,5.0,fixed_primary_training_selected,False,0,0.8938271604938272,0.6865765498118439,0.5,0.3684210526315789,0.7777777777777778,0.1404501348733902
KEGG_Lipid,1:5,511,27,135,30.0,5.0,fixed_primary_training_selected,False,0,0.8814814814814814,0.5869222538547014,0.5172413793103449,0.4838709677419355,0.5555555555555556,0.10970929265022278
AraCyc_Secondary,1:5,534,4,20,25.0,5.0,fixed_primary_training_selected,False,0,0.8625,0.7269230769230769,0.6666666666666666,0.6,0.75,0.10962057113647461
AraCyc_Cofactor,1:5,525,13,65,10.0,5.0,fixed_primary_training_selected,False,0,0.859171597633136,0.5499517240151277,0.5405405405405406,0.4166666666666667,0.7692307692307693,0.13218757510185242
AraCyc_Misc,1:5,252,286,1430,11.0,5.0,fixed_primary_training_selected,False,0,0.8585089735439384,0.4848193749018333,0.5151079136690647,0.43765281173594134,0.6258741258741258,0.12477635592222214
AraCyc_AminoAcid,1:5,516,22,110,18.0,5.0,fixed_primary_training_selected,False,0,0.8545454545454546,0.573856942763015,0.47058823529411764,0.34782608695652173,0.7272727272727273,0.1672866940498352
KEGG_SignalTrans,1:5,513,25,125,55.0,5.0,fixed_primary_training_selected,False,0,0.84672,0.4515378460526088,0.5185185185185185,0.4827586206896552,0.56,0.12293761968612671
AraCyc_Nucleotide,1:5,518,20,100,18.0,5.0,fixed_primary_training_selected,False,0,0.825,0.5121171607611479,0.5365853658536586,0.5238095238095238,0.55,0.12231211364269257
KEGG_GeneticInfo,1:5,517,21,105,61.0,5.0,fixed_primary_training_selected,False,0,0.8235827664399094,0.4353821327493467,0.5084745762711864,0.39473684210526316,0.7142857142857143,0.16670452058315277
KEGG_Cellular,1:5,467,71,355,41.0,5.0,fixed_primary_training_selected,False,0,0.8171394564570522,0.3694527407029745,0.46236559139784944,0.3739130434782609,0.6056338028169014,0.1475522667169571
