rank,feature,importance,method,primary_ratio
1,jaccard_mean,1.0635851621627808,shap_mean_abs,1:5
2,pathway_size,0.7491037249565125,shap_mean_abs,1:5
3,go_entropy,0.6497267484664917,shap_mean_abs,1:5
4,jaccard_std,0.287374883890152,shap_mean_abs,1:5
5,GO:0009507,0.23146720230579376,shap_mean_abs,1:5
6,mean_go_per_gene,0.21337778866291046,shap_mean_abs,1:5
7,GO:0008150,0.19355033338069916,shap_mean_abs,1:5
8,GO:0003729,0.18478314578533173,shap_mean_abs,1:5
9,log_size,0.16758888959884644,shap_mean_abs,1:5
10,GO:0005829,0.16605930030345917,shap_mean_abs,1:5
11,GO:0009793,0.1520470231771469,shap_mean_abs,1:5
12,GO:0003700,0.1471169888973236,shap_mean_abs,1:5
13,GO:0006412,0.14074356853961945,shap_mean_abs,1:5
14,jaccard_max,0.13291871547698975,shap_mean_abs,1:5
15,GO:0004672,0.13268712162971497,shap_mean_abs,1:5
16,go_size_std,0.1292799413204193,shap_mean_abs,1:5
17,GO:0005737,0.10812284052371979,shap_mean_abs,1:5
18,GO:0005575,0.09768898040056229,shap_mean_abs,1:5
19,GO:0009536,0.09284429997205734,shap_mean_abs,1:5
20,GO:0009570,0.0796140730381012,shap_mean_abs,1:5
21,GO:0005515,0.07768569141626358,shap_mean_abs,1:5
22,GO:0005783,0.07317418605089188,shap_mean_abs,1:5
23,GO:0004674,0.06323274970054626,shap_mean_abs,1:5
24,GO:0006355,0.05986626818776131,shap_mean_abs,1:5
25,GO:0005777,0.053898971527814865,shap_mean_abs,1:5
26,GO:0016020,0.04814281687140465,shap_mean_abs,1:5
27,GO:0003723,0.04329584538936615,shap_mean_abs,1:5
28,jaccard_min,0.03855716809630394,shap_mean_abs,1:5
29,GO:0005576,0.03667077422142029,shap_mean_abs,1:5
30,GO:0051555,0.03620871156454086,shap_mean_abs,1:5
