citation_key,title,year,first_author,doi,access_link,free_full_text_route,access_type
ashburner2000gene,Gene Ontology: tool for the unification of biology,2000,"Ashburner, Michael",10.1038/75556,https://pmc.ncbi.nlm.nih.gov/articles/PMC3037419/,PMC free full text,open
berardini2015tair,The Arabidopsis information resource: Making and mining the ``gold standard'' annotated reference plant genome,2015,"Berardini, Tanya Z",10.1002/dvg.22877,https://pmc.ncbi.nlm.nih.gov/articles/PMC4545719/,PMC free full text,open
chen2016xgboost,XGBoost: A scalable tree boosting system,2016,"Chen, Tianqi",10.1145/2939672.2939785,https://arxiv.org/abs/1603.02754,arXiv,open
friedman2001greedy,Greedy function approximation: A gradient boosting machine,2001,"Friedman, Jerome H",10.1214/aos/1013203451,https://projecteuclid.org/journals/annals-of-statistics/volume-29/issue-5/Greedy-function-approximation-A-gradient-boosting-machine/10.1214/aos/1013203451.full,Project Euclid (open),open
geneontology2023,The Gene Ontology knowledgebase in 2023,2023,The Gene Ontology Consortium,10.1093/genetics/iyad031,https://pmc.ncbi.nlm.nih.gov/articles/PMC10158837/,PMC free full text,open
grinsztajn2022why,Why do tree-based models still outperform deep learning on typical tabular data?,2022,"Grinsztajn, Leo",,https://arxiv.org/abs/2207.08815,arXiv,open
hasin2017multiomics,Multi-omics approaches to disease,2017,"Hasin, Yehudit",10.1186/s13059-017-1215-1,https://doi.org/10.1186/s13059-017-1215-1,publisher (open access),open
hawkins2021plant,Plant metabolic network 15: A resource of genome-wide metabolism databases for 126 plants and algae,2021,"Hawkins, Charles",10.1111/jipb.13163,https://doi.org/10.1111/jipb.13163,publisher (open access),open
kanehisa2023kegg,KEGG for taxonomy-based analysis of pathways and genomes,2023,"Kanehisa, Minoru",10.1093/nar/gkac963,https://pmc.ncbi.nlm.nih.gov/articles/PMC9825424/,PMC free full text,open
ke2017lightgbm,LightGBM: A highly efficient gradient boosting decision tree,2017,"Ke, Guolin",,https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html,NeurIPS proceedings,open
khatri2012ten,Ten years of pathway analysis: current approaches and outstanding challenges,2012,"Khatri, Purvesh",10.1371/journal.pcbi.1002375,https://pmc.ncbi.nlm.nih.gov/articles/PMC3285573/,PMC free full text,open
langfelder2008wgcna,WGCNA: An R package for weighted correlation network analysis,2008,"Langfelder, Peter",10.1186/1471-2105-9-559,https://pmc.ncbi.nlm.nih.gov/articles/PMC2631488/,PMC free full text,open
liesecke2018ranking,Ranking genome-wide correlation measurements improves microarray and RNA-seq based global and targeted co-expression networks,2018,"Liesecke, Franziska",10.1038/s41598-018-29077-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC6052111/,PMC free full text,open
lundberg2017unified,A unified approach to interpreting model predictions,2017,"Lundberg, Scott M",,https://papers.nips.cc/paper_files/paper/2017/hash/8a20a8621978632d76c43dfd28b67767-Abstract.html,NeurIPS proceedings,open
obayashi2018atted,ATTED-II in 2018: A plant co-expression database based on investigation of the statistical property of the mutual rank index,2018,"Obayashi, Takeshi",10.1093/pcp/pcx209,https://pmc.ncbi.nlm.nih.gov/articles/PMC5914413/,PMC free full text,open
pedregosa2011scikit,Scikit-learn: Machine learning in Python,2011,"Pedregosa, Fabian",,https://www.jmlr.org/papers/v12/pedregosa11a.html,JMLR (open),open
prokhorenkova2018catboost,CatBoost: Unbiased boosting with categorical features,2018,"Prokhorenkova, Liudmila",,https://papers.nips.cc/paper_files/paper/2018/hash/14491b756b3a51daac41c24863285549-Abstract.html,NeurIPS proceedings,open
radivojac2013community,A large-scale evaluation of computational protein function prediction,2013,"Radivojac, Predrag",10.1038/nmeth.2340,https://pmc.ncbi.nlm.nih.gov/articles/PMC3584181/,PMC free full text,open
saito2015precision,The precision-recall plot is more informative than the ROC plot when evaluating binary classifiers on imbalanced datasets,2015,"Saito, Takaya",10.1371/journal.pone.0118432,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349800/,PMC free full text,open
subramanian2005gsea,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles,2005,"Subramanian, Aravind",10.1073/pnas.0506580102,https://pmc.ncbi.nlm.nih.gov/articles/PMC1239896/,PMC free full text,open
breiman2001random,Random forests,2001,"Breiman, Leo",10.1023/A:1010933404324,https://doi.org/10.1023/A:1010933404324,via DOI (publisher page),subscription
cover1967nearest,Nearest neighbor pattern classification,1967,"Cover, Thomas",10.1109/tit.1967.1053964,https://doi.org/10.1109/tit.1967.1053964,via DOI (publisher page),subscription
dingpeng2003,Minimum redundancy feature selection from microarray gene expression data,2003,"Ding, Chris",10.1109/csb.2003.1227396,https://doi.org/10.1109/csb.2003.1227396,via DOI (publisher page),subscription
geurts2006extremely,Extremely randomized trees,2006,"Geurts, Pierre",10.1007/s10994-006-6226-1,https://doi.org/10.1007/s10994-006-6226-1,via DOI (publisher page),subscription
japkowicz2002class,The class imbalance problem: A systematic study,2002,"Japkowicz, Nathalie",10.3233/ida-2002-6504,https://doi.org/10.3233/ida-2002-6504,via DOI (publisher page),subscription
lin2023evolutionary,Evolutionary-scale prediction of atomic-level protein structure with a language model,2023,"Lin, Zeming",10.1126/science.ade2574,https://doi.org/10.1126/science.ade2574,via DOI (publisher page),subscription
muzio2021biological,Biological network analysis with deep learning,2021,"Muzio, Giulia",10.1093/bib/bbaa257,https://doi.org/10.1093/bib/bbaa257,via DOI (publisher page),subscription
strudwick2025autoxai4omics,AutoXAI4Omics: an automated explainable AI tool for omics and tabular data,2025,"Strudwick, James",10.1093/bib/bbae593,https://doi.org/10.1093/bib/bbae593,via DOI (publisher page),subscription
tibshirani1996regression,Regression shrinkage and selection via the lasso,1996,"Tibshirani, Robert",10.1111/j.2517-6161.1996.tb02080.x,https://doi.org/10.1111/j.2517-6161.1996.tb02080.x,via DOI (publisher page),subscription
usadel2009coexpression,Co-expression tools for plant biology: Opportunities for hypothesis generation and caveats,2009,"Usadel, Bjorn",10.1111/j.1365-3040.2009.02040.x,https://doi.org/10.1111/j.1365-3040.2009.02040.x,via DOI (publisher page),subscription
zhang2020pathway,Benchmarking algorithms for pathway activity transformation of single-cell RNA-seq data,2020,"Zhang, Yaru",10.1016/j.csbj.2020.10.007,https://doi.org/10.1016/j.csbj.2020.10.007,via DOI (publisher page),subscription
